person_cluster,person_category,same_person_confidence,mentions,poems,counties,distinct_standard_lemmas,distinct_local_lemmas,distinct_word_normalised_forms,standard_lemma_counts,local_lemma_counts,word_normalised_counts,english_gloss_counts,county_counts,poems_with_multiple_standard_lemmas_in_cluster,example_multi_standard_poem_ids,same_person_note
Matthew / Matti,given_name_family,medium,1281,868,34,33,67,87,Matti (893); Mats (164); matti (87); mats (59); mätti (13); matto (9); Matsi (8); matin (8); Madis (7); matt (5); Mattias (3); matilla (2); Matin (2); matsatama (1); matsima (1),Matti (811); Mats (146); matti (108); mats (43); Matsi (19); matin (17); mati (11); mätti (8); Madis (7); matsi (7); matista (7); matt (6); malts (5); Matin (5); Matto (5); Mati (4); mattiin (4); matti+ni (4),Matti (672); Matin (86); Mats (73); Matsi (69); Mattiin (48); Matista (47); Matille (27); matti (22); matista (22); matsi (21); matin (16); Mattia (15); mattiin (15); matsu (12); mats (10); matsil (6); Madis (6); Matsil (6),Matti (693); Matti's (104); Mats (74); Mats's (68); Matthew (38); to Matti (36); from Matti (35); into Matti (17); Matt (14); mats (12); from Matthew (11); on Mats (6),Etelä-Karjala (101); Keski-Suomi (99); Häme (96); Itä- ja Pohjois-Inkeri (73); Etelä-Pohjanmaa (72); Länsi-Inkeri (72); Peräpohjola (58); Etelä-Savo (57); Satakunta (56); Pohjois-Savo (52),13,14338; 49073; 185058; 189264; 204826; 205629; 214704; 217411; 217610; 235056,Matthew/Matthias/Matti name family; not one individual across poems.
Väinämöinen,mythic_epic,high,1225,585,20,15,91,42,Väinämöinen (1176); Väinämöisen (9); Väinö (9); (as above) (7); väinämöinen (6); väinä & möö (6); Wäinämöinen (3); Väinämöinen (via metathesis) (1); Proper noun (1); Vainämöinen (1); V. (1); Väinämöisellä (1); Väinämöistä (1); väinö (1); (proper noun) (1),Väinämöinen (824); väinämöinen (42); väinämöine (33); Väinämöini (31); väinämöini (28); Väinämöine (28); Wäinämöinen (22); Väinämöin (21); väinämöisen (10); Väinämöisen (10); väinämöne (10); Väinämö (9); Väinämöise+n (8); väinämöistä (7); Väinö (7); vänämöinen (5); vänämöne (5); Väinämöinen+sen (5),Väinämöinen (730); Väinämöisen (349); Väinämöistä (29); Väinämöin (15); Väinämöisestä (12); Väinämöisistä (10); Väinämöisellä (8); Väinämöiselle (8); Väinö (7); väinämöisen (5); Väinämösen (5); Väinämöini (4); Väinämöiseltä (4); Veännälmöinen (4); Wäinämöisen (3); Väinön (3); väinämöinen (2); V. (2),Väinämöinen (799); Väinämöinen's (344); from Väinämöinen (20); to Väinämöinen (9); of Väinämöinen (8); with Väinämöinen (6); Väinö (6); Väinämö's (5); from Väinämöinens (4); Väinö's (3); Väinämöinens (3); Väinämöisiä (2),Laatokan Karjala (Raja-Karjala) (360); Pohjois-Karjala (296); Viena (133); Aunus (82); Etelä-Savo (64); Pohjois-Savo (53); Kainuu (48); Keski-Inkeri (35); Länsi-Inkeri (30); Itä- ja Pohjois-Inkeri (25),13,30478; 30589; 30604; 30605; 30636; 30638; 30647; 30691; 31091; 36221,Epic figure; variants are very likely the same character.
Andrew / Antti,given_name_family_or_saint,medium,794,611,33,20,49,58,Antti (630); Andres (131); Andrei (7); äntti (5); andres (2); Andsu (2); Äntti (2); Anttonen (2); Ants (1); Antsu (1); Andrese (1); Andrese+le (1); (Antti) (1); Anttinen (1); antti/Antti (1),Antti (599); Andres (109); antti (7); Ondrei (5); Andsu (4); andres (4); Ands (4); änttiki (4); Antsu (3); äntti (3); antillee (3); Ants (2); Andresse-lle (2); antin (2); Antan (2); Anti (2); änttikki (2); Anttu (2),Antti (531); Andres (78); Antin (38); Anttia (29); Antille (12); Andrese (10); Andresele (8); Andsu (6); Andreks (5); Andresse (5); änttiki (4); Antsu (3); Andre (3); Andrest (2); Andreselt (2); Andsule (2); Andreksel (2); Antilla (2),Antti (523); Andrew (59); Andres (43); Antti's (39); Antti (object) (15); Andres's (14); to Andres (9); to Antti (9); Andrew's (4); exclamation (4); Antti (Andrew) (4); as Andres (3),Etelä-Savo (75); Pohjois-Karjala (67); Pohjois-Savo (63); Häme (52); Etelä-Karjala (50); Satakunta (50); Virumaa (44); Keski-Suomi (41); Peräpohjola (39); Itä- ja Pohjois-Inkeri (39),7,8367; 156584; 192854; 199246; 213450; 251892; 282966,Andrew/Antti/Andres equivalents; context needed.
George / Jüri,given_name_family_or_saint,medium,759,471,30,14,55,67,Jüri (553); Yrjö (138); Juri (19); Jyrki (13); jüri (12); Jyri (9); jyri (5); Jürikene (2); juuri (2); Juku (1); jürile (1); Yrjö (modern equivalent) (1); yrjö (1); Juura (1),Jüri (446); Jyrki (47); Yrjö (40); Juri (37); Jyrgi (32); jüri (20); Jürg (12); juri (10); Jyri (9); Jürje (7); jürikene (6); Jurje (6); jyri (6); Yrjänä (6); Yrkkö (5); Jurgi (4); Jürikene (4); djyrgi (4),Jüri (455); Jyrki (61); Yrjö (34); Juri (19); Yrjön (15); Jürikene (14); Jyri (12); Jyrgi (12); jürikene (10); Jürile (10); Jürje (10); Jüril (8); jüri (7); Jürid (7); Yrjänä (7); Jürike (5); Jürg (5); Jürilt (4),George (270); Jüri (255); Jüri's (40); Juri (24); George's (13); Yrjö (12); little Jüri (9); little George (9); Yrjö's (9); to Jüri (6); from Jüri (6); Georges (6),Virumaa (123); Viljandimaa (101); Harjumaa (78); Laatokan Karjala (Raja-Karjala) (73); Pärnumaa (63); Tartumaa (52); Saaremaa (50); Läänemaa (42); Järvamaa (42); Võrumaa (19),7,90729; 150580; 154595; 157832; 190857; 195865; 224126,George/Jüri equivalent; can be saint or ordinary name.
Michael / Mikko / Mihkel,given_name_family,medium,748,474,32,27,83,113,Mikko (340); Mihkel (230); Mikk (70); Mikael (35); Miku (15); mihkel (13); Mikki (8); mikko (8); Mikkoon (3); Mihail (3); Miikael (2); Mihkelit (2); Migu (2); Mikon (2); Mihkile (2),Mikko (259); Mihkel (167); Mikk (41); mihkel (28); Miku (28); Mikkeli (19); Miikkula (14); mikko (14); mikku (14); Mikkel (13); Mikki (10); miko (7); Mihkeli (7); miku (6); Mihk (6); Mikku (5); Mikkeeli (5); Mikkoo (5),Mikko (210); Mihkel (141); Miku (48); Mikon (36); Mihkli (23); Mikku (17); Mikk (14); Miikkula (13); Mikkeli (12); Mihklil (10); Mikosta (10); Mikkelistä (10); Mihklile (9); Mikkoon (9); Mikkeliin (8); Mihkeli (7); Mikkel (7); Mihk (6),Mikko (206); Michael (137); Mihkel (68); Mikko's (36); Michael's (27); Miku's (22); to Mihkel (16); Mikk (15); Mikku (14); Mihkel's (13); Mikkel (12); Miku (10),Peräpohjola (87); Harjumaa (64); Häme (63); Saaremaa (60); Pärnumaa (46); Virumaa (44); Viljandimaa (39); Etelä-Karjala (33); Läänemaa (28); Etelä-Savo (25),9,25363; 125593; 160803; 165041; 165107; 174470; 197503; 215658; 275196,Michael/Mikko/Mihkel equivalents.
Kalev / Kalervo,mythic_epic_or_name,medium,744,449,22,31,94,115,Kalev (285); Kalervo (274); kalev (120); Kalervoinen (9); Kalevi (8); Kalervan (7); Kalerva (5); Kalervainen (4); kalervo (4); Kalervalla (3); kalevine (2); kalkun (2); Kalevile (2); kalevitse (2); kalevne (1),Kalev (209); Kalervo (203); kalev (102); Kalevi (26); kalevine (22); kalervoin (14); kalevi (12); kalervo (11); Kalerva (10); Kalervoinen (8); kalevitse (7); Kalervainen (5); kalevise (4); Kalervan (4); kalervan (4); Kalevine (3); Kalevile (3); kalevid (3),Kalevi (110); Kalervon (86); Kalervo (60); Kalev (42); Kalervan (27); Kalevile (25); kalevid (22); kalevist (17); kalevised (15); Kalervojen (15); Kalevise (14); Kalervalla (13); kalevi (12); Kalervoin (12); Kalervoja (11); Kalervoilla (11); Kalevite (10); Kalevisse (10),Kalev's (189); Kalervo's (147); Kalervo (66); Kalev (37); to Kalev (24); at Kalervo's (17); of Kalev (12); at Kalervo (9); into Kalev's (8); of Kalervo (8); strong (7); Kalervos (7),Länsi-Inkeri (141); Harjumaa (69); Keski-Inkeri (66); Viljandimaa (65); Virumaa (63); Tartumaa (56); Pärnumaa (41); Itä- ja Pohjois-Inkeri (39); Järvamaa (38); Etelä-Karjala (33),14,7731; 9741; 10424; 12239; 13657; 14193; 15668; 122999; 180272; 186416,Kalev/Kalervo/Kaleva are related epic/name forms; not always one individual.
Henry / Heikki,given_name_family_or_saint,medium,736,562,24,16,51,50,Heikki (685); Henrik (24); Henrikki (8); Hindrek (4); Heikin (4); Indrek (1); Henrikule (1); Hendrik (1); Hekko (1); Hessu (diminutive) (1); hippaheikki (1); Heikka (1); Henriikka (1); Heikkinen (1); Teppo (1),Heikki (638); Heikin (14); Henrikki (10); Hindrek (4); Heekki (4); Heiki (4); heikki (4); Henrikki-lle (3); heikki+lle (3); heinirichi (3); heikil (2); Hessu (2); Hekki (2); Henrik (2); hennikki (2); Hentrikki (2); Heikil (2); henrichillen (2),Heikki (423); Heikin (224); Henrikki (11); Heikille (6); Heinrich (5); Hindrek (4); Heikillä (4); Heikkiä (4); Henrikille (3); Henrik (3); Hessu (2); Heikistä (2); Hekki (2); heikin (2); Heekki (2); Hennikki (2); Hentrikki (2); Heikkini (2),Heikki (422); Heikki's (226); Henry (32); to Heikki (6); to Henry (5); Henrik (5); Heikin (5); Heikki (Henry) (3); from Heikki (2); at Heikki's (2); my Heikki (2); to Henrik (1),Häme (107); Etelä-Savo (82); Satakunta (64); Pohjois-Savo (59); Varsinais-Suomi (58); Pohjois-Karjala (57); Peräpohjola (57); Etelä-Karjala (50); Etelä-Pohjanmaa (35); Pohjois-Pohjanmaa (35),5,23489; 248069; 271655; 280175; 282827,Henry/Heikki equivalents.
Tuoni,mythic_deity,high,708,480,21,10,32,36,Tuoni (417); tuoni (264); Tuonen (9); tuonen (9); tuonelaan (3); Tuonelan (2); toonine (1); tuoninen (1); tuonne (1); tuon (1),Tuoni (343); tuoni (242); tuonen (35); Tuonen (30); tuone (10); Tuonelta (5); Tuuri (5); Tuanen (4); tuoni-n (3); Toonen (3); tuoni+n (3); tuone-n (2); Toonelta (2); Tuone-n (2); Tuoni-n (2); tuonine (1); Tuoni+en (1); tuoni- (1),Tuonen (263); tuonen (259); Tuoni (82); Tuonelta (44); tuoni (9); tuonelle (6); Tuonelle (5); tuonelta (4); Tuonelaan (3); Tuurin (3); Tuonnen (2); tuon (2); Tuonella (2); tuone (2); tuonisell (1); tuonelaan (1); Tuonenk (1); Tuonessa (1),death's (144); Tuoni's (121); Death's (94); Tuoni (67); of death (58); of Tuoni (47); from Tuoni (43); of Death (38); death (18); of Death's (14); Death (9); to death (4),Pohjois-Karjala (130); Länsi-Inkeri (116); Keski-Inkeri (103); Laatokan Karjala (Raja-Karjala) (71); Etelä-Savo (63); Etelä-Karjala (42); Pohjois-Savo (33); Itä- ja Pohjois-Inkeri (24); Häme (19); Aunus (19),1,26521,Personified death/underworld figure; not the place Tuonela.
Thomas / Toomas / Tuomas,given_name_family_or_biblical,medium,667,468,30,10,35,45,Tuomas (407); Toomas (243); Tuomaan (7); tuomas (3); Toomast (2); Tomas (1); Tooma (1); Biblical name Thomas (1); Nurmi-Tuomas (1); Tuomas (proper name adaptation) (1),Tuomas (341); Toomas (211); Tuomaas (17); Tuamas (16); tuomas (12); toomas (11); Tooma (8); Tuoma (8); Tuomo (5); Tuomaan (3); Tuomalin (3); toomase (2); Toomast (2); Tuomaa (2); Tommo (2); Tuomas+han (2); Foma (2); Tuomahan (2),Tuomas (291); Toomas (201); Tuomaasta (35); Tuomaan (34); Tooma (19); Toomast (7); Toomale (6); Tuomasta (6); Tuomaaseen (6); Tuomo (5); Tuamas (5); Tuoma (4); Toomasid (3); Tuomaalle (3); Tuomasi (3); Tuomalin (3); Toomase (2); Tuomal (2),Thomas (388); Toomas (106); from Thomas (27); Tuomas (26); Thomas's (15); to Tuomas (14); to Thomas (10); to Toomas (8); from Tuomas (8); Toomases (5); Thomas' (5); Tooma's (4),Etelä-Karjala (68); Varsinais-Suomi (58); Etelä-Savo (50); Virumaa (45); Häme (42); Peräpohjola (39); Setumaa (37); Viljandimaa (35); Itä- ja Pohjois-Inkeri (30); Harjumaa (29),3,19089; 150277; 160280,Thomas/Toomas/Tuomas equivalents.
Nicholas / Nikka / Klaus,given_name_family,low,621,207,19,13,25,34,"Nikka (268); Klaus (217); Nikko (65); nikka (19); Nikolaus (15); Niko (12); nikko (7); Nikodemus (7); Nikolai (6); Niklus (2); Mikolai (1); Nikko/nikkua (1); Nikko (proper name, no further) (1)",Nikka (282); Klaus (194); Nikko (59); Klavus (20); nikka (17); Nikolaus (13); nikko (10); Nikolai (4); Nikon (4); Niklus (2); Nikolta (2); Mikolai (1); nikolta (1); Nikolaiksi (1); nikko-a (1); Klavu (1); klaulle (1); klaun (1),Nikka (276); Klaus (156); Nikko (51); Klaulle (19); Klavus (16); Nikolaus (13); Klaun (13); Nikon (12); nikan (9); nikka (7); Nikolta (6); Nikan (6); Klavun (4); Nikolai (3); Klavulle (3); nikon (3); nikko (3); Nikluse (2),Nikka (251); Klaus (175); Nikko (48); to Klaus (19); Klaus's (16); Nikka's (14); (refrain) (12); Nikko's (12); Nicholas (11); Nikolaus (10); from Nikko (7); Nick (6),Satakunta (214); Häme (214); Varsinais-Suomi (66); Etelä-Savo (38); Pohjois-Karjala (17); Etelä-Pohjanmaa (17); Keski-Suomi (12); Etelä-Karjala (10); Länsi-Inkeri (7); Pohjois-Pohjanmaa (6),3,26866; 214209; 260095,"Possible Nicholas/Klaus/Nikka family, but this is weak and needs manual checking."
