person_cluster,word_in_english_category,mentions_total,share_total,mapped_mentions,share_among_mapped,total_group_mentions,mapped_group_mentions,top_raw_word_in_english
Peter / Pietari / Peeter,Petteri/Pietari,58,0.03231197771587744,57,0.03396901072705602,1795,1678,Petteri (12); Piitre (11); Pedri (6); to Pietari (5); from Pietari (4); from Petteri (4); little Piitre (3); Pietari (3)
Peter / Pietari / Peeter,Petersburg,96,0.053481894150417826,88,0.052443384982121574,1795,1678,in Petersburg (19); to St. Petersburg (14); to Petersburg (11); in St. Petersburg (9); from St. Petersburg (7); from Petersburg (7); Saint Petersburg (5); St. Petersburg (5)
Peter / Pietari / Peeter,Other,376,0.20947075208913649,353,0.21036948748510131,1795,1678,Peter's (181); Peeter's (52); Pekka's (24); Pietari's (11); Petersburg's (7); St. Petersburg's (6); Petteri's (5); Peet (4)
Martin / Mart / Märt,Martin,1125,0.321153297173851,1098,0.3305237808549067,3503,3322,Martin (742); Martin's (242); Martins (52); to Martin (29); on Martin (19); martin (10); at Martin's (5); Martin-men (4)
Martin / Mart / Märt,Mart/Marti,484,0.13816728518412788,463,0.13937387116195063,3503,3322,Mart (281); Marti (118); marti (57); O Mart (6); mart (5); to Mart (4); Mart (spirit) (3); little Mart (2)
Martin / Mart / Märt,Märt/Märti,637,0.1818441335997716,631,0.18994581577363034,3503,3322,Märti (347); Märt (232); on Märt (12); Märt (partitive) (11); Märdi (10); of märt (5); to Märt (4); on the märt (3)
Martin / Mart / Märt,Mardi/Mard,344,0.09820154153582643,329,0.09903672486453943,3503,3322,Mardi's (122); Mardis (49); to Mardi (27); Mardids (19); Mards (18); Mard's (16); Mardi (12); Mard (11)
Martin / Mart / Märt,Refrain,294,0.08392806166143306,234,0.07043949428055388,3503,3322,(refrain) (292); Märti (name/refrain) (2)
Martin / Mart / Märt,Bear/Spirit,145,0.04139309163574079,132,0.039735099337748346,3503,3322,bear's (23); spirit (22); spirit's (21); spirits (16); bear (15); Mardi spirits (11); mard-spirits (6); Mard spirits (4)
Martin / Mart / Märt,Other,474,0.1353125892092492,435,0.13094521372667067,3503,3322,Märt's (223); Mart's (114); Märdi's (14); goblin (14); Märti's (12); at Märt's (8); Märts (8); of Märd (8)
Catherine / Kadri / Katri,Kadri,1190,0.5486399262332873,1134,0.5664335664335665,2169,2002,Kadri (730); Kadris (81); Kadri's (65); on Kadri (65); Kadrina (55); Kadrike (49); to Kadri (24); little Kadris (18)
Catherine / Kadri / Katri,Katri/Katrina,345,0.1590594744121715,270,0.13486513486513488,2169,2002,Katri (313); Katrina (21); little Katri (3); to Katri (3); Katri (has) (2); from Katri (1); my Katri (1); as Katri (1)
Catherine / Kadri / Katri,Kaisa/Kaie,201,0.09266943291839558,182,0.09090909090909091,2169,2002,Kaisa (168); Kaie (9); from Kaisa (4); Kaisa (name) (3); as Kaisa (2); Kaisa/sedge (2); to-Kaisa (2); Kaisa-EMPH (2)
Catherine / Kadri / Katri,Kati,92,0.04241585984324574,85,0.042457542457542456,2169,2002,Kati (81); to Kati (8); Kati (name) (1); kati (1); my Kati/dear one (1)
Catherine / Kadri / Katri,Catherine/Katherine,43,0.0198248040571692,41,0.02047952047952048,2169,2002,Catherine (30); Katherine (13)
Catherine / Kadri / Katri,Refrain,132,0.06085753803596127,131,0.06543456543456544,2169,2002,(refrain) (130); [refrain] (2)
Catherine / Kadri / Katri,Other,166,0.07653296449976948,159,0.07942057942057942,2169,2002,Kaisa's (45); Katri's (21); Triinu (8); Kati's (7); Katre (4); to Kadrids (4); Katherine's (4); Kateriina (4)
Anna / Anne / Ann / Anni,Anne,675,0.2982766239505082,636,0.3005671077504726,2263,2116,Anne (535); little Anne (54); to Anne (34); on Anne (11); Little Anne (5); at Anne (4); with Anne (4); little-Anne (3)
Anna / Anne / Ann / Anni,Ann,479,0.21166593018117544,444,0.20982986767485823,2263,2116,Ann (425); little Ann (22); to Ann (12); from Ann (4); at Ann (4); Ann/grace (2); Ann (name) (2); on Ann (2)
Anna / Anne / Ann / Anni,Anni/Annie,457,0.20194432169686258,420,0.19848771266540643,2263,2116,Anni (370); to Anni (24); Annie (17); from Anni (14); my Anni (6); as Anni (5); Anni (name) (3); Annie (diminutive) (2)
Anna / Anne / Ann / Anni,Anna,74,0.032699955810870526,68,0.03213610586011342,2263,2116,Anna (46); little Anna (11); Little Anna (7); to Anna (3); anna (3); from little Anna (2); little-Anna (1); Little-Anna (1)
Anna / Anne / Ann / Anni,Anu,41,0.018117543084401236,39,0.018431001890359167,2263,2116,Anu (31); with Anu (3); Anu/beggar (2); from Anu (1); little Anu (1); of anu (1); into Anu (1); to Anu (1)
Anna / Anne / Ann / Anni,Gift,275,0.12152010605391074,263,0.12429111531190926,2263,2116,gifts (150); gift (68); of gifts (9); from gift (8); with gifts (5); little gift (5); as gift (4); to gift (4)
Anna / Anne / Ann / Anni,Other,262,0.11577551922227132,246,0.11625708884688091,2263,2116,Anni's (50); Ann's (40); Anne's (33); Annes (14); Anns (10); Anna's (8); at Anne's (6); Annin (6)
