person_cluster,tokens,variant_tokens,poems,variation_rate,person_category,same_person_confidence
Lilla,38,2,16,0.05263157894736842,unmapped_possible_person_name,low
Hants,35,4,23,0.11428571428571428,unmapped_possible_person_name,low
Elts,31,10,22,0.3225806451612903,unmapped_possible_person_name,low
Elias / Eljas,30,10,22,0.3333333333333333,given_name_family_or_biblical,medium
Olli,29,1,23,0.034482758620689655,unmapped_possible_person_name,low
kaija,28,1,18,0.03571428571428571,unmapped_possible_person_name,low
Leena,28,0,21,0.0,unmapped_possible_person_name,low
Iivana,28,5,15,0.17857142857142858,unmapped_possible_person_name,low
Miku,28,2,13,0.07142857142857142,unmapped_possible_person_name,low
mai,28,11,15,0.39285714285714285,unmapped_possible_person_name,low
Lalli,26,2,17,0.07692307692307693,unmapped_possible_person_name,low
Iro,26,1,7,0.038461538461538464,unmapped_possible_person_name,low
Erkki,26,1,22,0.038461538461538464,unmapped_possible_person_name,low
Ants,25,25,23,1.0,unmapped_possible_person_name,low
Kokki,25,0,3,0.0,unmapped_possible_person_name,low
Pirelill,25,0,2,0.0,unmapped_possible_person_name,low
Pille,24,0,15,0.0,unmapped_possible_person_name,low
Tiina,24,2,18,0.08333333333333333,unmapped_possible_person_name,low
Turo,24,12,8,0.5,unmapped_possible_person_name,low
Eeli,24,13,24,0.5416666666666666,unmapped_possible_person_name,low
Aino,23,5,16,0.21739130434782608,unmapped_possible_person_name,low
Paavo,23,6,21,0.2608695652173913,unmapped_possible_person_name,low
Taneli,23,1,13,0.043478260869565216,unmapped_possible_person_name,low
kai,23,2,15,0.08695652173913043,unmapped_possible_person_name,low
Halli,23,2,19,0.08695652173913043,unmapped_possible_person_name,low
Iide,22,1,8,0.045454545454545456,unmapped_possible_person_name,low
Vello,22,1,12,0.045454545454545456,unmapped_possible_person_name,low
Aadu,22,1,14,0.045454545454545456,unmapped_possible_person_name,low
killi,22,0,4,0.0,unmapped_possible_person_name,low
Nalli,22,2,18,0.09090909090909091,unmapped_possible_person_name,low
Kyrsö,21,0,3,0.0,unmapped_possible_person_name,low
Kojonen,21,2,15,0.09523809523809523,unmapped_possible_person_name,low
Vappu,21,1,15,0.047619047619047616,unmapped_possible_person_name,low
Annikka,20,1,17,0.05,unmapped_possible_person_name,low
Otto,20,2,11,0.1,unmapped_possible_person_name,low
Mareta,20,0,12,0.0,unmapped_possible_person_name,low
Kiisa,20,0,2,0.0,unmapped_possible_person_name,low
Akkeri,20,3,20,0.15,unmapped_possible_person_name,low
Viiu,20,0,11,0.0,unmapped_possible_person_name,low
Martti,20,1,20,0.05,unmapped_possible_person_name,low
Nali,19,19,1,1.0,unmapped_possible_person_name,low
Väinö,19,7,15,0.3684210526315789,unmapped_possible_person_name,low
Kadriku,19,0,1,0.0,unmapped_possible_person_name,low
Tiitta,19,3,6,0.15789473684210525,unmapped_possible_person_name,low
Timo,19,5,12,0.2631578947368421,unmapped_possible_person_name,low
Tsilepp,19,19,1,1.0,unmapped_possible_person_name,low
Emuli,19,0,2,0.0,unmapped_possible_person_name,low
Joseph / Joosep,18,7,18,0.3888888888888889,given_name_family_or_biblical,medium
Manni,18,1,11,0.05555555555555555,unmapped_possible_person_name,low
Rutja,18,4,17,0.2222222222222222,unmapped_possible_person_name,low
Tiit,18,8,13,0.4444444444444444,unmapped_possible_person_name,low
Ollermann,18,17,2,0.9444444444444444,unmapped_possible_person_name,low
Maije,17,0,3,0.0,unmapped_possible_person_name,low
Hytelä,17,0,9,0.0,unmapped_possible_person_name,low
Jyrki,17,1,15,0.058823529411764705,unmapped_possible_person_name,low
Hannus,17,1,8,0.058823529411764705,unmapped_possible_person_name,low
Kärt,17,0,13,0.0,unmapped_possible_person_name,low
Ulla,16,4,13,0.25,unmapped_possible_person_name,low
Pirkko,16,5,14,0.3125,unmapped_possible_person_name,low
Tõnu,16,1,8,0.0625,unmapped_possible_person_name,low
Pallo,16,2,2,0.125,unmapped_possible_person_name,low
Savo,16,1,13,0.0625,unmapped_possible_person_name,low
Are,15,0,5,0.0,unmapped_possible_person_name,low
Nuutti,15,0,13,0.0,unmapped_possible_person_name,low
Letty,15,0,4,0.0,unmapped_possible_person_name,low
Tapani,15,3,13,0.2,unmapped_possible_person_name,low
Kullervo,14,1,14,0.07142857142857142,unmapped_possible_person_name,low
Maikko,14,0,4,0.0,unmapped_possible_person_name,low
Maret,14,2,11,0.14285714285714285,unmapped_possible_person_name,low
Eero,14,1,13,0.07142857142857142,unmapped_possible_person_name,low
Rein,14,2,9,0.14285714285714285,unmapped_possible_person_name,low
Anterus,14,0,8,0.0,unmapped_possible_person_name,low
Helinä,14,3,2,0.21428571428571427,unmapped_possible_person_name,low
Annikki,14,2,14,0.14285714285714285,unmapped_possible_person_name,low
Kuura,13,0,12,0.0,unmapped_possible_person_name,low
Sämpsä,13,12,2,0.9230769230769231,unmapped_possible_person_name,low
Mare,13,2,11,0.15384615384615385,unmapped_possible_person_name,low
Annukka,13,9,5,0.6923076923076923,unmapped_possible_person_name,low
Ville,13,3,13,0.23076923076923078,unmapped_possible_person_name,low
Kaarel,13,1,11,0.07692307692307693,unmapped_possible_person_name,low
Tiidu,13,0,9,0.0,unmapped_possible_person_name,low
Liina,13,5,9,0.38461538461538464,unmapped_possible_person_name,low
Manu,13,0,9,0.0,unmapped_possible_person_name,low
Lemmingäinen,13,7,4,0.5384615384615384,unmapped_possible_person_name,low
Nirgi,12,0,12,0.0,unmapped_possible_person_name,low
Krõõt,12,3,10,0.25,unmapped_possible_person_name,low
Anttila,12,2,12,0.16666666666666666,unmapped_possible_person_name,low
Eva,12,0,5,0.0,unmapped_possible_person_name,low
Hatsina,12,2,12,0.16666666666666666,unmapped_possible_person_name,low
Madli,12,3,7,0.25,unmapped_possible_person_name,low
Oller,11,0,7,0.0,unmapped_possible_person_name,low
Olland,11,0,5,0.0,unmapped_possible_person_name,low
Ellen,11,0,11,0.0,unmapped_possible_person_name,low
Tilu,11,1,10,0.09090909090909091,unmapped_possible_person_name,low
Sohvi,11,1,8,0.09090909090909091,unmapped_possible_person_name,low
Antero,11,1,11,0.09090909090909091,unmapped_possible_person_name,low
Miina,11,3,10,0.2727272727272727,unmapped_possible_person_name,low
Helka,11,4,3,0.36363636363636365,unmapped_possible_person_name,low
Tattula,11,1,11,0.09090909090909091,unmapped_possible_person_name,low
Maijo,11,0,1,0.0,unmapped_possible_person_name,low
Maiju,11,7,4,0.6363636363636364,unmapped_possible_person_name,low
Siimu,11,0,7,0.0,unmapped_possible_person_name,low
Mann,11,2,8,0.18181818181818182,unmapped_possible_person_name,low
nimetön,11,2,11,0.18181818181818182,unmapped_possible_person_name,low
Iire,11,0,11,0.0,unmapped_possible_person_name,low
Leenu,11,0,11,0.0,unmapped_possible_person_name,low
Aatami,11,4,10,0.36363636363636365,unmapped_possible_person_name,low
Akkeli,11,1,11,0.09090909090909091,unmapped_possible_person_name,low
Konnu,11,0,6,0.0,unmapped_possible_person_name,low
Tõnis,11,0,9,0.0,unmapped_possible_person_name,low
Katre,10,6,5,0.6,unmapped_possible_person_name,low
Ella,10,1,8,0.1,unmapped_possible_person_name,low
Olka,10,0,1,0.0,unmapped_possible_person_name,low
Valpuri,10,0,7,0.0,unmapped_possible_person_name,low
Eskon,10,6,10,0.6,unmapped_possible_person_name,low
kaie,10,0,5,0.0,unmapped_possible_person_name,low
Huis,10,0,10,0.0,unmapped_possible_person_name,low
Osmotar,10,0,8,0.0,unmapped_possible_person_name,low
Olev,10,3,8,0.3,unmapped_possible_person_name,low
Jordan,10,3,10,0.3,unmapped_possible_person_name,low
Penttilä,10,0,10,0.0,unmapped_possible_person_name,low
Laukko,10,0,8,0.0,unmapped_possible_person_name,low
Kalerva,10,0,8,0.0,unmapped_possible_person_name,low
Ott,10,3,9,0.3,unmapped_possible_person_name,low
sõeru,10,0,2,0.0,unmapped_possible_person_name,low
Paakari,10,0,10,0.0,unmapped_possible_person_name,low
Mattila,10,0,10,0.0,unmapped_possible_person_name,low
Hippa,10,0,9,0.0,unmapped_possible_person_name,low
Paavel,10,0,6,0.0,unmapped_possible_person_name,low
Kuokkala,10,0,7,0.0,unmapped_possible_person_name,low
Siimann,10,10,1,1.0,unmapped_possible_person_name,low
Kalervikko,9,0,7,0.0,unmapped_possible_person_name,low
Laara,9,1,9,0.1111111111111111,unmapped_possible_person_name,low
Jere,9,0,1,0.0,unmapped_possible_person_name,low
Eerik,9,4,8,0.4444444444444444,unmapped_possible_person_name,low
Prokko,9,3,4,0.3333333333333333,unmapped_possible_person_name,low
Pekko,9,3,8,0.3333333333333333,unmapped_possible_person_name,low
pihka & Heikki,9,5,9,0.5555555555555556,unmapped_possible_person_name,low
Irmi,9,6,4,0.6666666666666666,unmapped_possible_person_name,low
Turkku,9,0,9,0.0,unmapped_possible_person_name,low
Joan,9,0,4,0.0,unmapped_possible_person_name,low
Marja,9,4,7,0.4444444444444444,unmapped_possible_person_name,low
Lavus,9,0,1,0.0,unmapped_possible_person_name,low
Venna,9,0,2,0.0,unmapped_possible_person_name,low
Kerttu,9,3,9,0.3333333333333333,unmapped_possible_person_name,low
Kolga,9,0,8,0.0,unmapped_possible_person_name,low
Mampsel,9,3,4,0.3333333333333333,unmapped_possible_person_name,low
Kille,9,0,3,0.0,unmapped_possible_person_name,low
Myyri,9,0,3,0.0,unmapped_possible_person_name,low
Pietula,9,1,9,0.1111111111111111,unmapped_possible_person_name,low
Akeri,9,9,8,1.0,unmapped_possible_person_name,low
Kudres,8,0,4,0.0,unmapped_possible_person_name,low
Hantsu,8,0,6,0.0,unmapped_possible_person_name,low
Pirjo,8,6,7,0.75,unmapped_possible_person_name,low
Tabio,8,0,5,0.0,unmapped_possible_person_name,low
Inkeri,8,1,8,0.125,unmapped_possible_person_name,low
Teppo,8,4,7,0.5,unmapped_possible_person_name,low
Virro,8,1,7,0.125,unmapped_possible_person_name,low
Katti,8,4,5,0.5,unmapped_possible_person_name,low
Marketta,8,0,7,0.0,unmapped_possible_person_name,low
Kiesus,8,2,7,0.25,unmapped_possible_person_name,low
Kirjo,8,1,6,0.125,unmapped_possible_person_name,low
Nirg,8,5,7,0.625,unmapped_possible_person_name,low
Puntus,8,3,6,0.375,unmapped_possible_person_name,low
Sorola,8,0,8,0.0,unmapped_possible_person_name,low
Lulla,8,0,3,0.0,unmapped_possible_person_name,low
Urpo,8,3,8,0.375,unmapped_possible_person_name,low
Maieke,8,8,1,1.0,unmapped_possible_person_name,low
Olga,8,1,7,0.125,unmapped_possible_person_name,low
Tanni,8,0,6,0.0,unmapped_possible_person_name,low
Annus,8,2,3,0.25,unmapped_possible_person_name,low
Pellervo,8,8,3,1.0,unmapped_possible_person_name,low
Jouko,8,0,1,0.0,unmapped_possible_person_name,low
Jürje,8,0,2,0.0,unmapped_possible_person_name,low
Satu,8,0,5,0.0,unmapped_possible_person_name,low
Helena,7,2,6,0.2857142857142857,unmapped_possible_person_name,low
Koljo,7,0,1,0.0,unmapped_possible_person_name,low
Riitta,7,0,6,0.0,unmapped_possible_person_name,low
maanantai,7,0,7,0.0,unmapped_possible_person_name,low
Näu,7,0,7,0.0,unmapped_possible_person_name,low
Oapso,7,0,1,0.0,unmapped_possible_person_name,low
Kimmo,7,0,4,0.0,unmapped_possible_person_name,low
Tilli,7,4,7,0.5714285714285714,unmapped_possible_person_name,low
Ignat,7,6,3,0.8571428571428571,unmapped_possible_person_name,low
Oudin,7,0,1,0.0,unmapped_possible_person_name,low
Maikki,7,0,7,0.0,unmapped_possible_person_name,low
Lilli,7,3,7,0.42857142857142855,unmapped_possible_person_name,low
Meeli,7,0,2,0.0,unmapped_possible_person_name,low
Ilmari,7,1,3,0.14285714285714285,unmapped_possible_person_name,low
Hannu,7,2,7,0.2857142857142857,unmapped_possible_person_name,low
Tuura,7,1,4,0.14285714285714285,unmapped_possible_person_name,low
Vilppo,7,0,2,0.0,unmapped_possible_person_name,low
Tahvo,7,2,6,0.2857142857142857,unmapped_possible_person_name,low
Perseli,7,0,7,0.0,unmapped_possible_person_name,low
Pista,7,0,2,0.0,unmapped_possible_person_name,low
Klaavus,7,7,1,1.0,unmapped_possible_person_name,low
Marina,7,0,4,0.0,unmapped_possible_person_name,low
Makkonen,7,0,2,0.0,unmapped_possible_person_name,low
Koijonen,7,7,2,1.0,unmapped_possible_person_name,low
Lempo,7,0,7,0.0,unmapped_possible_person_name,low
Heino,7,0,1,0.0,unmapped_possible_person_name,low
Kärtu,7,1,4,0.14285714285714285,unmapped_possible_person_name,low
Piret,7,1,6,0.14285714285714285,unmapped_possible_person_name,low
Vana,7,0,1,0.0,unmapped_possible_person_name,low
Nursi,6,0,2,0.0,unmapped_possible_person_name,low
Marel,6,0,1,0.0,unmapped_possible_person_name,low
Formus,6,0,3,0.0,unmapped_possible_person_name,low
Eetu,6,4,4,0.6666666666666666,unmapped_possible_person_name,low
Kustu,6,0,2,0.0,unmapped_possible_person_name,low
Juortana,6,0,6,0.0,unmapped_possible_person_name,low
Ninni,6,0,6,0.0,unmapped_possible_person_name,low
Prits,6,0,1,0.0,unmapped_possible_person_name,low
Aapeli,6,0,4,0.0,unmapped_possible_person_name,low
Pärt,6,0,6,0.0,unmapped_possible_person_name,low
Hintsu,6,0,4,0.0,unmapped_possible_person_name,low
Pertti,6,1,5,0.16666666666666666,unmapped_possible_person_name,low
Pentti,6,2,6,0.3333333333333333,unmapped_possible_person_name,low
Eveliko,6,6,1,1.0,unmapped_possible_person_name,low
Koska,6,0,3,0.0,unmapped_possible_person_name,low
Mannu,6,2,5,0.3333333333333333,unmapped_possible_person_name,low
Kuuttari,6,0,3,0.0,unmapped_possible_person_name,low
Antsu,6,0,5,0.0,unmapped_possible_person_name,low
Mati,6,1,4,0.16666666666666666,unmapped_possible_person_name,low
Elme,6,0,3,0.0,unmapped_possible_person_name,low
Laamanen,6,2,5,0.3333333333333333,unmapped_possible_person_name,low
Elsa,6,1,6,0.16666666666666666,unmapped_possible_person_name,low
Humikkala,6,0,6,0.0,unmapped_possible_person_name,low
Kyrsi,6,0,3,0.0,unmapped_possible_person_name,low
Kojo,6,1,6,0.16666666666666666,unmapped_possible_person_name,low
Viia,6,5,4,0.8333333333333334,unmapped_possible_person_name,low
Perttuli,6,1,6,0.16666666666666666,unmapped_possible_person_name,low
Leming,6,4,1,0.6666666666666666,unmapped_possible_person_name,low
Leeni,6,1,2,0.16666666666666666,unmapped_possible_person_name,low
Kukkola,6,1,4,0.16666666666666666,unmapped_possible_person_name,low
Insu,6,0,4,0.0,unmapped_possible_person_name,low
Tooni,6,0,2,0.0,unmapped_possible_person_name,low
Torajoki,6,2,3,0.3333333333333333,unmapped_possible_person_name,low
Talna,6,4,4,0.6666666666666666,unmapped_possible_person_name,low
Kain,6,0,1,0.0,unmapped_possible_person_name,low
Peet,6,0,1,0.0,unmapped_possible_person_name,low
Immonen,6,0,4,0.0,unmapped_possible_person_name,low
Moska,6,0,3,0.0,unmapped_possible_person_name,low
Kiiu,6,0,5,0.0,unmapped_possible_person_name,low
Andrus,6,0,5,0.0,unmapped_possible_person_name,low
tilli,6,1,6,0.16666666666666666,unmapped_possible_person_name,low
Salmelt,6,6,1,1.0,unmapped_possible_person_name,low
Heikkilä,6,1,5,0.16666666666666666,unmapped_possible_person_name,low
Heko,6,1,2,0.16666666666666666,unmapped_possible_person_name,low
Jaska,6,0,5,0.0,unmapped_possible_person_name,low
Leene,6,0,1,0.0,unmapped_possible_person_name,low
Juula,6,0,4,0.0,unmapped_possible_person_name,low
Kateriina,5,1,4,0.2,unmapped_possible_person_name,low
Pietola,5,1,5,0.2,unmapped_possible_person_name,low
Koik,5,4,3,0.8,unmapped_possible_person_name,low
Tiita,5,0,1,0.0,unmapped_possible_person_name,low
nuutti,5,0,5,0.0,unmapped_possible_person_name,low
Päts,5,0,1,0.0,unmapped_possible_person_name,low
nenn,5,0,1,0.0,unmapped_possible_person_name,low
Hussan,5,0,5,0.0,unmapped_possible_person_name,low
Kaukamoi,5,5,1,1.0,unmapped_possible_person_name,low
Joakko,5,1,2,0.2,unmapped_possible_person_name,low
Moskova,5,0,5,0.0,unmapped_possible_person_name,low
Kõreta,5,0,1,0.0,unmapped_possible_person_name,low
Riisi,5,0,5,0.0,unmapped_possible_person_name,low
Marini,5,0,2,0.0,unmapped_possible_person_name,low
Kiko,5,2,2,0.4,unmapped_possible_person_name,low
Aru,5,0,4,0.0,unmapped_possible_person_name,low
Viire,5,2,4,0.4,unmapped_possible_person_name,low
Hilma,5,0,4,0.0,unmapped_possible_person_name,low
Markkula,5,1,5,0.2,unmapped_possible_person_name,low
Peterburi,5,2,5,0.4,unmapped_possible_person_name,low
Reinikko,5,4,2,0.8,unmapped_possible_person_name,low
Riet,5,0,1,0.0,unmapped_possible_person_name,low
Tusti,5,0,3,0.0,unmapped_possible_person_name,low
Pireta,5,2,4,0.4,unmapped_possible_person_name,low
Perttu,5,1,5,0.2,unmapped_possible_person_name,low
Puts,5,0,3,0.0,unmapped_possible_person_name,low
Narentka,5,0,4,0.0,unmapped_possible_person_name,low
Nanna,5,0,5,0.0,unmapped_possible_person_name,low
Siimo,5,0,1,0.0,unmapped_possible_person_name,low
Arjun,5,0,2,0.0,unmapped_possible_person_name,low
Tormio,5,0,5,0.0,unmapped_possible_person_name,low
Ortto,5,0,1,0.0,unmapped_possible_person_name,low
Vilho,5,1,5,0.2,unmapped_possible_person_name,low
Jyrri,5,1,5,0.2,unmapped_possible_person_name,low
Käänu,5,0,1,0.0,unmapped_possible_person_name,low
Antrus,5,0,1,0.0,unmapped_possible_person_name,low
Karttu,5,0,5,0.0,unmapped_possible_person_name,low
Forpus,5,0,3,0.0,unmapped_possible_person_name,low
Osmala,5,0,2,0.0,unmapped_possible_person_name,low
Eltse,5,0,3,0.0,unmapped_possible_person_name,low
Iidu,5,0,5,0.0,unmapped_possible_person_name,low
Tilta,5,0,3,0.0,unmapped_possible_person_name,low
Rants,5,1,4,0.2,unmapped_possible_person_name,low
Allan,5,0,5,0.0,unmapped_possible_person_name,low
Kaapro,5,4,2,0.8,unmapped_possible_person_name,low
Kustas,5,0,4,0.0,unmapped_possible_person_name,low
Iir,5,2,3,0.4,unmapped_possible_person_name,low
Risto,5,0,3,0.0,unmapped_possible_person_name,low
Ollerjaani,5,0,1,0.0,unmapped_possible_person_name,low
Untamon,5,5,2,1.0,unmapped_possible_person_name,low
Pürje,5,0,5,0.0,unmapped_possible_person_name,low
Ollila,5,1,5,0.2,unmapped_possible_person_name,low
Tauno,5,2,5,0.4,unmapped_possible_person_name,low
Iiri,5,1,5,0.2,unmapped_possible_person_name,low
Iivari,5,2,5,0.4,unmapped_possible_person_name,low
pihkaheikki,5,2,5,0.4,unmapped_possible_person_name,low
Eedu,5,0,1,0.0,unmapped_possible_person_name,low
Ontro,5,0,1,0.0,unmapped_possible_person_name,low
Iisakki,5,0,4,0.0,unmapped_possible_person_name,low
Miikkula,5,1,5,0.2,unmapped_possible_person_name,low
Kali,5,0,2,0.0,unmapped_possible_person_name,low
Tonkka,5,0,1,0.0,unmapped_possible_person_name,low
Tiitto,5,0,1,0.0,unmapped_possible_person_name,low
Anikka,5,0,5,0.0,unmapped_possible_person_name,low
Kilter,5,0,5,0.0,unmapped_possible_person_name,low
Else,5,0,5,0.0,unmapped_possible_person_name,low
Paatitsa,5,0,5,0.0,unmapped_possible_person_name,low
Simana,5,0,1,0.0,unmapped_possible_person_name,low
Hekojen,5,5,1,1.0,unmapped_possible_person_name,low
Taavetti,5,2,3,0.4,unmapped_possible_person_name,low
Juuttahi,5,0,1,0.0,unmapped_possible_person_name,low
Oapro,5,0,1,0.0,unmapped_possible_person_name,low
Kopa,5,0,1,0.0,unmapped_possible_person_name,low
Toom,5,0,3,0.0,unmapped_possible_person_name,low
Ogo,5,0,5,0.0,unmapped_possible_person_name,low
Aadam,5,1,5,0.2,unmapped_possible_person_name,low
Hätilä,5,0,3,0.0,unmapped_possible_person_name,low
Tuudi,5,0,5,0.0,unmapped_possible_person_name,low
Kiira,4,0,3,0.0,unmapped_possible_person_name,low
Mauno,4,2,4,0.5,unmapped_possible_person_name,low
Hessu,4,1,3,0.25,unmapped_possible_person_name,low
Jussila,4,3,3,0.75,unmapped_possible_person_name,low
Markku,4,1,2,0.25,unmapped_possible_person_name,low
Henela,4,4,1,1.0,unmapped_possible_person_name,low
Minni,4,0,1,0.0,unmapped_possible_person_name,low
Vatla,4,0,2,0.0,unmapped_possible_person_name,low
Tuurittuinen,4,0,2,0.0,unmapped_possible_person_name,low
Hentu,4,0,4,0.0,unmapped_possible_person_name,low
Veljo,4,4,1,1.0,unmapped_possible_person_name,low
Tessu,4,0,2,0.0,unmapped_possible_person_name,low
Marola,4,0,2,0.0,unmapped_possible_person_name,low
Vihta,4,4,1,1.0,unmapped_possible_person_name,low
Vellamo,4,2,4,0.5,unmapped_possible_person_name,low
Marjukka,4,1,4,0.25,unmapped_possible_person_name,low
Temi,4,0,2,0.0,unmapped_possible_person_name,low
Helevi,4,0,1,0.0,unmapped_possible_person_name,low
Vasko,4,0,2,0.0,unmapped_possible_person_name,low
Kilingi,4,1,4,0.25,unmapped_possible_person_name,low
Mellola,4,0,2,0.0,unmapped_possible_person_name,low
Kauko,4,1,2,0.25,unmapped_possible_person_name,low
Laurin,4,4,1,1.0,unmapped_possible_person_name,low
Teti,4,0,2,0.0,unmapped_possible_person_name,low
Tonteri,4,0,3,0.0,unmapped_possible_person_name,low
Vormus,4,2,2,0.5,unmapped_possible_person_name,low
Tipunipu,4,0,1,0.0,unmapped_possible_person_name,low
kaiekene,4,2,3,0.5,unmapped_possible_person_name,low
Iita,4,0,3,0.0,unmapped_possible_person_name,low
Jortana,4,0,4,0.0,unmapped_possible_person_name,low
Kaletteri,4,0,1,0.0,unmapped_possible_person_name,low
Kroet,4,0,1,0.0,unmapped_possible_person_name,low
Ilja,4,1,3,0.25,unmapped_possible_person_name,low
Ilkka,4,0,1,0.0,unmapped_possible_person_name,low
Tuira,4,1,4,0.25,unmapped_possible_person_name,low
Tolma,4,0,2,0.0,unmapped_possible_person_name,low
Vuoksi,4,2,4,0.5,unmapped_possible_person_name,low
Tsiimani,4,0,1,0.0,unmapped_possible_person_name,low
Kuippina,4,1,2,0.25,unmapped_possible_person_name,low
Iiro,4,0,1,0.0,unmapped_possible_person_name,low
Injo,4,0,1,0.0,unmapped_possible_person_name,low
Kaara,4,3,3,0.75,unmapped_possible_person_name,low
Kura,4,0,2,0.0,unmapped_possible_person_name,low
Uku,4,1,3,0.25,unmapped_possible_person_name,low
Liena,4,0,3,0.0,unmapped_possible_person_name,low
Ismaro,4,0,3,0.0,unmapped_possible_person_name,low
Laukki,4,0,2,0.0,unmapped_possible_person_name,low
Ivan,4,0,4,0.0,unmapped_possible_person_name,low
Kahala,4,2,3,0.5,unmapped_possible_person_name,low
Kaarosta,4,1,3,0.25,unmapped_possible_person_name,low
Võlla,4,0,2,0.0,unmapped_possible_person_name,low
Touru,4,0,4,0.0,unmapped_possible_person_name,low
Triinu,4,0,3,0.0,unmapped_possible_person_name,low
Lallu,4,0,3,0.0,unmapped_possible_person_name,low
Kusta,4,1,4,0.25,unmapped_possible_person_name,low
Tetti,4,4,2,1.0,unmapped_possible_person_name,low
Uandi,4,0,2,0.0,unmapped_possible_person_name,low
ants,4,2,4,0.5,unmapped_possible_person_name,low
Mardi,4,0,3,0.0,unmapped_possible_person_name,low
Mara,4,0,3,0.0,unmapped_possible_person_name,low
Kasteri,4,3,3,0.75,unmapped_possible_person_name,low
Huikkola,4,0,3,0.0,unmapped_possible_person_name,low
ainoa,4,2,3,0.5,unmapped_possible_person_name,low
Villem,4,1,3,0.25,unmapped_possible_person_name,low
Malla,4,0,4,0.0,unmapped_possible_person_name,low
Villändi,4,4,1,1.0,unmapped_possible_person_name,low
Tiio,4,0,4,0.0,unmapped_possible_person_name,low
Huru,4,1,4,0.25,unmapped_possible_person_name,low
