p_id,v_id,v_pos,w_pos,county,place_name,person_cluster,person_category,same_person_confidence,detection_signal,word,word_normalised,local_lemma,standard_lemma,root,word_in_english,same_person_note
89316,1190536,33,2,Virumaa,Viru-Jaagupi,Martin / Mart / Märt,given_name_family,medium,known_person_name_cluster,mardile,Mardile,Mardi-le,Mardi,Mart,to Martin,"Same name family; often Martin/Mart/Märt/Märti, but not proof of one person across poems."
89316,1190537,34,2,Virumaa,Viru-Jaagupi,Martin / Mart / Märt,given_name_family,medium,known_person_name_cluster,mardile,Mardile,Mardi-le,Mardi,Mart,to Martin,"Same name family; often Martin/Mart/Märt/Märti, but not proof of one person across poems."
89316,1190548,45,3,Virumaa,Viru-Jaagupi,Martin / Mart / Märt,given_name_family,medium,known_person_name_cluster,mart,Mart,Mart,Mart,Mart,Martin,"Same name family; often Martin/Mart/Märt/Märti, but not proof of one person across poems."
89316,1190549,46,1,Virumaa,Viru-Jaagupi,Martin / Mart / Märt,given_name_family,medium,known_person_name_cluster,mart,Mart,Mart,Mart,Mart,Martin,"Same name family; often Martin/Mart/Märt/Märti, but not proof of one person across poems."
89340,1190800,1,3,Virumaa,Vaivara,Thomas / Toomas / Tuomas,given_name_family_or_biblical,medium,known_person_name_cluster,tuomas,Toomas,Toomas,Toomas,Thomas (loan),Thomas,Thomas/Toomas/Tuomas equivalents.
89342,1190813,2,1,Virumaa,Viru-Nigula,Eve / Eeva,biblical_religious,medium,known_person_name_cluster,Eeva,Eeva,Eeva,Eeva,Eeva,Eve,Eve/Eeva variants.
89389,1191573,2,4,Võrumaa,Vastseliina,Mary / Maria / Maarja / Mari,biblical_religious,medium,known_person_name_cluster,mara,mara,mara,mari,mari,berry,"Usually Mary/Maria, but Mari/Maija can also be ordinary given names in some contexts."
89447,1192441,6,3,Pärnumaa,Häädemeeste,Anna / Anne / Ann / Anni,given_name_family,medium,known_person_name_cluster,annele,Annele,Anne,Anne,Anne,Annele,Same name family/diminutive set; individual identity depends on poem context.
89447,1192442,7,3,Pärnumaa,Häädemeeste,Elizabeth / Liisa / Liisu / Elli,given_name_family,medium,known_person_name_cluster,liisule,Liisule,Liisu,Liisu,Liisu,Liisule,Elizabeth-derived name family; not one person unless poem context supports it.
89500,1193243,9,2,Virumaa,Vaivara,Tuomas & vend,unmapped_possible_person_name,low,root_name_signal,tuomasvenda,Tuomas-venda,Tuomas & venda,Tuomas & vend,Tuomas (name) + vend (brother),Thomas-brother,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
89597,1194448,2,2,Pärnumaa,Pärnu-Jaagupi,Mary / Maria / Maarja / Mari,biblical_religious,medium,root_proper_name,mari,Mari,Mari,Mari,Mari (proper name),Mari,"Usually Mary/Maria, but Mari/Maija can also be ordinary given names in some contexts."
89597,1194450,4,2,Pärnumaa,Pärnu-Jaagupi,Mary / Maria / Maarja / Mari,biblical_religious,medium,root_proper_name,mari,Mari,Mari,Mari,Mari (proper name),Mari,"Usually Mary/Maria, but Mari/Maija can also be ordinary given names in some contexts."
89597,1194451,5,1,Pärnumaa,Pärnu-Jaagupi,Mary / Maria / Maarja / Mari,biblical_religious,medium,root_proper_name,mari,Mari,Mari,Mari,Mari (proper name),Mari,"Usually Mary/Maria, but Mari/Maija can also be ordinary given names in some contexts."
89597,1194452,6,2,Pärnumaa,Pärnu-Jaagupi,Mary / Maria / Maarja / Mari,biblical_religious,medium,root_proper_name,mari,Mari,Mari,Mari,Mari (proper name),Mari,"Usually Mary/Maria, but Mari/Maija can also be ordinary given names in some contexts."
89597,1194453,7,2,Pärnumaa,Pärnu-Jaagupi,Mary / Maria / Maarja / Mari,biblical_religious,medium,root_proper_name,mari,Mari,Mari,Mari,Mari (proper name),Mari,"Usually Mary/Maria, but Mari/Maija can also be ordinary given names in some contexts."
89597,1194454,8,2,Pärnumaa,Pärnu-Jaagupi,Mary / Maria / Maarja / Mari,biblical_religious,medium,root_proper_name,mari,Mari,Mari,Mari,Mari (proper name),Mari,"Usually Mary/Maria, but Mari/Maija can also be ordinary given names in some contexts."
89597,1194455,9,5,Pärnumaa,Pärnu-Jaagupi,George / Jüri,given_name_family_or_saint,medium,root_proper_name,jürikene,Jürikene,Jüri,Jüri,Jüri (proper name) & -kene (diminutive),little Jüri,George/Jüri equivalent; can be saint or ordinary name.
89597,1194456,11,1,Pärnumaa,Pärnu-Jaagupi,Mary / Maria / Maarja / Mari,biblical_religious,medium,root_proper_name,mari,Mari,Mari,Mari,Mari (proper name),Mari,"Usually Mary/Maria, but Mari/Maija can also be ordinary given names in some contexts."
89629,1194994,5,1,Tartumaa,Kodavere,Anna / Anne / Ann / Anni,given_name_family,medium,known_person_name_cluster,Ann,Ann,Ann,Ann,Ann,Ann,Same name family/diminutive set; individual identity depends on poem context.
89629,1194995,6,1,Tartumaa,Kodavere,Catherine / Kadri / Katri,given_name_family_or_saint,medium,known_person_name_cluster,kadri,Kadri,Kadri,Kadri,Kadri,Kadri,Catherine/Katariina-derived group; in ritual songs may point to St Catherine/Kadri.
89702,1195989,1,3,Tartumaa,Sangaste,Martin / Mart / Märt,given_name_family,medium,known_person_name_cluster,märti,Märti,märti,Märt,Märt,Martin,"Same name family; often Martin/Mart/Märt/Märti, but not proof of one person across poems."
89702,1195989,1,4,Tartumaa,Sangaste,Martin / Mart / Märt,given_name_family,medium,known_person_name_cluster,märti,Märti,märti,Märt,Märt,Martin,"Same name family; often Martin/Mart/Märt/Märti, but not proof of one person across poems."
89721,1196281,4,4,Viljandimaa,Helme,John / Jaan / Jussi / Hans,given_name_family_or_biblical,medium,known_person_name_cluster,Jaanil,Jaanil,Jaanil,Jaan,Jaan,at Jaan,Johannes-derived name family; ordinary-name occurrences are not automatically one person.
89731,1196464,3,4,Harjumaa,Kuusalu,Mary / Maria / Maarja / Mari,biblical_religious,medium,known_person_name_cluster,marja,marja,mari,mari,mari,berry,"Usually Mary/Maria, but Mari/Maija can also be ordinary given names in some contexts."
89731,1196470,9,4,Harjumaa,Kuusalu,Mary / Maria / Maarja / Mari,biblical_religious,medium,known_person_name_cluster,marjad,marjad,mari,mari,mari,berries,"Usually Mary/Maria, but Mari/Maija can also be ordinary given names in some contexts."
89764,1196387,14,4,Harjumaa,Kuusalu,Mary / Maria / Maarja / Mari,biblical_religious,medium,known_person_name_cluster,marjad,marjad,mari,mari,mari,berries,"Usually Mary/Maria, but Mari/Maija can also be ordinary given names in some contexts."
89769,1197226,4,4,Harjumaa,Kuusalu,Maitla,unmapped_possible_person_name,low,root_proper_name,maitla,Maitla,Maitla,Maitla,(proper name),Maitla's,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
89769,1197227,5,1,Harjumaa,Kuusalu,Maitla,unmapped_possible_person_name,low,root_proper_name,maitla,Maitla,Maitla,Maitla,(proper name),Maitla's,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
89769,1197228,6,2,Harjumaa,Kuusalu,Maitla,unmapped_possible_person_name,low,root_proper_name,maitla,Maitla,Maitla,Maitla,(proper name),Maitla's,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
89769,1197231,9,2,Harjumaa,Kuusalu,Tua-Jaani,unmapped_possible_person_name,low,root_proper_name,tuajaani,Tua-Jaani,Tua-Jaani,Tua-Jaani,(proper name),Tua-Jaani's,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
89769,1197232,10,1,Harjumaa,Kuusalu,John / Jaan / Jussi / Hans,given_name_family_or_biblical,medium,root_proper_name,jaan,Jaan,Jaan,Jaan,(proper name),Jaan,Johannes-derived name family; ordinary-name occurrences are not automatically one person.
89811,1197941,5,4,Viljandimaa,Kolga-Jaani,Talna,unmapped_possible_person_name,low,root_proper_name,talna,Talna,talna,Talna,(proper noun),Talna,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
89933,1199962,2,3,Saaremaa,Muhu,une_liisu,unmapped_possible_person_name,low,root_name_signal,uneliisu,Une-Liisu,uneliisu,une_liisu,uni + Liisu (personal name),Sleep-Liisu,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
89985,1200806,1,2,Pärnumaa,Karksi,Anna / Anne / Ann / Anni,given_name_family,medium,known_person_name_cluster,anne,Anne,Anne,Anne,Anne,Anne,Same name family/diminutive set; individual identity depends on poem context.
90040,1201428,3,1,Setumaa,Setumaa,God / Jumala / Jumal,religious_title_or_deity,medium,known_person_name_cluster,jummal,Jumal,jummal,Jumal,Jumal,God,"Jumala/Jumal/God/Lord/Creator often refer to the Christian God, but title words can vary by context."
90065,1201930,15,1,Tartumaa,Sangaste,Mary / Maria / Maarja / Mari,biblical_religious,medium,known_person_name_cluster,mari,Mari,Mari,Mari,Mari,Mari,"Usually Mary/Maria, but Mari/Maija can also be ordinary given names in some contexts."
90094,1202404,3,3,Saaremaa,Kihelkonna,Mary / Maria / Maarja / Mari,biblical_religious,medium,known_person_name_cluster,marja,marja,mari,mari,Proto-Finnic *marja,berry,"Usually Mary/Maria, but Mari/Maija can also be ordinary given names in some contexts."
90094,1202405,4,2,Saaremaa,Kihelkonna,Tott,unmapped_possible_person_name,low,root_proper_name,totul,Tootule,Tott,Tott,Proper name,Tootu,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
90094,1202406,5,1,Saaremaa,Kihelkonna,Tott,unmapped_possible_person_name,low,root_proper_name,tott,Tott,Tott,Tott,Proper name,Tott,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
90103,1202538,5,1,Tartumaa,Kodavere,Martin / Mart / Märt,given_name_family,medium,local_name_cluster_with_name_signal,märt,Märt,Märt,Märt/mäger,Märt/mäger,Märt (name/marten),"Same name family; often Martin/Mart/Märt/Märti, but not proof of one person across poems."
90103,1202550,17,1,Tartumaa,Kodavere,Martin / Mart / Märt,given_name_family,medium,known_person_name_cluster,märt,Märt,Märt,Märt,Märt,Märt,"Same name family; often Martin/Mart/Märt/Märti, but not proof of one person across poems."
90194,1204367,24,3,Setumaa,Setumaa,Mary / Maria / Maarja / Mari,biblical_religious,medium,known_person_name_cluster,marakõnõ,marjakene,marakõnõ,mari,mari & -kene,little berry,"Usually Mary/Maria, but Mari/Maija can also be ordinary given names in some contexts."
90194,1204413,70,1,Setumaa,Setumaa,Mary / Maria / Maarja / Mari,biblical_religious,medium,known_person_name_cluster,mari,mari,mari,mari,mari,berry,"Usually Mary/Maria, but Mari/Maija can also be ordinary given names in some contexts."
90194,1204416,73,2,Setumaa,Setumaa,Mary / Maria / Maarja / Mari,biblical_religious,medium,known_person_name_cluster,marakõnõ,marjakene,marakõnõ,mari,mari & -kene,little berry,"Usually Mary/Maria, but Mari/Maija can also be ordinary given names in some contexts."
90194,1204418,75,2,Setumaa,Setumaa,Mary / Maria / Maarja / Mari,biblical_religious,medium,known_person_name_cluster,mari,mari,mari,mari,mari,berry,"Usually Mary/Maria, but Mari/Maija can also be ordinary given names in some contexts."
90194,1204419,76,5,Setumaa,Setumaa,God / Jumala / Jumal,religious_title_or_deity,medium,known_person_name_cluster,jumalalõ,jumalale,jumalalõ,jumal,jumal,to god,"Jumala/Jumal/God/Lord/Creator often refer to the Christian God, but title words can vary by context."
90263,1205992,4,3,Tartumaa,Tartu,God / Jumala / Jumal,religious_title_or_deity,medium,english_known_person_name,härras,härra,härras,härra,härra,lord's,"Jumala/Jumal/God/Lord/Creator often refer to the Christian God, but title words can vary by context."
90274,1206449,3,1,Setumaa,Setumaa,Catherine / Kadri / Katri,given_name_family_or_saint,medium,root_name_signal,kadri,Kadri,Kadri,Kadri,(personal name),Kadri,Catherine/Katariina-derived group; in ritual songs may point to St Catherine/Kadri.
90274,1206450,4,1,Setumaa,Setumaa,Catherine / Kadri / Katri,given_name_family_or_saint,medium,root_name_signal,kadri,Kadri,Kadri,Kadri,(personal name),Kadri,Catherine/Katariina-derived group; in ritual songs may point to St Catherine/Kadri.
90274,1206452,6,1,Setumaa,Setumaa,Catherine / Kadri / Katri,given_name_family_or_saint,medium,root_name_signal,kadri,Kadri,Kadri,Kadri,(personal name),Kadri,Catherine/Katariina-derived group; in ritual songs may point to St Catherine/Kadri.
90345,1207339,4,1,Setumaa,Setumaa,Tiit,unmapped_possible_person_name,low,root_proper_name,tiit,Tiit,Tiit,Tiit,Tiit (proper noun),Tiit,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
90367,1207420,3,1,Setumaa,Setumaa,Mary / Maria / Maarja / Mari,biblical_religious,medium,known_person_name_cluster,marva,marja,marv,mari,mari,berry,"Usually Mary/Maria, but Mari/Maija can also be ordinary given names in some contexts."
90396,1207581,1,1,Setumaa,Setumaa,nati,unmapped_possible_person_name,low,root_proper_name,nati,Nati,nati,nati,Proper name,Nati,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
90415,1207654,2,1,Setumaa,Setumaa,Höödor,unmapped_possible_person_name,low,root_name_signal,höödor,Höödor,Höödor,Höödor,(name),Höödor,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
120860,1663972,6,1,Viljandimaa,Helme,Anna / Anne / Ann / Anni,given_name_family,medium,known_person_name_cluster,anne,Anne,Anne,Anne,Anne,Anne,Same name family/diminutive set; individual identity depends on poem context.
120862,1430145,1,1,Harjumaa,Kose,Lilla,unmapped_possible_person_name,low,root_proper_name,Lilla,Lilla,Lilla,Lilla,Proper name,Lilla,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
120863,1664048,5,1,Tartumaa,Palamuse,Catherine / Kadri / Katri,given_name_family_or_saint,medium,known_person_name_cluster,Kadri,Kadri,Kadri,Kadri,,Kadri,Catherine/Katariina-derived group; in ritual songs may point to St Catherine/Kadri.
120863,1664053,10,2,Tartumaa,Palamuse,Kalev / Kalervo,mythic_epic_or_name,medium,known_person_name_cluster,kalevi,kalevi,kalev,Kalev,Kalev,Kalev's,Kalev/Kalervo/Kaleva are related epic/name forms; not always one individual.
120863,1664063,20,5,Tartumaa,Palamuse,God / Jumala / Jumal,religious_title_or_deity,medium,known_person_name_cluster,Jumal,Jumal,Jumal,Jumal,Jumal,God,"Jumala/Jumal/God/Lord/Creator often refer to the Christian God, but title words can vary by context."
120963,1665798,12,5,välismaa,välismaa,God / Jumala / Jumal,religious_title_or_deity,medium,english_known_person_name,härra,härra,härra,härra,härra,lord,"Jumala/Jumal/God/Lord/Creator often refer to the Christian God, but title words can vary by context."
120963,1665798,12,5,Võrumaa,Põlva,God / Jumala / Jumal,religious_title_or_deity,medium,english_known_person_name,härra,härra,härra,härra,härra,lord,"Jumala/Jumal/God/Lord/Creator often refer to the Christian God, but title words can vary by context."
120963,1665802,18,1,välismaa,välismaa,Kalerei,unmapped_possible_person_name,low,root_proper_name,kalerei,Kalerei,Kalerei,Kalerei,(proper noun),Kalerei,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
120963,1665802,18,1,Võrumaa,Põlva,Kalerei,unmapped_possible_person_name,low,root_proper_name,kalerei,Kalerei,Kalerei,Kalerei,(proper noun),Kalerei,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
120963,1665808,27,1,välismaa,välismaa,God / Jumala / Jumal,religious_title_or_deity,medium,english_known_person_name,härra,härra,härra,härra,härra,lord,"Jumala/Jumal/God/Lord/Creator often refer to the Christian God, but title words can vary by context."
120963,1665808,27,1,Võrumaa,Põlva,God / Jumala / Jumal,religious_title_or_deity,medium,english_known_person_name,härra,härra,härra,härra,härra,lord,"Jumala/Jumal/God/Lord/Creator often refer to the Christian God, but title words can vary by context."
120963,1665826,52,3,välismaa,välismaa,God / Jumala / Jumal,religious_title_or_deity,medium,english_known_person_name,härra,härra,härra,härra,härra,lord,"Jumala/Jumal/God/Lord/Creator often refer to the Christian God, but title words can vary by context."
120963,1665826,52,3,Võrumaa,Põlva,God / Jumala / Jumal,religious_title_or_deity,medium,english_known_person_name,härra,härra,härra,härra,härra,lord,"Jumala/Jumal/God/Lord/Creator often refer to the Christian God, but title words can vary by context."
120963,1665862,106,3,välismaa,välismaa,Jesus / Christ,biblical_religious,high,known_person_name_cluster,kristus,Kristus,Kristus,Kristus,Kristus,Christ,Jeesus/Jesus/Kristus/Christ are treated as the same religious figure.
120963,1665862,106,3,Võrumaa,Põlva,Jesus / Christ,biblical_religious,high,known_person_name_cluster,kristus,Kristus,Kristus,Kristus,Kristus,Christ,Jeesus/Jesus/Kristus/Christ are treated as the same religious figure.
120963,1665866,111,4,välismaa,välismaa,Anna / Anne / Ann / Anni,given_name_family,medium,known_person_name_cluster,andeid,andeid,anne,anne,anne,gifts,Same name family/diminutive set; individual identity depends on poem context.
120963,1665866,111,4,Võrumaa,Põlva,Anna / Anne / Ann / Anni,given_name_family,medium,known_person_name_cluster,andeid,andeid,anne,anne,anne,gifts,Same name family/diminutive set; individual identity depends on poem context.
120963,1665876,124,4,välismaa,välismaa,Muri,unmapped_possible_person_name,low,root_proper_name,muri,Muri,Muri,Muri,(proper noun),Muri,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
120963,1665876,124,4,Võrumaa,Põlva,Muri,unmapped_possible_person_name,low,root_proper_name,muri,Muri,Muri,Muri,(proper noun),Muri,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
120963,1665876,124,5,välismaa,välismaa,John / Jaan / Jussi / Hans,given_name_family_or_biblical,medium,known_person_name_cluster,jaani,Jaani,Jaani,Jaan,Jaan,Jaan's,Johannes-derived name family; ordinary-name occurrences are not automatically one person.
120963,1665876,124,5,Võrumaa,Põlva,John / Jaan / Jussi / Hans,given_name_family_or_biblical,medium,known_person_name_cluster,jaani,Jaani,Jaani,Jaan,Jaan,Jaan's,Johannes-derived name family; ordinary-name occurrences are not automatically one person.
120963,1665946,230,3,välismaa,välismaa,God / Jumala / Jumal,religious_title_or_deity,medium,known_person_name_cluster,jumal,jumal,jumal,jumal,jumal,god,"Jumala/Jumal/God/Lord/Creator often refer to the Christian God, but title words can vary by context."
120963,1665946,230,3,Võrumaa,Põlva,God / Jumala / Jumal,religious_title_or_deity,medium,known_person_name_cluster,jumal,jumal,jumal,jumal,jumal,god,"Jumala/Jumal/God/Lord/Creator often refer to the Christian God, but title words can vary by context."
121011,1666636,2,3,Saaremaa,Muhu,Mary / Maria / Maarja / Mari,biblical_religious,medium,known_person_name_cluster,marja,marja,mari,mari,mari,berry,"Usually Mary/Maria, but Mari/Maija can also be ordinary given names in some contexts."
121011,1666636,2,3,Viljandimaa,Helme,Mary / Maria / Maarja / Mari,biblical_religious,medium,known_person_name_cluster,marja,marja,mari,mari,mari,berry,"Usually Mary/Maria, but Mari/Maija can also be ordinary given names in some contexts."
121021,1666753,1,1,Viljandimaa,Viljandi,John / Jaan / Jussi / Hans,given_name_family_or_biblical,medium,known_person_name_cluster,hans,Hans,Hans,Hans,Johannes (Germanic),Hans,Johannes-derived name family; ordinary-name occurrences are not automatically one person.
121089,1667566,1,1,Virumaa,Haljala,John / Jaan / Jussi / Hans,given_name_family_or_biblical,medium,known_person_name_cluster,Juhan,Juhan,Juhan,Juhan,Johannes,Juhan,Johannes-derived name family; ordinary-name occurrences are not automatically one person.
121089,1667566,1,2,Virumaa,Haljala,John / Jaan / Jussi / Hans,given_name_family_or_biblical,medium,known_person_name_cluster,jussi,Jussi,jussi,Juss,Johannes,Jussi,Johannes-derived name family; ordinary-name occurrences are not automatically one person.
121089,1351079,4,1,Virumaa,Haljala,Anna / Anne / Ann / Anni,given_name_family,medium,known_person_name_cluster,Annele,Annele,Anne,Anne,Anna,to Anne,Same name family/diminutive set; individual identity depends on poem context.
121089,1667568,5,1,Virumaa,Haljala,Maie,unmapped_possible_person_name,low,english_known_person_name,Maiele,Maiele,Maie,Maie,Maie,to Maie,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
121220,1669791,1,1,Pärnumaa,Tõstamaa,Elizabeth / Liisa / Liisu / Elli,given_name_family,medium,root_proper_name,liisu,Liisu,Liisu,Liisu,Liisu (proper name),Liisu,Elizabeth-derived name family; not one person unless poem context supports it.
121220,1669792,3,1,Pärnumaa,Tõstamaa,Elizabeth / Liisa / Liisu / Elli,given_name_family,medium,known_person_name_cluster,liisu,Liisu,Liisu,Liisu,Liisu,Liisu,Elizabeth-derived name family; not one person unless poem context supports it.
121220,1669793,4,2,Pärnumaa,Tõstamaa,Elizabeth / Liisa / Liisu / Elli,given_name_family,medium,known_person_name_cluster,liisut,Liisut,Liisu,Liisu,Liisu,Liisu (object),Elizabeth-derived name family; not one person unless poem context supports it.
121220,1669794,5,3,Pärnumaa,Tõstamaa,Elizabeth / Liisa / Liisu / Elli,given_name_family,medium,known_person_name_cluster,liisu,Liisu,Liisu,Liisu,Liisu,Liisu,Elizabeth-derived name family; not one person unless poem context supports it.
121220,1669799,11,1,Pärnumaa,Tõstamaa,Elizabeth / Liisa / Liisu / Elli,given_name_family,medium,known_person_name_cluster,liisu,Liisu,Liisu,Liisu,Liisu,Liisu,Elizabeth-derived name family; not one person unless poem context supports it.
121225,1669920,3,3,Pärnumaa,Tõstamaa,Mary / Maria / Maarja / Mari,biblical_religious,medium,known_person_name_cluster,marjad,marjad,mari,mari,mari,berries,"Usually Mary/Maria, but Mari/Maija can also be ordinary given names in some contexts."
121255,1670323,5,1,Virumaa,Haljala,Mary / Maria / Maarja / Mari,biblical_religious,medium,known_person_name_cluster,mari,Mari,Mari,Mari,Mari,Mary,"Usually Mary/Maria, but Mari/Maija can also be ordinary given names in some contexts."
121255,1670323,5,1,Virumaa,Kadrina,Mary / Maria / Maarja / Mari,biblical_religious,medium,known_person_name_cluster,mari,Mari,Mari,Mari,Mari,Mary,"Usually Mary/Maria, but Mari/Maija can also be ordinary given names in some contexts."
121273,1670633,2,1,Virumaa,Haljala,John / Jaan / Jussi / Hans,given_name_family_or_biblical,medium,root_proper_name,ants,Ants,Ants,Ants,Proper name,Ants,Johannes-derived name family; ordinary-name occurrences are not automatically one person.
121273,1670635,4,3,Virumaa,Haljala,John / Jaan / Jussi / Hans,given_name_family_or_biblical,medium,root_proper_name,antsu,Antsu,Ants,Ants,Proper name,Ants's,Johannes-derived name family; ordinary-name occurrences are not automatically one person.
121273,1670636,5,3,Virumaa,Haljala,John / Jaan / Jussi / Hans,given_name_family_or_biblical,medium,root_proper_name,antsu,Antsu,Ants,Ants,Proper name,Ants's,Johannes-derived name family; ordinary-name occurrences are not automatically one person.
121273,1670638,7,2,Virumaa,Haljala,John / Jaan / Jussi / Hans,given_name_family_or_biblical,medium,root_proper_name,antsu,Antsu,Ants,Ants,Proper name,Ants's,Johannes-derived name family; ordinary-name occurrences are not automatically one person.
121273,1670639,8,3,Virumaa,Haljala,God / Jumala / Jumal,religious_title_or_deity,medium,english_known_person_name,härra,härra,härra,härra,German *Herr,lord,"Jumala/Jumal/God/Lord/Creator often refer to the Christian God, but title words can vary by context."
121273,1670640,9,2,Virumaa,Haljala,John / Jaan / Jussi / Hans,given_name_family_or_biblical,medium,root_proper_name,antsul,Antsule,Ants,Ants,Proper name,to Ants,Johannes-derived name family; ordinary-name occurrences are not automatically one person.
121273,1670642,11,2,Virumaa,Haljala,John / Jaan / Jussi / Hans,given_name_family_or_biblical,medium,root_proper_name,antsu,Antsu,Ants,Ants,Proper name,Ants's,Johannes-derived name family; ordinary-name occurrences are not automatically one person.
121273,1670643,12,2,Virumaa,Haljala,John / Jaan / Jussi / Hans,given_name_family_or_biblical,medium,root_proper_name,antsu,Antsu,Ants,Ants,Proper name,Ants's,Johannes-derived name family; ordinary-name occurrences are not automatically one person.
121273,1670656,25,1,Virumaa,Haljala,John / Jaan / Jussi / Hans,given_name_family_or_biblical,medium,root_proper_name,ants,Ants,Ants,Ants,Proper name,Ants,Johannes-derived name family; ordinary-name occurrences are not automatically one person.
121273,1670667,36,2,Virumaa,Haljala,Kalev / Kalervo,mythic_epic_or_name,medium,known_person_name_cluster,kalevised,kalevised,kalev,kalev,Proto-Finnic *kaleva,coarse,Kalev/Kalervo/Kaleva are related epic/name forms; not always one individual.
121277,1670691,8,2,Pärnumaa,Karksi,Elizabeth / Liisa / Liisu / Elli,given_name_family,medium,known_person_name_cluster,liisu,Liisu,Liisu,Liisu,Liisu,Liisu,Elizabeth-derived name family; not one person unless poem context supports it.
121277,1257391,9,2,Pärnumaa,Karksi,Anna / Anne / Ann / Anni,given_name_family,medium,known_person_name_cluster,anne,Anne,Anne,Anne,Anne,Anne,Same name family/diminutive set; individual identity depends on poem context.
121277,1257392,11,1,Pärnumaa,Karksi,Maie,unmapped_possible_person_name,low,english_known_person_name,maie,Maie,Maie,Maie,Maie,Maie,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
121277,1257392,11,2,Pärnumaa,Karksi,Mary / Maria / Maarja / Mari,biblical_religious,medium,known_person_name_cluster,maari,Maari,Maari,Maari,Maari,Maari,"Usually Mary/Maria, but Mari/Maija can also be ordinary given names in some contexts."
