feature_rank_by_size,semantic_name_group,english_variant,area_name,macroRegion,langLabel,langCode,standard_lemma,mentions,poems,top_local_lemmas,top_surface_forms,top_word_in_english
1,Mary / Maria / Maarja / Mari,Maija/Maie,Haljala,Estonia core/west,North Estonian,viP,Maie,13,8,Maie (12); mai (1),Maie (10); Maiel (2); Maiele (1),Maie (11); to Maie (1); at Maie's (1)
1,Mary / Maria / Maarja / Mari,Mary,Haljala,Estonia core/west,North Estonian,viP,Maarja,8,6,Maarja (7); Mariad (1),Maarja (7); Maarjat (1),Mary's (6); Mary (2)
1,Mary / Maria / Maarja / Mari,Mary,Haljala,Estonia core/west,North Estonian,viP,Mari,4,4,Mari (4),Mari (3); Marijalle (1),Mary (4)
1,Mary / Maria / Maarja / Mari,Maija/Maie,Haljala,Estonia core/west,North Estonian,viP,Mai,2,1,Mai (2),Maie (2),Maie's (1); Maie (1)
1,Mary / Maria / Maarja / Mari,Mary,Haljala,Estonia core/west,North Estonian,viP,Maria,2,2,Maria (2),Maria (2),Mary (1); Mary's (1)
1,Mary / Maria / Maarja / Mari,Mari,Haljala,Estonia core/west,North Estonian,viP,Marikene,1,1,Marikene (1),Marikene (1),little Mari (1)
1,Mary / Maria / Maarja / Mari,Mary,Halliste,Estonia core/west,South Estonian,viE,Maarja,18,15,Maarja (12); Maari (3); maari (2); maarja (1),Maarja (14); Maari (3); Maarilt (1),Mary (13); Mary's (4); from Mary (1)
1,Mary / Maria / Maarja / Mari,Mari,Halliste,Estonia core/west,South Estonian,viE,Mari,7,7,Mari (7),Mari (7),Mari (7)
1,Mary / Maria / Maarja / Mari,Maija/Maie,Halliste,Estonia core/west,South Estonian,viE,Maie,3,2,Maie (3),Maie (3),Maie (3)
1,Mary / Maria / Maarja / Mari,Maria/Maaria,Halliste,Estonia core/west,South Estonian,viE,Maari,3,1,Maari (3),Maari (2); Maarile (1),Maarja (2); to Maarja (1)
1,Mary / Maria / Maarja / Mari,Mari,Halliste,Estonia core/west,South Estonian,viE,Maarja,2,1,maari (2),Maari (2),Maari (2)
1,Mary / Maria / Maarja / Mari,Maria/Maaria,Halliste,Estonia core/west,South Estonian,viE,Maarja,2,1,Maarja (2),Maarjalt (1); Maarja (1),from Maarja (1); Maarja's (1)
1,Mary / Maria / Maarja / Mari,Mary,Halliste,Estonia core/west,South Estonian,viE,Maaria,2,1,Maaria (2),Maaria (2),Mary (2)
1,Mary / Maria / Maarja / Mari,Mary,Halliste,Estonia core/west,South Estonian,viE,Mari,2,2,Mari (2),Mari (2),Mary (2)
1,Mary / Maria / Maarja / Mari,Maija/Maie,Halliste,Estonia core/west,South Estonian,viE,mai,1,1,maie (diminutive) (1),maiekesta (1),Maie (1)
1,Mary / Maria / Maarja / Mari,Maija/Maie,Halliste,Estonia core/west,South Estonian,viE,maiekene,1,1,maiekene (1),Maiekesta (1),Maie (1)
1,Mary / Maria / Maarja / Mari,Mary,Halliste,Estonia core/west,South Estonian,viE,Maali,1,1,Maari (1),Maali (1),Mary (1)
1,Mary / Maria / Maarja / Mari,Mary,Halliste,Estonia core/west,South Estonian,viE,Maria,1,1,maria (1),Maria (1),Mary (1)
1,Mary / Maria / Maarja / Mari,Mary,Halliste,Estonia core/west,South Estonian,viE,Marike,1,1,Marike (1),Marike (1),Little Mary (1)
1,Mary / Maria / Maarja / Mari,Mary,Halliste,Estonia core/west,South Estonian,viE,maarjeit,1,1,maarieinu (1),maarjeidu (1),Mary's maiden (1)
1,Mary / Maria / Maarja / Mari,Maija/Maie,Halsua,Finland/Savo-Karelia,Finnish,su,mustamaija,1,1,mustamaija (1),Musta-Maija (1),Black-Maija (1)
1,Mary / Maria / Maarja / Mari,Mari,Hanila,Estonia core/west,North Estonian,viP,Mari,1,1,Mari (1),Maril (1),on Mari (1)
1,Mary / Maria / Maarja / Mari,Mary,Hanila,Estonia core/west,North Estonian,viP,Maarja,1,1,Maarja (1),Maarja (1),Mary's (1)
1,Mary / Maria / Maarja / Mari,Mary,Hanila,Estonia core/west,North Estonian,viP,Mari,1,1,Mari (1),Mari (1),Mary (1)
1,Mary / Maria / Maarja / Mari,Mary,Hanila,Estonia core/west,North Estonian,viP,Maria,1,1,Maria (1),Maria (1),Mary (1)
1,Mary / Maria / Maarja / Mari,Mari,Hargla,South Estonia/Seto,South Estonian,viE,Mari,2,1,mari (2),Mari (2),Mari (2)
1,Mary / Maria / Maarja / Mari,Mary,Hargla,South Estonia/Seto,South Estonian,viE,Mari,1,1,Mari (1),Mari (1),Mary (1)
1,Mary / Maria / Maarja / Mari,Mari,Harju-Jaani,Estonia core/west,North Estonian,viP,Mari,13,7,Mari (13),Mari (10); Marit (3),Mari (11); Mari (obj) (2)
1,Mary / Maria / Maarja / Mari,Mary,Harju-Jaani,Estonia core/west,North Estonian,viP,Maarja,2,1,Maarja (2),Maarjale (1); Maarja (1),to Mary (1); Mary's (1)
1,Mary / Maria / Maarja / Mari,Mary,Harju-Jaani,Estonia core/west,North Estonian,viP,Mari,2,2,Mari (2),Mari (2),Mary (2)
1,Mary / Maria / Maarja / Mari,Maija/Maie,Harju-Jaani,Estonia core/west,North Estonian,viP,Maie,1,1,Maiel (1),Maiel (1),at Maie's (1)
1,Mary / Maria / Maarja / Mari,Maria/Maaria,Harju-Jaani,Estonia core/west,North Estonian,viP,Maria,1,1,Maria (1),Maria (1),Maria (1)
1,Mary / Maria / Maarja / Mari,Mary,Harju-Jaani,Estonia core/west,North Estonian,viP,Maaria,1,1,Maaria (1),Maaria (1),Mary (1)
1,Mary / Maria / Maarja / Mari,Mary,Harju-Jaani,Estonia core/west,North Estonian,viP,Maria,1,1,Maria (1),Maria (1),Mary (1)
1,Mary / Maria / Maarja / Mari,Mari,Harju-Madise,Estonia core/west,North Estonian,viP,Mari,2,1,Mari (2),Mari (1); Marit (1),Mari (2)
1,Mary / Maria / Maarja / Mari,Mari,Harju-Madise,Estonia core/west,North Estonian,viP,Marike,1,1,Marikene (1),Marikene (1),little Mari (1)
1,Mary / Maria / Maarja / Mari,Maria/Maaria,Harlu,East Karelia/Veps/Tver,Finnish,su,Maria,1,1,Maria (1),Maria (1),Maria (1)
1,Mary / Maria / Maarja / Mari,Mary,Harlu,East Karelia/Veps/Tver,Finnish,su,Maria,1,1,Maria (1),Marian (1),Mary's (1)
1,Mary / Maria / Maarja / Mari,Maija/Maie,Hartola,Finland/Savo-Karelia,Finnish,su,mustamaija,1,1,mustamaija (1),mustamaija (1),Black Maija (1)
1,Mary / Maria / Maarja / Mari,Maija/Maie,Hattula,Finland/Savo-Karelia,Finnish,su,Maija,6,5,Maija (5); Maijan (1),Maija (5); Maijan (1),Maija (5); Maija's (1)
1,Mary / Maria / Maarja / Mari,Mary,Hattula,Finland/Savo-Karelia,Finnish,su,Mari,2,1,Marii (2),Marii (2),Mary (2)
1,Mary / Maria / Maarja / Mari,Maija/Maie,Hattula,Finland/Savo-Karelia,Finnish,su,Helsanmaija,1,1,Helssan-Maija (1),Helssan-Maija (1),Helsa's-Maija (1)
1,Mary / Maria / Maarja / Mari,Maija/Maie,Hattula,Finland/Savo-Karelia,Finnish,su,Helsinki & Maija,1,1,Helsa & Maija (1),Helsa-Maija (1),Helsinki-Maija (1)
1,Mary / Maria / Maarja / Mari,Maija/Maie,Hattula,Finland/Savo-Karelia,Finnish,su,kuppari & Maija,1,1,kuppari & Maija (1),Kuppari-Maija (1),Coppersmith-Maija (1)
1,Mary / Maria / Maarja / Mari,Maria/Maaria,Hattula,Finland/Savo-Karelia,Finnish,su,Maria,1,1,Maria (1),Maria (1),Maria (1)
1,Mary / Maria / Maarja / Mari,Mary,Hattula,Finland/Savo-Karelia,Finnish,su,Maaria,1,1,Maaria (1),Maaria (1),Mary (1)
1,Mary / Maria / Maarja / Mari,Mary,Hauho,Finland/Savo-Karelia,Finnish,su,Maaria,2,2,Maaria (2),Maaria (2),Mary (2)
1,Mary / Maria / Maarja / Mari,Maija/Maie,Hauho,Finland/Savo-Karelia,Finnish,su,Maija,1,1,Maija (1),Maijaa (1),Maija (1)
1,Mary / Maria / Maarja / Mari,Maria/Maaria,Hauho,Finland/Savo-Karelia,Finnish,su,Maaria,1,1,Maaria (1),Maaria (1),Maria (1)
1,Mary / Maria / Maarja / Mari,Mary,Hauho,Finland/Savo-Karelia,Finnish,su,Maria,1,1,Maria (1),Maria (1),Mary (1)
1,Mary / Maria / Maarja / Mari,Mary,Haukivuori,Finland/Savo-Karelia,Finnish,su,Maria,1,1,Maria (1),Maria (1),Mary (1)
1,Mary / Maria / Maarja / Mari,Maija/Maie,Hausjärvi,Finland/Savo-Karelia,Outside selected Finnic areas,ru,Maija,3,3,Maija (3),Maija (2); Maijaa (1),Maija (3)
1,Mary / Maria / Maarja / Mari,Maija/Maie,Hausjärvi,Finland/Savo-Karelia,Outside selected Finnic areas,ru,Helssa-Maija,1,1,Helssa-Maija (1),Helssa-Maija (1),Helsa's Maija (1)
1,Mary / Maria / Maarja / Mari,Maija/Maie,Hausjärvi,Finland/Savo-Karelia,Outside selected Finnic areas,ru,ahkeramaija,1,1,ahkelimaija (1),Ahkeli-Maija (1),Diligent-Maija (1)
1,Mary / Maria / Maarja / Mari,Mary,Hausjärvi,Finland/Savo-Karelia,Outside selected Finnic areas,ru,Mari,1,1,Mari (1),Mari (1),Mary (1)
1,Mary / Maria / Maarja / Mari,Mari,Heinjoki,Finland/Savo-Karelia,Finnish,su,Mari,1,1,Mari (1),Marin (1),Mari (1)
1,Mary / Maria / Maarja / Mari,Mary,Helme,Estonia core/west,South Estonian,viE,Maarja,30,18,Maarja (14); Maari (9); maari (4); maarja (3),Maarja (25); Maari (4); Maali (1),Mary (18); Mary's (12)
1,Mary / Maria / Maarja / Mari,Maija/Maie,Helme,Estonia core/west,South Estonian,viE,Maie,10,3,Maie (8); Mai (2),Maie (10),Maie (9); Maie's (1)
1,Mary / Maria / Maarja / Mari,Mari,Helme,Estonia core/west,South Estonian,viE,Mari,4,3,Mari (3); Marida (1),Mari (2); Marilt (1); Marida (1),Mari (2); from Mari (1); Mari (obj.) (1)
1,Mary / Maria / Maarja / Mari,Maija/Maie,Helme,Estonia core/west,South Estonian,viE,Mai,1,1,Maiene (1),Maiene (1),Maie (1)
1,Mary / Maria / Maarja / Mari,Maija/Maie,Helme,Estonia core/west,South Estonian,viE,maie+ke,1,1,maie+kene (1),maiekene (1),little Maie (1)
1,Mary / Maria / Maarja / Mari,Mary,Helme,Estonia core/west,South Estonian,viE,Mari,1,1,Maari (1),Mari (1),Mary (1)
1,Mary / Maria / Maarja / Mari,Mary,Helme,Estonia core/west,South Estonian,viE,mari,1,1,mari (1),Mari (1),Mary (1)
1,Mary / Maria / Maarja / Mari,Maija/Maie,Hietamäki,Ingria,Finnish,su,Maija,1,1,Maija (1),Maija (1),Maija (1)
1,Mary / Maria / Maarja / Mari,Maija/Maie,Hietamäki,Ingria,Finnish,su,Maijukka,1,1,Maijukka (1),Maijukka (1),little Maija (1)
1,Mary / Maria / Maarja / Mari,Mari,Hietamäki,Ingria,Finnish,su,Mari & sisar,1,1,marsisosi (1),Marisisosi (1),your sister Mari (1)
1,Mary / Maria / Maarja / Mari,Mary,Hiitola,Finland/Savo-Karelia,Finnish,su,Maaria,1,1,Maaria (1),Maaria (1),Mary (1)
1,Mary / Maria / Maarja / Mari,Mary,Hirvensalmi,Finland/Savo-Karelia,Finnish,su,Maria,1,1,Maria (1),Maria (1),Mary (1)
1,Mary / Maria / Maarja / Mari,Maija/Maie,Hollola,Finland/Savo-Karelia,Finnish,su,Maija,5,4,Maija (5),Maija (4); Maijaa (1),Maija (5)
1,Mary / Maria / Maarja / Mari,Mary,Hollola,Finland/Savo-Karelia,Finnish,su,Maaria,1,1,Maaria (1),Maaria (1),Mary (1)
1,Mary / Maria / Maarja / Mari,Maria/Maaria,Huittinen,Finland/Savo-Karelia,Finnish,su,Maaria,4,2,Maaria (4),Maariaan (2); Maariasta (2),from Maaria (2); to Maaria (1); into Maaria (1)
1,Mary / Maria / Maarja / Mari,Maria/Maaria,Huittinen,Finland/Savo-Karelia,Finnish,su,Mittu-Maaria,2,1,Mittu-Maaria (2),Mittu-Maariaan (1); Mittu-Maariasta (1),into Mittu-Maaria (1); from Mittu-Maaria (1)
1,Mary / Maria / Maarja / Mari,Mary,Huittinen,Finland/Savo-Karelia,Finnish,su,Maaria,1,1,Maaria(n) (1),Maarian (1),Mary's (1)
1,Mary / Maria / Maarja / Mari,Mary,Huittinen,Finland/Savo-Karelia,Finnish,su,Maria,1,1,Maria (1),Maria (1),Mary (1)
1,Mary / Maria / Maarja / Mari,Mary,Humppila,Finland/Savo-Karelia,Finnish,su,Maria,5,3,Maaria (4); Maria (1),Maaria (4); Maria (1),Mary (5)
1,Mary / Maria / Maarja / Mari,Maija/Maie,Humppila,Finland/Savo-Karelia,Finnish,su,Maija,1,1,maija (1),Maija (1),Maija (1)
1,Mary / Maria / Maarja / Mari,Maija/Maie,Humppila,Finland/Savo-Karelia,Finnish,su,akkuna & Maija,1,1,akkuna & Maija (1),Akkuna-Maija (1),Window-Maija (1)
1,Mary / Maria / Maarja / Mari,Maija/Maie,Hyvinkää,Finland/Savo-Karelia,Finnish,su,Maija,3,3,Maija (3),Maija (2); Maijaa (1),Maija (3)
1,Mary / Maria / Maarja / Mari,Mary,Hyvinkää,Finland/Savo-Karelia,Finnish,su,Maaria,1,1,Maaria (1),Maaria (1),Mary (1)
1,Mary / Maria / Maarja / Mari,Maija/Maie,Hämeenkyrö,Finland/Savo-Karelia,Finnish,su,Maija,3,2,Maija (3),Maija (2); Maijan (1),Maija (2); Maija's (1)
1,Mary / Maria / Maarja / Mari,Maija/Maie,Hämeenlinna,Finland/Savo-Karelia,Finnish,su,Maija,3,2,Maija (3),Maija (3),Maija (3)
1,Mary / Maria / Maarja / Mari,Mary,Hämeenlinna,Finland/Savo-Karelia,Finnish,su,Maaria,2,1,Maaria (2),Maariaan (1); Maariasta (1),to Mary (1); from Mary (1)
1,Mary / Maria / Maarja / Mari,Mari,Häädemeeste,Estonia core/west,North Estonian,viP,Mari,10,6,Mari (9); marit (1),Mari (9); Marit (1),Mari (9); Mari (name) (1)
1,Mary / Maria / Maarja / Mari,Mary,Häädemeeste,Estonia core/west,North Estonian,viP,Mari,2,1,mari (2),Mari (2),Mary (2)
1,Mary / Maria / Maarja / Mari,Mary,Häädemeeste,Estonia core/west,North Estonian,viP,marikene,2,1,marikest (2),Marikese (2),little Mary (2)
1,Mary / Maria / Maarja / Mari,Maija/Maie,Häädemeeste,Estonia core/west,North Estonian,viP,Maie,1,1,Maie (1),Maie (1),Maie (1)
1,Mary / Maria / Maarja / Mari,Mari,Häädemeeste,Estonia core/west,North Estonian,viP,mari,1,1,mari (1),marikene (1),little Mari (1)
1,Mary / Maria / Maarja / Mari,Mary,Häädemeeste,Estonia core/west,North Estonian,viP,Maarja,1,1,Maarja (1),Maarja (1),Mary (1)
1,Mary / Maria / Maarja / Mari,Mari,Iisaku,Estonia core/west,North Estonian,viP,Mari,5,4,Mari (5),Mari (3); Maril (1); Marile (1),Mari (3); on Mari (1); to-Mari (1)
1,Mary / Maria / Maarja / Mari,Maija/Maie,Iisaku,Estonia core/west,North Estonian,viP,Maie,3,2,Maie (3),Maie (2); Maied (1),Maie (2); Maie (name) (1)
1,Mary / Maria / Maarja / Mari,Mary,Iisaku,Estonia core/west,North Estonian,viP,Maria,2,1,Maria (2),Maria (2),Mary (2)
1,Mary / Maria / Maarja / Mari,Mary,Iisaku,Estonia core/west,North Estonian,viP,Mari,1,1,Mari (1),Mari (1),Mary (1)
1,Mary / Maria / Maarja / Mari,Mary,Iisalmi,Finland/Savo-Karelia,Finnish,su,Maria,7,6,Maria (4); Maaria (3),Maria (6); Maaria (1),Mary (7)
1,Mary / Maria / Maarja / Mari,Maria/Maaria,Iisalmi,Finland/Savo-Karelia,Finnish,su,Maria,1,1,Moarija (1),Marian (1),Maria's (1)
1,Mary / Maria / Maarja / Mari,Mary,Iisalmi,Finland/Savo-Karelia,Finnish,su,Maaria,1,1,Maaria (1),Maaria (1),Mary (1)
1,Mary / Maria / Maarja / Mari,Maija/Maie,Iitti,Finland/Savo-Karelia,Finnish,su,Maija,1,1,Maija (1),Maijaa (1),Maija (obj.) (1)
1,Mary / Maria / Maarja / Mari,Mary,Ilmajoki,Finland/Savo-Karelia,Finnish,su,Maria,2,2,Maria (2),Maria (2),Mary (2)
1,Mary / Maria / Maarja / Mari,Mary,Ilomantsi,Finland/Savo-Karelia,Finnish,su,Maria,15,13,Maria (7); Maaria (3); Moarie (1); muari (1); Mari (1); Moarii (1),Maria (6); Maaria (3); Marian (2); Mari (1); Maarialta (1); Moarii (1),Mary (12); Mary's (2); from Mary (1)
1,Mary / Maria / Maarja / Mari,Mary,Ilomantsi,Finland/Savo-Karelia,Finnish,su,Maaria,10,9,Maaria (9); muarii (1),Maaria (9); Maariata (1),Mary (10)
1,Mary / Maria / Maarja / Mari,Maija/Maie,Ilomantsi,Finland/Savo-Karelia,Finnish,su,Maija,3,3,Maija (3),Maija (3),Maija (3)
1,Mary / Maria / Maarja / Mari,Mary,Ilomantsi,Finland/Savo-Karelia,Finnish,su,Maarian,2,1,Maarian (2),Maarian (2),Mary's (2)
1,Mary / Maria / Maarja / Mari,Maria/Maaria,Ilomantsi,Finland/Savo-Karelia,Finnish,su,Maria,1,1,Muaria (1),Maria (1),Maria (1)
1,Mary / Maria / Maarja / Mari,Mary,Impilahti,East Karelia/Veps/Tver,Livvi-Karelian,ka,Maria,9,8,Maria (4); maria (2); muarii (1); maarie (1); Maarie (1),Maria (5); Maaria (2); Muaria (1); Marialta (1),Mary (8); from Mary (1)
1,Mary / Maria / Maarja / Mari,Maria/Maaria,Impilahti,East Karelia/Veps/Tver,Livvi-Karelian,ka,Maria,4,3,Moarija (1); marialta (1); maria (1); Maria (1),Maria (3); Marialta (1),Maria (3); from Maria (1)
1,Mary / Maria / Maarja / Mari,Mary,Impilahti,East Karelia/Veps/Tver,Livvi-Karelian,ka,Maaria,2,2,Maaria (1); Moarii (1),Maaria (2),Mary (2)
1,Mary / Maria / Maarja / Mari,Mary,Impilahti,East Karelia/Veps/Tver,Livvi-Karelian,ka,maarianne,1,1,maariainen (1),Maariainen (1),Earth-Mary (1)
1,Mary / Maria / Maarja / Mari,Mari,Inkere,Ingria,Finnish,su,Mari,1,1,Mari (1),Mari (1),Mari (1)
1,Mary / Maria / Maarja / Mari,Mary,Isojoki,Finland/Savo-Karelia,Finnish,su,Maria,3,2,Maaria (3),Maaria (2); Maarian (1),Mary (2); Mary's (1)
1,Mary / Maria / Maarja / Mari,Maija/Maie,Jaakkima,Finland/Savo-Karelia,Finnish,su,akkelismaija,1,1,akkelismaija (1),Akkelismaija (1),Granny-Maija (1)
1,Mary / Maria / Maarja / Mari,Maija/Maie,Jaani,Estonia core/west,North Estonian,viP,Maie,2,1,maie (2),Maie (2),Maie (2)
1,Mary / Maria / Maarja / Mari,Maija/Maie,Jaani,Estonia core/west,North Estonian,viP,maiekene,2,1,maiekeine (2),Maiekene (2),little Maie (2)
1,Mary / Maria / Maarja / Mari,Mari,Jaani,Estonia core/west,North Estonian,viP,Mari,1,1,Marike (1),Marike (1),Little Mari (1)
1,Mary / Maria / Maarja / Mari,Mary,Jaani,Estonia core/west,North Estonian,viP,Mari,1,1,Marike (1),Marike (1),Little Mary (1)
1,Mary / Maria / Maarja / Mari,Maria/Maaria,Jalasjärvi,Finland/Savo-Karelia,Finnish,su,Maria,1,1,Maria (1),Maria (1),Maria (1)
1,Mary / Maria / Maarja / Mari,Mary,Jalasjärvi,Finland/Savo-Karelia,Finnish,su,Maria,1,1,Mariija (1),Mariijan (1),Mary's (1)
1,Mary / Maria / Maarja / Mari,Maija/Maie,Janakkala,Finland/Savo-Karelia,Finnish,su,Maija,7,7,Maija (6); maija (1),Maija (6); Maijaa (1),Maija (6); Maija (part.) (1)
1,Mary / Maria / Maarja / Mari,Maija/Maie,Janakkala,Finland/Savo-Karelia,Finnish,su,Akeri-Maija,1,1,Akeri-Maija (1),Akeri-Maija (1),Akeri-Maija (1)
1,Mary / Maria / Maarja / Mari,Mary,Janakkala,Finland/Savo-Karelia,Finnish,su,Maija,1,1,Maija (1),Maija (1),Mary (1)
1,Mary / Maria / Maarja / Mari,Mary,Joensuu,Finland/Savo-Karelia,Finnish,su,Kasperinmar,1,1,kasperinmar (1),kasperinmar (1),Kasper's-Mary (1)
