feature_rank_by_size,semantic_name_group,area_name,macroRegion,langLabel,langCode,area_mentions,dominant_standard_lemma_category,dominant_mentions,dominant_share,variant_category_count,entropy,variant_distribution
1,Mary / Maria / Maarja / Mari,Helme,Estonia core/west,South Estonian,viE,48,Maarja,30,0.625,5,1.0692,Maarja (30); Maie (10); Mari (5); Other (2); Mai (1)
1,Mary / Maria / Maarja / Mari,Haljala,Estonia core/west,North Estonian,viP,47,Mari,21,0.44680851063829785,6,1.3674,Mari (21); Maie (13); Maarja (8); Mai (2); Maria (2); Marikene (1)
1,Mary / Maria / Maarja / Mari,Vastseliina,South Estonia/Seto,South Estonian,viE,46,Maarja,24,0.5217391304347826,5,1.2472,Maarja (24); Mai (11); Mari (5); Other (5); Marikene (1)
1,Mary / Maria / Maarja / Mari,Halliste,Estonia core/west,South Estonian,viE,45,Maarja,22,0.4888888888888889,6,1.3823,Maarja (22); Mari (9); Other (8); Maie (3); Maaria (2); Maria (1)
1,Mary / Maria / Maarja / Mari,Simuna,Estonia core/west,North Estonian,viP,45,Maie,25,0.5555555555555556,6,1.3482,Maie (25); Maarja (8); Other (4); Mari (3); Maria (3); Marikene (2)
1,Mary / Maria / Maarja / Mari,Põltsamaa,Estonia core/west,North Estonian,viP,43,Mari,29,0.6744186046511628,5,0.9537,Mari (29); Maria (9); Marikene (3); Maarja (1); Maie (1)
1,Mary / Maria / Maarja / Mari,Kuusalu,Estonia core/west,North Estonian,viP,42,Mari,14,0.3333333333333333,7,1.716,Mari (14); Maria (10); Mai (5); Maie (5); Maarja (4); Maaria (3); Other (1)
1,Mary / Maria / Maarja / Mari,Suure-Jaani,Estonia core/west,North Estonian,viP,40,Mari,27,0.675,6,1.0915,Mari (27); Marikene (6); Maarja (2); Maie (2); Maria (2); Other (1)
1,Mary / Maria / Maarja / Mari,Sangaste,Estonia core/west,South Estonian,viE,39,Mari,15,0.38461538461538464,6,1.4733,Mari (15); Maarja (12); Maria (5); Other (4); Maie (2); Marikene (1)
1,Mary / Maria / Maarja / Mari,Kaprio,Ingria,Finnish,su,37,Maaria,23,0.6216216216216216,6,1.1894,Maaria (23); Mari (5); Maria (5); Other (2); Maarja (1); Maija (1)
1,Mary / Maria / Maarja / Mari,Risti,Estonia core/west,North Estonian,viP,37,Mari,29,0.7837837837837838,3,0.6719,Mari (29); Maarja (4); Other (4)
1,Mary / Maria / Maarja / Mari,Palamuse,Estonia core/west,North Estonian,viP,34,Mari,25,0.7352941176470589,3,0.7181,Mari (25); Other (7); Maarja (2)
1,Mary / Maria / Maarja / Mari,Tori,Estonia core/west,North Estonian,viP,34,Mari,29,0.8529411764705882,4,0.5727,Mari (29); Maarja (2); Other (2); Maria (1)
1,Mary / Maria / Maarja / Mari,Vuokkiniemi,East Karelia/Veps/Tver,Karelian Proper,ka,34,Mari,13,0.38235294117647056,5,1.3117,Mari (13); Maria (12); Other (6); Maaria (2); Maija (1)
1,Mary / Maria / Maarja / Mari,Pilistvere,Estonia core/west,North Estonian,viP,32,Mari,27,0.84375,5,0.6416,Mari (27); Maarja (2); Maie (1); Maria (1); Other (1)
1,Mary / Maria / Maarja / Mari,Tyrö,Ingria,Finnish,su,32,Mari,19,0.59375,3,0.8499,Mari (19); Maria (11); Maaria (2)
1,Mary / Maria / Maarja / Mari,Ilomantsi,Finland/Savo-Karelia,Finnish,su,31,Maria,16,0.5161290322580645,4,1.1092,Maria (16); Maaria (10); Maija (3); Other (2)
1,Mary / Maria / Maarja / Mari,Kose,Estonia core/west,North Estonian,viP,30,Mari,21,0.7,5,0.9556,Mari (21); Maie (5); Maarja (2); Maria (1); Other (1)
1,Mary / Maria / Maarja / Mari,Rõuge,South Estonia/Seto,South Estonian,viE,30,Mari,25,0.8333333333333334,4,0.6089,Mari (25); Other (3); Maarja (1); Marikene (1)
1,Mary / Maria / Maarja / Mari,Kodavere,Estonia core/west,North Estonian,viP,28,Mai,11,0.39285714285714285,6,1.5111,Mai (11); Other (8); Maarja (3); Mari (3); Maie (2); Maria (1)
1,Mary / Maria / Maarja / Mari,Pöide,Estonia core/west,North Estonian,viP,28,Mari,23,0.8214285714285714,3,0.5894,Mari (23); Other (3); Maie (2)
1,Mary / Maria / Maarja / Mari,Räpina,South Estonia/Seto,South Estonian,viE,27,Maarja,16,0.5925925925925926,2,0.6759,Maarja (16); Mari (11)
1,Mary / Maria / Maarja / Mari,Salmi,East Karelia/Veps/Tver,Livvi-Karelian,ka,26,Maria,14,0.5384615384615384,3,0.8226,Maria (14); Maaria (11); Maija (1)
1,Mary / Maria / Maarja / Mari,Tarvastu,Estonia core/west,South Estonian,viE,26,Mari,11,0.4230769230769231,5,1.3569,Mari (11); Maarja (7); Maie (5); Other (2); Maaria (1)
1,Mary / Maria / Maarja / Mari,Korpiselkä,East Karelia/Veps/Tver,Karelian Proper,ka,23,Maria,10,0.43478260869565216,4,1.1313,Maria (10); Maaria (9); Mari (3); Other (1)
1,Mary / Maria / Maarja / Mari,Viru-Nigula,Estonia core/west,North Estonian,viP,23,Maie,11,0.4782608695652174,4,1.1221,Maie (11); Mari (8); Maria (3); Other (1)
1,Mary / Maria / Maarja / Mari,Juva,Finland/Savo-Karelia,Finnish,su,22,Maria,17,0.7727272727272727,4,0.7757,Maria (17); Maaria (2); Maija (2); Other (1)
1,Mary / Maria / Maarja / Mari,Harju-Jaani,Estonia core/west,North Estonian,viP,21,Mari,15,0.7142857142857143,5,0.9782,Mari (15); Maarja (2); Maria (2); Maaria (1); Maie (1)
1,Mary / Maria / Maarja / Mari,Laiuse,Estonia core/west,North Estonian,viP,21,Mari,10,0.47619047619047616,4,1.263,Mari (10); Maarja (4); Maria (4); Other (3)
1,Mary / Maria / Maarja / Mari,Nurmes,Finland/Savo-Karelia,Finnish,su,21,Maaria,7,0.3333333333333333,4,1.3438,Maaria (7); Maija (6); Maria (5); Other (3)
1,Mary / Maria / Maarja / Mari,Vaivara,Estonia core/west,North Estonian,viP,21,Mari,9,0.42857142857142855,4,1.1787,Mari (9); Maie (8); Maria (2); Other (2)
1,Mary / Maria / Maarja / Mari,Väike-Maarja,Estonia core/west,North Estonian,viP,21,Mari,7,0.3333333333333333,5,1.4347,Mari (7); Maie (6); Maarja (5); Other (2); Marikene (1)
1,Mary / Maria / Maarja / Mari,Koeru,Estonia core/west,North Estonian,viP,20,Mari,13,0.65,6,1.1899,Mari (13); Maaria (2); Maarja (2); Maie (1); Marikene (1); Other (1)
1,Mary / Maria / Maarja / Mari,Lempaala,Finland/Savo-Karelia,Finnish,su,20,Maaria,8,0.4,5,1.415,Maaria (8); Maria (5); Other (4); Maija (2); Mari (1)
1,Mary / Maria / Maarja / Mari,Saarijärvi,Finland/Savo-Karelia,Finnish,su,20,Maija,9,0.45,4,1.1922,Maija (9); Other (6); Maria (4); Maaria (1)
1,Mary / Maria / Maarja / Mari,Urvaste,South Estonia/Seto,South Estonian,viE,20,Mari,12,0.6,3,0.8237,Mari (12); Other (7); Maarja (1)
1,Mary / Maria / Maarja / Mari,Vigala,Estonia core/west,North Estonian,viP,20,Mari,9,0.45,6,1.4956,Mari (9); Maarja (4); Mai (3); Other (2); Maie (1); Marikene (1)
1,Mary / Maria / Maarja / Mari,Porajärvi,East Karelia/Veps/Tver,Karelian Proper,kaV,19,Maaria,10,0.5263157894736842,4,1.0156,Maaria (10); Maria (7); Maija (1); Other (1)
1,Mary / Maria / Maarja / Mari,Pärnu-Jaagupi,Estonia core/west,North Estonian,viP,19,Maarja,9,0.47368421052631576,3,0.8629,Maarja (9); Mari (9); Other (1)
1,Mary / Maria / Maarja / Mari,Repola,East Karelia/Veps/Tver,Karelian Proper,kaV,19,Maria,9,0.47368421052631576,4,1.0281,Maria (9); Maaria (8); Maija (1); Mari (1)
1,Mary / Maria / Maarja / Mari,Uskela,Finland/Savo-Karelia,Finnish,su,19,Maija,11,0.5789473684210527,4,1.0909,Maija (11); Other (4); Maria (3); Maaria (1)
1,Mary / Maria / Maarja / Mari,Vuole,Ingria,Finnish,su,19,Maria,8,0.42105263157894735,4,1.2566,Maria (8); Mari (6); Maaria (3); Other (2)
1,Mary / Maria / Maarja / Mari,Karuse,Estonia core/west,North Estonian,viP,18,Mari,12,0.6666666666666666,3,0.7867,Mari (12); Maria (5); Other (1)
1,Mary / Maria / Maarja / Mari,Saarde,Estonia core/west,North Estonian,viP,18,Maarja,10,0.5555555555555556,5,1.2261,Maarja (10); Mari (4); Other (2); Maie (1); Maria (1)
1,Mary / Maria / Maarja / Mari,Torma,Estonia core/west,North Estonian,viP,18,Mari,14,0.7777777777777778,5,0.8378,Mari (14); Maarja (1); Maie (1); Maria (1); Marikene (1)
1,Mary / Maria / Maarja / Mari,Häädemeeste,Estonia core/west,North Estonian,viP,17,Mari,12,0.7058823529411765,4,0.8853,Mari (12); Other (3); Maarja (1); Maie (1)
1,Mary / Maria / Maarja / Mari,Järva-Jaani,Estonia core/west,North Estonian,viP,17,Mari,8,0.47058823529411764,4,1.253,Mari (8); Maria (4); Other (3); Maarja (2)
1,Mary / Maria / Maarja / Mari,Kitee,Finland/Savo-Karelia,Finnish,su,17,Maria,9,0.5294117647058824,3,1.0027,Maria (9); Maaria (5); Other (3)
1,Mary / Maria / Maarja / Mari,Kivennapa,Finland/Savo-Karelia,Finnish,su,17,Mari,13,0.7647058823529411,4,0.7902,Mari (13); Maija (2); Maaria (1); Other (1)
1,Mary / Maria / Maarja / Mari,Maarja-Magdaleena,Estonia core/west,North Estonian,viP,17,Mari,12,0.7058823529411765,4,0.8853,Mari (12); Other (3); Maaria (1); Maie (1)
1,Mary / Maria / Maarja / Mari,Peetri,Estonia core/west,North Estonian,viP,17,Mari,12,0.7058823529411765,5,0.9976,Mari (12); Other (2); Maaria (1); Mai (1); Marikene (1)
1,Mary / Maria / Maarja / Mari,Tammela,Finland/Savo-Karelia,Finnish,su,17,Maria,7,0.4117647058823529,4,1.298,Maria (7); Maaria (4); Maija (4); Other (2)
1,Mary / Maria / Maarja / Mari,Audru,Estonia core/west,North Estonian,viP,16,Mari,11,0.6875,4,0.918,Mari (11); Maie (3); Maarja (1); Other (1)
1,Mary / Maria / Maarja / Mari,Impilahti,East Karelia/Veps/Tver,Livvi-Karelian,ka,16,Maria,13,0.8125,3,0.6019,Maria (13); Maaria (2); Other (1)
1,Mary / Maria / Maarja / Mari,Jüri,Estonia core/west,North Estonian,viP,16,Mari,8,0.5,5,1.3209,Mari (8); Maarja (3); Maria (3); Marikene (1); Other (1)
1,Mary / Maria / Maarja / Mari,Serepetta,Ingria,Finnish,su,16,Mari,5,0.3125,5,1.4741,Mari (5); Other (5); Maaria (3); Maija (2); Maria (1)
1,Mary / Maria / Maarja / Mari,Türi,Estonia core/west,North Estonian,viP,16,Maarja,6,0.375,4,1.2228,Maarja (6); Mari (6); Maie (3); Maria (1)
1,Mary / Maria / Maarja / Mari,Kiuruvesi,Finland/Savo-Karelia,Finnish,su,15,Maria,13,0.8666666666666667,2,0.3927,Maria (13); Maija (2)
1,Mary / Maria / Maarja / Mari,Rõngu,Estonia core/west,South Estonian,viE,15,Mari,7,0.4666666666666667,5,1.3379,Mari (7); Maarja (4); Other (2); Mai (1); Maria (1)
1,Mary / Maria / Maarja / Mari,Ambla,Estonia core/west,North Estonian,viP,14,Maie,5,0.35714285714285715,5,1.4944,Maie (5); Maarja (3); Mari (3); Maria (2); Other (1)
1,Mary / Maria / Maarja / Mari,Muhu,Estonia core/west,North Estonian,viP,14,Other,5,0.35714285714285715,4,1.2721,Other (5); Mai (4); Mari (4); Maarja (1)
1,Mary / Maria / Maarja / Mari,Paide,Estonia core/west,North Estonian,viP,14,Mari,11,0.7857142857142857,4,0.755,Mari (11); Maarja (1); Maie (1); Maria (1)
1,Mary / Maria / Maarja / Mari,Hattula,Finland/Savo-Karelia,Finnish,su,13,Maija,6,0.46153846153846156,5,1.3778,Maija (6); Other (3); Mari (2); Maaria (1); Maria (1)
1,Mary / Maria / Maarja / Mari,Moloskovitsa,Ingria,Finnish,su,13,Mari,6,0.46153846153846156,4,1.2048,Mari (6); Maaria (4); Maria (2); Other (1)
1,Mary / Maria / Maarja / Mari,Põlva,South Estonia/Seto,South Estonian,viE,13,Mari,6,0.46153846153846156,3,1.0579,Mari (6); Maie (4); Maarja (3)
1,Mary / Maria / Maarja / Mari,Uhtua,East Karelia/Veps/Tver,Karelian Proper,ka,13,Maria,8,0.6153846153846154,4,1.0318,Maria (8); Other (3); Maaria (1); Maija (1)
1,Mary / Maria / Maarja / Mari,Varbla,Estonia core/west,North Estonian,viP,13,Mari,10,0.7692307692307693,4,0.7937,Mari (10); Maarja (1); Maria (1); Marikene (1)
1,Mary / Maria / Maarja / Mari,Venjoki,Ingria,Finnish,su,13,Maria,7,0.5384615384615384,3,1.0101,Maria (7); Mari (3); Other (3)
1,Mary / Maria / Maarja / Mari,Jõelähtme,Estonia core/west,North Estonian,viP,12,Mari,8,0.6666666666666666,3,0.824,Mari (8); Other (3); Marikene (1)
1,Mary / Maria / Maarja / Mari,Kursi,Estonia core/west,North Estonian,viP,12,Mari,7,0.5833333333333334,4,1.1187,Mari (7); Maarja (2); Other (2); Maria (1)
1,Mary / Maria / Maarja / Mari,Otepää,Estonia core/west,South Estonian,viE,12,Mari,5,0.4166666666666667,4,1.2367,Mari (5); Maarja (4); Marikene (2); Mai (1)
1,Mary / Maria / Maarja / Mari,Tohmajärvi,Finland/Savo-Karelia,Finnish,su,12,Maria,11,0.9166666666666666,2,0.2868,Maria (11); Maaria (1)
1,Mary / Maria / Maarja / Mari,Tõstamaa,Estonia core/west,North Estonian,viP,12,Mari,5,0.4166666666666667,5,1.4241,Mari (5); Maaria (3); Other (2); Maie (1); Marikene (1)
1,Mary / Maria / Maarja / Mari,Äksi,Estonia core/west,North Estonian,viP,12,Mari,7,0.5833333333333334,4,1.1187,Mari (7); Maarja (2); Marikene (2); Other (1)
1,Mary / Maria / Maarja / Mari,Iisaku,Estonia core/west,North Estonian,viP,11,Mari,6,0.5454545454545454,3,0.9949,Mari (6); Maie (3); Maria (2)
1,Mary / Maria / Maarja / Mari,Kaavi,Finland/Savo-Karelia,Finnish,su,11,Maaria,6,0.5454545454545454,3,0.9949,Maaria (6); Maria (3); Other (2)
1,Mary / Maria / Maarja / Mari,Lüganuse,Estonia core/west,North Estonian,viP,11,Mari,4,0.36363636363636365,4,1.3421,Mari (4); Maarja (3); Maria (2); Other (2)
1,Mary / Maria / Maarja / Mari,Mouhijärvi,Finland/Savo-Karelia,Finnish,su,11,Maija,9,0.8181818181818182,2,0.4741,Maija (9); Maaria (2)
1,Mary / Maria / Maarja / Mari,Uukuniemi,East Karelia/Veps/Tver,Finnish,su,11,Maaria,5,0.45454545454545453,3,1.0362,Maaria (5); Maria (4); Other (2)
1,Mary / Maria / Maarja / Mari,Viru-Jaagupi,Estonia core/west,North Estonian,viP,11,Mari,7,0.6363636363636364,3,0.86,Mari (7); Other (3); Maie (1)
1,Mary / Maria / Maarja / Mari,Asikkala,Finland/Savo-Karelia,Finnish,su,10,Maija,8,0.8,3,0.639,Maija (8); Maaria (1); Maria (1)
1,Mary / Maria / Maarja / Mari,Kauhava,Finland/Savo-Karelia,Finnish,su,10,Other,4,0.4,3,1.0889,Other (4); Maija (3); Maria (3)
1,Mary / Maria / Maarja / Mari,Metsäpirtti,Finland/Savo-Karelia,Finnish,su,10,Maria,6,0.6,4,1.0889,Maria (6); Maija (2); Maaria (1); Other (1)
1,Mary / Maria / Maarja / Mari,Mihkli,Estonia core/west,North Estonian,viP,10,Mari,9,0.9,2,0.3251,Mari (9); Other (1)
1,Mary / Maria / Maarja / Mari,Iisalmi,Finland/Savo-Karelia,Finnish,su,9,Maria,8,0.8888888888888888,2,0.3488,Maria (8); Maaria (1)
1,Mary / Maria / Maarja / Mari,Janakkala,Finland/Savo-Karelia,Finnish,su,9,Maija,8,0.8888888888888888,2,0.3488,Maija (8); Other (1)
1,Mary / Maria / Maarja / Mari,Kuhmo,Finland/Savo-Karelia,Finnish,su,9,Maaria,6,0.6666666666666666,2,0.6365,Maaria (6); Maria (3)
1,Mary / Maria / Maarja / Mari,Marttila,Finland/Savo-Karelia,Finnish,su,9,Maria,5,0.5555555555555556,3,0.995,Maria (5); Maarja (2); Maija (2)
1,Mary / Maria / Maarja / Mari,Ranua,Finland/Savo-Karelia,Finnish,su,9,Maija,7,0.7777777777777778,3,0.6837,Maija (7); Maria (1); Other (1)
1,Mary / Maria / Maarja / Mari,Rovaniemi,Finland/Savo-Karelia,Finnish,su,9,Maija,4,0.4444444444444444,4,1.2149,Maija (4); Maria (3); Maaria (1); Other (1)
1,Mary / Maria / Maarja / Mari,Sääksmäki,Finland/Savo-Karelia,Finnish,su,9,Maria,6,0.6666666666666666,3,0.8487,Maria (6); Maaria (2); Maija (1)
1,Mary / Maria / Maarja / Mari,Võnnu,Estonia core/west,South Estonian,viE,9,Mari,6,0.6666666666666666,2,0.6365,Mari (6); Maarja (3)
1,Mary / Maria / Maarja / Mari,Huittinen,Finland/Savo-Karelia,Finnish,su,8,Maaria,5,0.625,3,0.9003,Maaria (5); Other (2); Maria (1)
1,Mary / Maria / Maarja / Mari,Kontokki,East Karelia/Veps/Tver,Karelian Proper,ka,8,Maria,6,0.75,3,0.7356,Maria (6); Maaria (1); Mari (1)
1,Mary / Maria / Maarja / Mari,Kurikka,Finland/Savo-Karelia,Finnish,su,8,Maija,5,0.625,3,0.9003,Maija (5); Other (2); Maria (1)
1,Mary / Maria / Maarja / Mari,Kuusamo,Finland/Savo-Karelia,Finnish,su,8,Maaria,4,0.5,3,1.0397,Maaria (4); Maija (2); Maria (2)
1,Mary / Maria / Maarja / Mari,Liissilä,Ingria,Finnish,su,8,Maria,3,0.375,3,1.0822,Maria (3); Other (3); Mari (2)
1,Mary / Maria / Maarja / Mari,Märjamaa,Estonia core/west,North Estonian,viP,8,Mari,5,0.625,2,0.6616,Mari (5); Maarja (3)
1,Mary / Maria / Maarja / Mari,Paimio,Finland/Savo-Karelia,Finnish,su,8,Other,4,0.5,3,0.9743,Other (4); Maria (3); Maija (1)
1,Mary / Maria / Maarja / Mari,Pieksämäki,Finland/Savo-Karelia,Finnish,su,8,Maria,3,0.375,3,1.0822,Maria (3); Other (3); Maaria (2)
1,Mary / Maria / Maarja / Mari,Pielavesi,Finland/Savo-Karelia,Finnish,su,8,Maria,5,0.625,2,0.6616,Maria (5); Maaria (3)
1,Mary / Maria / Maarja / Mari,Pärnu,Estonia core/west,North Estonian,viP,8,Mari,5,0.625,3,0.9003,Mari (5); Maarja (2); Maie (1)
1,Mary / Maria / Maarja / Mari,Rantsila,Finland/Savo-Karelia,Finnish,su,8,Maija,5,0.625,3,0.9003,Maija (5); Maaria (2); Other (1)
1,Mary / Maria / Maarja / Mari,Somero,Finland/Savo-Karelia,Finnish,su,8,Maria,3,0.375,4,1.3209,Maria (3); Maaria (2); Maija (2); Other (1)
1,Mary / Maria / Maarja / Mari,Töysä,Finland/Savo-Karelia,Finnish,su,8,Maria,4,0.5,4,1.213,Maria (4); Other (2); Maaria (1); Maija (1)
1,Mary / Maria / Maarja / Mari,Humppila,Finland/Savo-Karelia,Finnish,su,7,Maria,5,0.7142857142857143,3,0.7963,Maria (5); Maija (1); Other (1)
1,Mary / Maria / Maarja / Mari,Kihnu,Estonia core/west,North Estonian,viP,7,Mari,3,0.42857142857142855,3,1.079,Mari (3); Maie (2); Other (2)
1,Mary / Maria / Maarja / Mari,Kullamaa,Estonia core/west,North Estonian,viP,7,Mari,7,1.0,1,-0.0,Mari (7)
1,Mary / Maria / Maarja / Mari,Laihia,Finland/Savo-Karelia,Finnish,su,7,Maria,4,0.5714285714285714,2,0.6829,Maria (4); Maija (3)
1,Mary / Maria / Maarja / Mari,Loppi,Finland/Savo-Karelia,Finnish,su,7,Maaria,4,0.5714285714285714,3,0.9557,Maaria (4); Maija (2); Maria (1)
1,Mary / Maria / Maarja / Mari,Luumäki,Finland/Savo-Karelia,Finnish,su,7,Maria,3,0.42857142857142855,4,1.277,Maria (3); Other (2); Maaria (1); Maija (1)
1,Mary / Maria / Maarja / Mari,Muolaa,Finland/Savo-Karelia,Finnish,su,7,Mari,7,1.0,1,-0.0,Mari (7)
1,Mary / Maria / Maarja / Mari,Pielisjärvi,Finland/Savo-Karelia,Finnish,su,7,Maaria,3,0.42857142857142855,4,1.277,Maaria (3); Maija (2); Maria (1); Other (1)
1,Mary / Maria / Maarja / Mari,Pudasjärvi,Finland/Savo-Karelia,Finnish,su,7,Maaria,3,0.42857142857142855,3,1.0042,Maaria (3); Maija (3); Other (1)
1,Mary / Maria / Maarja / Mari,Puhja,Estonia core/west,South Estonian,viE,7,Mari,4,0.5714285714285714,2,0.6829,Mari (4); Maarja (3)
1,Mary / Maria / Maarja / Mari,Pöytyä,Finland/Savo-Karelia,Finnish,su,7,Maija,4,0.5714285714285714,2,0.6829,Maija (4); Other (3)
1,Mary / Maria / Maarja / Mari,Rannu,Estonia core/west,South Estonian,viE,7,Mari,6,0.8571428571428571,2,0.4101,Mari (6); Maarja (1)
1,Mary / Maria / Maarja / Mari,Tartu-Maarja,Estonia core/west,South Estonian,viE,7,Maie,3,0.42857142857142855,3,1.0042,Maie (3); Mari (3); Maarja (1)
1,Mary / Maria / Maarja / Mari,Tervo,Finland/Savo-Karelia,Finnish,su,7,Maria,6,0.8571428571428571,2,0.4101,Maria (6); Maija (1)
1,Mary / Maria / Maarja / Mari,Toksova,Ingria,Finnish,su,7,Mari,6,0.8571428571428571,2,0.4101,Mari (6); Maaria (1)
1,Mary / Maria / Maarja / Mari,Uusikaupunki,Finland/Savo-Karelia,Finnish,su,7,Maija,4,0.5714285714285714,3,0.9557,Maija (4); Other (2); Maria (1)
1,Mary / Maria / Maarja / Mari,Vändra,Estonia core/west,North Estonian,viP,7,Maie,2,0.2857142857142857,4,1.3518,Maie (2); Mari (2); Other (2); Maaria (1)
1,Mary / Maria / Maarja / Mari,Hausjärvi,Finland/Savo-Karelia,Outside selected Finnic areas,ru,6,Maija,3,0.5,3,1.0114,Maija (3); Other (2); Mari (1)
1,Mary / Maria / Maarja / Mari,Hollola,Finland/Savo-Karelia,Finnish,su,6,Maija,5,0.8333333333333334,2,0.4506,Maija (5); Maaria (1)
1,Mary / Maria / Maarja / Mari,Jaani,Estonia core/west,North Estonian,viP,6,Maie,2,0.3333333333333333,3,1.0986,Maie (2); Mari (2); Other (2)
1,Mary / Maria / Maarja / Mari,Jokioinen,Finland/Savo-Karelia,Finnish,su,6,Maaria,4,0.6666666666666666,3,0.8676,Maaria (4); Maija (1); Other (1)
1,Mary / Maria / Maarja / Mari,Kangasniemi,Finland/Savo-Karelia,Finnish,su,6,Maija,2,0.3333333333333333,3,1.0986,Maija (2); Maria (2); Other (2)
1,Mary / Maria / Maarja / Mari,Karula,South Estonia/Seto,South Estonian,viE,6,Marikene,3,0.5,3,1.0114,Marikene (3); Maie (2); Mari (1)
1,Mary / Maria / Maarja / Mari,Kontiolahti,Finland/Savo-Karelia,Finnish,su,6,Maija,2,0.3333333333333333,3,1.0986,Maija (2); Mari (2); Maria (2)
1,Mary / Maria / Maarja / Mari,Kõpu,Estonia core/west,North Estonian,viP,6,Mari,5,0.8333333333333334,2,0.4506,Mari (5); Other (1)
1,Mary / Maria / Maarja / Mari,Liperi,Finland/Savo-Karelia,Finnish,su,6,Maaria,2,0.3333333333333333,3,1.0986,Maaria (2); Maija (2); Maria (2)
1,Mary / Maria / Maarja / Mari,Muhos,Finland/Savo-Karelia,Finnish,su,6,Maija,4,0.6666666666666666,3,0.8676,Maija (4); Maria (1); Other (1)
1,Mary / Maria / Maarja / Mari,Mäntyharju,Finland/Savo-Karelia,Finnish,su,6,Maija,3,0.5,3,1.0114,Maija (3); Other (2); Maria (1)
1,Mary / Maria / Maarja / Mari,Paltamo,Finland/Savo-Karelia,Finnish,su,6,Maria,6,1.0,1,-0.0,Maria (6)
1,Mary / Maria / Maarja / Mari,Pyhäjärvi Ul.,Finland/Savo-Karelia,Finnish,su,6,Maaria,3,0.5,2,0.6931,Maaria (3); Maija (3)
1,Mary / Maria / Maarja / Mari,Pälkjärvi,Finland/Savo-Karelia,Finnish,su,6,Maria,3,0.5,3,1.0114,Maria (3); Maaria (2); Other (1)
1,Mary / Maria / Maarja / Mari,Sortavala,East Karelia/Veps/Tver,Finnish,su,6,Maija,2,0.3333333333333333,5,1.5607,Maija (2); Maaria (1); Mari (1); Maria (1); Other (1)
1,Mary / Maria / Maarja / Mari,Tulemajärvi,East Karelia/Veps/Tver,Livvi-Karelian,ka,6,Maaria,4,0.6666666666666666,3,0.8676,Maaria (4); Maria (1); Other (1)
1,Mary / Maria / Maarja / Mari,Alatornio,Finland/Savo-Karelia,Finnish,su,5,Maija,3,0.6,3,0.9503,Maija (3); Maria (1); Other (1)
1,Mary / Maria / Maarja / Mari,Halikko,Finland/Savo-Karelia,Finnish,su,5,Other,3,0.6,2,0.673,Other (3); Maija (2)
1,Mary / Maria / Maarja / Mari,Hauho,Finland/Savo-Karelia,Finnish,su,5,Maaria,3,0.6,3,0.9503,Maaria (3); Maija (1); Maria (1)
1,Mary / Maria / Maarja / Mari,Hämeenlinna,Finland/Savo-Karelia,Finnish,su,5,Maija,3,0.6,2,0.673,Maija (3); Maaria (2)
