feature_rank_by_size,semantic_name_group,english_variant,area_name,macroRegion,langLabel,langCode,county,place_name,p_id,v_id,v_pos,w_pos,word,word_normalised,local_lemma,standard_lemma,root,word_in_english
2,Martin / Mart / Märt,Martin,Viru-Jaagupi,Estonia core/west,North Estonian,viP,Virumaa,Viru-Jaagupi,89316,1190529,23,1,mart,Mart,Mart,Mart,Mart,Martin
6,Anna / Anne / Ann / Anni,Anne,Viru-Jaagupi,Estonia core/west,North Estonian,viP,Virumaa,Viru-Jaagupi,89316,1190519,26,3,annekene,Annekene,Anne-kene,Annekene,Anne & -kene,little Anne
2,Martin / Mart / Märt,Martin,Viru-Jaagupi,Estonia core/west,North Estonian,viP,Virumaa,Viru-Jaagupi,89316,1190532,27,1,mart,Mart,Mart,Mart,Mart,Martin
2,Martin / Mart / Märt,Martin,Viru-Jaagupi,Estonia core/west,North Estonian,viP,Virumaa,Viru-Jaagupi,89316,1190526,28,1,mardil,Mardil,Mardi-l,Mardi,Mart,at Martin's
2,Martin / Mart / Märt,Martin,Viru-Jaagupi,Estonia core/west,North Estonian,viP,Virumaa,Viru-Jaagupi,89316,1190535,32,1,mardil,Mardil,Mardi-l,Mardi,Mart,at Martin's
2,Martin / Mart / Märt,Martin,Viru-Jaagupi,Estonia core/west,North Estonian,viP,Virumaa,Viru-Jaagupi,89316,1190536,33,2,mardile,Mardile,Mardi-le,Mardi,Mart,to Martin
2,Martin / Mart / Märt,Martin,Viru-Jaagupi,Estonia core/west,North Estonian,viP,Virumaa,Viru-Jaagupi,89316,1190537,34,2,mardile,Mardile,Mardi-le,Mardi,Mart,to Martin
2,Martin / Mart / Märt,Martin,Viru-Jaagupi,Estonia core/west,North Estonian,viP,Virumaa,Viru-Jaagupi,89316,1190548,45,3,mart,Mart,Mart,Mart,Mart,Martin
2,Martin / Mart / Märt,Martin,Viru-Jaagupi,Estonia core/west,North Estonian,viP,Virumaa,Viru-Jaagupi,89316,1190549,46,1,mart,Mart,Mart,Mart,Mart,Martin
6,Anna / Anne / Ann / Anni,Anne,Häädemeeste,Estonia core/west,North Estonian,viP,Pärnumaa,Häädemeeste,89447,1192441,6,3,annele,Annele,Anne,Anne,Anne,Annele
1,Mary / Maria / Maarja / Mari,Mari,Pärnu-Jaagupi,Estonia core/west,North Estonian,viP,Pärnumaa,Pärnu-Jaagupi,89597,1194448,2,2,mari,Mari,Mari,Mari,Mari (proper name),Mari
1,Mary / Maria / Maarja / Mari,Mari,Pärnu-Jaagupi,Estonia core/west,North Estonian,viP,Pärnumaa,Pärnu-Jaagupi,89597,1194450,4,2,mari,Mari,Mari,Mari,Mari (proper name),Mari
1,Mary / Maria / Maarja / Mari,Mari,Pärnu-Jaagupi,Estonia core/west,North Estonian,viP,Pärnumaa,Pärnu-Jaagupi,89597,1194451,5,1,mari,Mari,Mari,Mari,Mari (proper name),Mari
1,Mary / Maria / Maarja / Mari,Mari,Pärnu-Jaagupi,Estonia core/west,North Estonian,viP,Pärnumaa,Pärnu-Jaagupi,89597,1194452,6,2,mari,Mari,Mari,Mari,Mari (proper name),Mari
1,Mary / Maria / Maarja / Mari,Mari,Pärnu-Jaagupi,Estonia core/west,North Estonian,viP,Pärnumaa,Pärnu-Jaagupi,89597,1194453,7,2,mari,Mari,Mari,Mari,Mari (proper name),Mari
1,Mary / Maria / Maarja / Mari,Mari,Pärnu-Jaagupi,Estonia core/west,North Estonian,viP,Pärnumaa,Pärnu-Jaagupi,89597,1194454,8,2,mari,Mari,Mari,Mari,Mari (proper name),Mari
1,Mary / Maria / Maarja / Mari,Mari,Pärnu-Jaagupi,Estonia core/west,North Estonian,viP,Pärnumaa,Pärnu-Jaagupi,89597,1194456,11,1,mari,Mari,Mari,Mari,Mari (proper name),Mari
6,Anna / Anne / Ann / Anni,Ann,Kodavere,Estonia core/west,North Estonian,viP,Tartumaa,Kodavere,89629,1194994,5,1,Ann,Ann,Ann,Ann,Ann,Ann
4,Catherine / Kadri / Katri,Kadri,Kodavere,Estonia core/west,North Estonian,viP,Tartumaa,Kodavere,89629,1194995,6,1,kadri,Kadri,Kadri,Kadri,Kadri,Kadri
2,Martin / Mart / Märt,Martin,Sangaste,Estonia core/west,South Estonian,viE,Tartumaa,Sangaste,89702,1195989,1,3,märti,Märti,märti,Märt,Märt,Martin
2,Martin / Mart / Märt,Martin,Sangaste,Estonia core/west,South Estonian,viE,Tartumaa,Sangaste,89702,1195989,1,4,märti,Märti,märti,Märt,Märt,Martin
3,John / Jaan / Jussi / Hans,Jaan/Jaani,Helme,Estonia core/west,South Estonian,viE,Viljandimaa,Helme,89721,1196281,4,4,Jaanil,Jaanil,Jaanil,Jaan,Jaan,at Jaan
3,John / Jaan / Jussi / Hans,Jaan/Jaani,Kuusalu,Estonia core/west,North Estonian,viP,Harjumaa,Kuusalu,89769,1197231,9,2,tuajaani,Tua-Jaani,Tua-Jaani,Tua-Jaani,(proper name),Tua-Jaani's
3,John / Jaan / Jussi / Hans,Jaan/Jaani,Kuusalu,Estonia core/west,North Estonian,viP,Harjumaa,Kuusalu,89769,1197232,10,1,jaan,Jaan,Jaan,Jaan,(proper name),Jaan
6,Anna / Anne / Ann / Anni,Anne,Karksi,Estonia core/west,South Estonian,viE,Pärnumaa,Karksi,89985,1200806,1,2,anne,Anne,Anne,Anne,Anne,Anne
1,Mary / Maria / Maarja / Mari,Mari,Sangaste,Estonia core/west,South Estonian,viE,Tartumaa,Sangaste,90065,1201930,15,1,mari,Mari,Mari,Mari,Mari,Mari
2,Martin / Mart / Märt,Märt/Märti,Kodavere,Estonia core/west,North Estonian,viP,Tartumaa,Kodavere,90103,1202538,5,1,märt,Märt,Märt,Märt/mäger,Märt/mäger,Märt (name/marten)
2,Martin / Mart / Märt,Märt/Märti,Kodavere,Estonia core/west,North Estonian,viP,Tartumaa,Kodavere,90103,1202550,17,1,märt,Märt,Märt,Märt,Märt,Märt
4,Catherine / Kadri / Katri,Kadri,Setumaa,South Estonia/Seto,South Estonian,viE,Setumaa,Setumaa,90274,1206449,3,1,kadri,Kadri,Kadri,Kadri,(personal name),Kadri
4,Catherine / Kadri / Katri,Kadri,Setumaa,South Estonia/Seto,South Estonian,viE,Setumaa,Setumaa,90274,1206450,4,1,kadri,Kadri,Kadri,Kadri,(personal name),Kadri
4,Catherine / Kadri / Katri,Kadri,Setumaa,South Estonia/Seto,South Estonian,viE,Setumaa,Setumaa,90274,1206451,5,3,kadrikõizi,kadriköisi,kadriköis,kadriköis,Kadri & köis,Kadri's ropes
4,Catherine / Kadri / Katri,Kadri,Setumaa,South Estonia/Seto,South Estonian,viE,Setumaa,Setumaa,90274,1206452,6,1,kadri,Kadri,Kadri,Kadri,(personal name),Kadri
3,John / Jaan / Jussi / Hans,John/St John,Setumaa,South Estonia/Seto,South Estonian,viE,Setumaa,Setumaa,90378,1199841,1,1,Jaanikõnõ,Jaanikene,Jaanikõnõ,Jaanikene,Jaan & -kõnõ (diminutive),Little John
6,Anna / Anne / Ann / Anni,Anne,Helme,Estonia core/west,South Estonian,viE,Viljandimaa,Helme,120860,1663972,6,1,anne,Anne,Anne,Anne,Anne,Anne
4,Catherine / Kadri / Katri,Kadri,Palamuse,Estonia core/west,North Estonian,viP,Tartumaa,Palamuse,120863,1664048,5,1,Kadri,Kadri,Kadri,Kadri,,Kadri
5,Jesus / Christ,Christ,Põlva,South Estonia/Seto,South Estonian,viE,Võrumaa,Põlva,120963,1665862,106,3,kristus,Kristus,Kristus,Kristus,Kristus,Christ
3,John / Jaan / Jussi / Hans,Jaan/Jaani,Põlva,South Estonia/Seto,South Estonian,viE,Võrumaa,Põlva,120963,1665876,124,5,jaani,Jaani,Jaani,Jaan,Jaan,Jaan's
3,John / Jaan / Jussi / Hans,Hans,Viljandi,Estonia core/west,North Estonian,viP,Viljandimaa,Viljandi,121021,1666753,1,1,hans,Hans,Hans,Hans,Johannes (Germanic),Hans
3,John / Jaan / Jussi / Hans,John/St John,Saarde,Estonia core/west,North Estonian,viP,Pärnumaa,Saarde,121037,1666979,1,1,jaaniõhtul,jaaniõhtul,jaaniõhtu,jaaniõhtu,jaan & õhtu,on St. John's Eve
3,John / Jaan / Jussi / Hans,John/St John,Saarde,Estonia core/west,North Estonian,viP,Pärnumaa,Saarde,121037,1666993,15,4,jaanituli,jaanituli,jaanituli,jaanituli,jaan & tuli,St. John's fire
3,John / Jaan / Jussi / Hans,Juhan,Haljala,Estonia core/west,North Estonian,viP,Virumaa,Haljala,121089,1667566,1,1,Juhan,Juhan,Juhan,Juhan,Johannes,Juhan
3,John / Jaan / Jussi / Hans,Jussi,Haljala,Estonia core/west,North Estonian,viP,Virumaa,Haljala,121089,1667566,1,2,jussi,Jussi,jussi,Juss,Johannes,Jussi
6,Anna / Anne / Ann / Anni,Anne,Haljala,Estonia core/west,North Estonian,viP,Virumaa,Haljala,121089,1351079,4,1,Annele,Annele,Anne,Anne,Anna,to Anne
1,Mary / Maria / Maarja / Mari,Maija/Maie,Haljala,Estonia core/west,North Estonian,viP,Virumaa,Haljala,121089,1667568,5,1,Maiele,Maiele,Maie,Maie,Maie,to Maie
1,Mary / Maria / Maarja / Mari,Mary,Haljala,Estonia core/west,North Estonian,viP,Virumaa,Haljala,121255,1670323,5,1,mari,Mari,Mari,Mari,Mari,Mary
1,Mary / Maria / Maarja / Mari,Mary,Kadrina,Estonia core/west,North Estonian,viP,Virumaa,Kadrina,121255,1670323,5,1,mari,Mari,Mari,Mari,Mari,Mary
3,John / Jaan / Jussi / Hans,Ants,Haljala,Estonia core/west,North Estonian,viP,Virumaa,Haljala,121273,1670633,2,1,ants,Ants,Ants,Ants,Proper name,Ants
3,John / Jaan / Jussi / Hans,Ants,Haljala,Estonia core/west,North Estonian,viP,Virumaa,Haljala,121273,1670635,4,3,antsu,Antsu,Ants,Ants,Proper name,Ants's
3,John / Jaan / Jussi / Hans,Ants,Haljala,Estonia core/west,North Estonian,viP,Virumaa,Haljala,121273,1670636,5,3,antsu,Antsu,Ants,Ants,Proper name,Ants's
3,John / Jaan / Jussi / Hans,Ants,Haljala,Estonia core/west,North Estonian,viP,Virumaa,Haljala,121273,1670638,7,2,antsu,Antsu,Ants,Ants,Proper name,Ants's
3,John / Jaan / Jussi / Hans,Ants,Haljala,Estonia core/west,North Estonian,viP,Virumaa,Haljala,121273,1670640,9,2,antsul,Antsule,Ants,Ants,Proper name,to Ants
3,John / Jaan / Jussi / Hans,Ants,Haljala,Estonia core/west,North Estonian,viP,Virumaa,Haljala,121273,1670642,11,2,antsu,Antsu,Ants,Ants,Proper name,Ants's
3,John / Jaan / Jussi / Hans,Ants,Haljala,Estonia core/west,North Estonian,viP,Virumaa,Haljala,121273,1670643,12,2,antsu,Antsu,Ants,Ants,Proper name,Ants's
3,John / Jaan / Jussi / Hans,Ants,Haljala,Estonia core/west,North Estonian,viP,Virumaa,Haljala,121273,1670656,25,1,ants,Ants,Ants,Ants,Proper name,Ants
6,Anna / Anne / Ann / Anni,Anne,Karksi,Estonia core/west,South Estonian,viE,Pärnumaa,Karksi,121277,1257391,9,2,anne,Anne,Anne,Anne,Anne,Anne
1,Mary / Maria / Maarja / Mari,Maija/Maie,Karksi,Estonia core/west,South Estonian,viE,Pärnumaa,Karksi,121277,1257392,11,1,maie,Maie,Maie,Maie,Maie,Maie
1,Mary / Maria / Maarja / Mari,Mari,Karksi,Estonia core/west,South Estonian,viE,Pärnumaa,Karksi,121277,1257392,11,2,maari,Maari,Maari,Maari,Maari,Maari
6,Anna / Anne / Ann / Anni,Anne,Karksi,Estonia core/west,South Estonian,viE,Pärnumaa,Karksi,121277,1670703,23,2,anne,Anne,Anne,Anne,Anne,Anne
1,Mary / Maria / Maarja / Mari,Maija/Maie,Karksi,Estonia core/west,South Estonian,viE,Pärnumaa,Karksi,121277,1670704,24,1,maie,Maie,Maie,Maie,Maie,Maie
1,Mary / Maria / Maarja / Mari,Mari,Karksi,Estonia core/west,South Estonian,viE,Pärnumaa,Karksi,121277,1670704,24,2,maari,Maari,Maari,Maari,Maari,Maari
1,Mary / Maria / Maarja / Mari,Maija/Maie,Karksi,Estonia core/west,South Estonian,viE,Pärnumaa,Karksi,121277,1670706,26,1,maie,Maie,Maie,Maie,Maie,Maie
1,Mary / Maria / Maarja / Mari,Mari,Karksi,Estonia core/west,South Estonian,viE,Pärnumaa,Karksi,121277,1670706,26,3,maari,Maari,Maari,Maari,Maari,Maari
6,Anna / Anne / Ann / Anni,Anne,Karksi,Estonia core/west,South Estonian,viE,Pärnumaa,Karksi,121277,1670707,27,3,anne,Anne,Anne,Anne,Anne,Anne
6,Anna / Anne / Ann / Anni,Anne,Koeru,Estonia core/west,North Estonian,viP,Järvamaa,Koeru,121415,1672843,7,2,Anne,Anne,Anne,Anne,Anne,Anne
4,Catherine / Kadri / Katri,Kaisa/Kaie,Koeru,Estonia core/west,North Estonian,viP,Järvamaa,Koeru,121415,1672843,7,4,kaie,Kaie,Kaie,Kaie,Kaie,Kaie
3,John / Jaan / Jussi / Hans,Hans,Ambla,Estonia core/west,North Estonian,viP,Järvamaa,Ambla,121587,1676722,8,1,hans,Hans,Hans,Hans,Hans,Hans
7,Peter / Pietari / Peeter,Peeter,Ambla,Estonia core/west,North Estonian,viP,Järvamaa,Ambla,121587,1352115,10,1,peeter,Peeter,Peeter,Peeter,Peeter,Peeter
6,Anna / Anne / Ann / Anni,Ann,Ambla,Estonia core/west,North Estonian,viP,Järvamaa,Ambla,121587,1676731,19,1,ann,Ann,Ann,Ann,Ann,Ann
6,Anna / Anne / Ann / Anni,Ann,Ambla,Estonia core/west,North Estonian,viP,Järvamaa,Ambla,121619,1677298,1,1,ann,Ann,Ann,Ann,Anna (Christian name),Ann
6,Anna / Anne / Ann / Anni,Ann,Ambla,Estonia core/west,North Estonian,viP,Järvamaa,Ambla,121619,1677308,12,3,annekene,annekene,anne,anne,Anna + -kene,little Ann
3,John / Jaan / Jussi / Hans,Hans,Ambla,Estonia core/west,North Estonian,viP,Järvamaa,Ambla,121619,1677313,18,1,hansu,Hansu,Hans,Hans,German 'Hans',Hans's
7,Peter / Pietari / Peeter,Peeter,Ambla,Estonia core/west,North Estonian,viP,Järvamaa,Ambla,121619,1677314,19,1,peetri,Peetri,Peeter,Peeter,Greek 'Petros',Peeter's
6,Anna / Anne / Ann / Anni,Anne,Ambla,Estonia core/west,North Estonian,viP,Järvamaa,Ambla,121619,1677316,21,1,anne,Anne,Anne,Anne,Anna (Christian),Anne
6,Anna / Anne / Ann / Anni,Anni/Annie,Ambla,Estonia core/west,North Estonian,viP,Järvamaa,Ambla,121619,1677328,34,2,annivakad,annivakad,annivakk,annivakk,Anni & vakk,Anni's sacks
6,Anna / Anne / Ann / Anni,Anni/Annie,Ambla,Estonia core/west,North Estonian,viP,Järvamaa,Ambla,121619,1677330,36,1,annivakad,annivakad,annivakk,annivakk,Anni & vakk,Anni's sacks
3,John / Jaan / Jussi / Hans,Hans,Ambla,Estonia core/west,North Estonian,viP,Järvamaa,Ambla,121664,1678487,28,1,hans,Hans,Hans,Hans,Hans,Hans
3,John / Jaan / Jussi / Hans,Jaan/Jaani,Ambla,Estonia core/west,North Estonian,viP,Järvamaa,Ambla,121664,1678487,28,4,jaan,Jaan,Jaan,Jaan,Jaan,Jaan
3,John / Jaan / Jussi / Hans,Hans,Ambla,Estonia core/west,North Estonian,viP,Järvamaa,Ambla,121664,1211166,30,1,hans,Hans,Hans,Hans,Hans,Hans
3,John / Jaan / Jussi / Hans,Jaan/Jaani,Ambla,Estonia core/west,North Estonian,viP,Järvamaa,Ambla,121664,1279987,31,1,jaan,Jaan,Jaan,Jaan,Jaan,Jaan
6,Anna / Anne / Ann / Anni,Anne,Ambla,Estonia core/west,North Estonian,viP,Järvamaa,Ambla,121666,1678596,51,3,anne,Anne,Anne,Anne,Anne,Anne's
3,John / Jaan / Jussi / Hans,John/St John,Ambla,Estonia core/west,North Estonian,viP,Järvamaa,Ambla,121690,1678881,3,2,jaani,Jaani,Jaan,Jaan,Jaan,John's
7,Peter / Pietari / Peeter,Peter,Ambla,Estonia core/west,North Estonian,viP,Järvamaa,Ambla,121783,1680841,17,1,peetri,Peetri,Peeter,Peeter,Peeter,Peter's
1,Mary / Maria / Maarja / Mari,Mary,Viljandi,Estonia core/west,North Estonian,viP,Viljandimaa,Viljandi,121853,1682399,6,2,maarja,maarja,maarja,Maarja,*Maarja,Mary's
1,Mary / Maria / Maarja / Mari,Mary,Paistu,Estonia core/west,South Estonian,viE,Viljandimaa,Paistu,121984,1685213,7,1,Mari,Mari,Mari,Mari,Mari,Mary
3,John / Jaan / Jussi / Hans,John/St John,Paistu,Estonia core/west,South Estonian,viE,Viljandimaa,Paistu,122015,1261545,1,1,Jaanikene,Jaanikene,jaanikene,jaanike,Jaan & -kene,Little John
7,Peter / Pietari / Peeter,Peter,Paistu,Estonia core/west,South Estonian,viE,Viljandimaa,Paistu,122018,1686085,26,2,peeter,Peeter,Peeter,Peeter,Proper name,Peter
4,Catherine / Kadri / Katri,Kati,Tarvastu,Estonia core/west,South Estonian,viE,Viljandimaa,Tarvastu,122136,1688082,14,4,kati,Kati,Kati,Kati,,Kati
3,John / Jaan / Jussi / Hans,Hans,Halliste,Estonia core/west,South Estonian,viE,Pärnumaa,Halliste,122230,1690244,22,4,hansu,Hansu,Hans,Hans,Hans,Hans'
3,John / Jaan / Jussi / Hans,Hans,Halliste,Estonia core/west,South Estonian,viE,Pärnumaa,Halliste,122230,1690245,23,2,hansul,Hansul,Hans,Hans,Hans,Hans had
1,Mary / Maria / Maarja / Mari,Maija/Maie,Vändra,Estonia core/west,North Estonian,viP,Pärnumaa,Vändra,122294,1691435,10,3,maie,maie,mai,mai,mai,Maie's
4,Catherine / Kadri / Katri,Kaisa/Kaie,Vändra,Estonia core/west,North Estonian,viP,Pärnumaa,Vändra,122294,1691436,11,1,kaie,kaie,kai,kai,kai,Kaie's
4,Catherine / Kadri / Katri,Kadri,Vändra,Estonia core/west,North Estonian,viP,Pärnumaa,Vändra,122294,1691437,12,1,kadri,kadri,kadri,kadri,kadri,Kadri's
1,Mary / Maria / Maarja / Mari,Mary,Vändra,Estonia core/west,North Estonian,viP,Pärnumaa,Vändra,122334,1692088,9,2,maaria,Maaria,Maaria,Maaria,Maaria,Mary
3,John / Jaan / Jussi / Hans,Hans,Vändra,Estonia core/west,North Estonian,viP,Pärnumaa,Vändra,122366,1692522,5,2,hans,Hans,Hans,Hans,Johannes (via German),Hans
3,John / Jaan / Jussi / Hans,Hans,Vändra,Estonia core/west,North Estonian,viP,Pärnumaa,Vändra,122366,1692523,6,2,hans,Hans,Hans,Hans,,Hans
1,Mary / Maria / Maarja / Mari,Mary,Halliste,Estonia core/west,South Estonian,viE,Pärnumaa,Halliste,122381,1692851,9,2,maria,Maria,maria,Maria,Maria,Mary
3,John / Jaan / Jussi / Hans,Jaan/Jaani,Halliste,Estonia core/west,South Estonian,viE,Pärnumaa,Halliste,122388,1692969,9,2,jaani,Jaani,Jaan,Jaan,Jaan,Jaan's
6,Anna / Anne / Ann / Anni,Anne,Kose,Estonia core/west,North Estonian,viP,Harjumaa,Kose,122429,1693564,10,5,anne,anne,anne,anne,anne,Anne
3,John / Jaan / Jussi / Hans,John/St John,Kadrina,Estonia core/west,North Estonian,viP,Virumaa,Kadrina,122510,1240522,16,1,jaani,Jaani,Jaan,Jaan,Jaan,John's
3,John / Jaan / Jussi / Hans,Hans,Pilistvere,Estonia core/west,North Estonian,viP,Viljandimaa,Pilistvere,122711,1698636,2,2,hansu,Hansu,Hans,Hans,Proper name,Hans's
3,John / Jaan / Jussi / Hans,Hans,Pilistvere,Estonia core/west,North Estonian,viP,Viljandimaa,Pilistvere,122711,1248830,3,1,hans,Hans,Hans,Hans,Proper name,Hans
1,Mary / Maria / Maarja / Mari,Maija/Maie,Ambla,Estonia core/west,North Estonian,viP,Järvamaa,Ambla,122767,1699648,17,2,maie,Maie,Maie,Maie,Proper noun,Maie
1,Mary / Maria / Maarja / Mari,Maija/Maie,Ambla,Estonia core/west,North Estonian,viP,Järvamaa,Ambla,122767,1699655,24,1,maie,Maie,Maie,Maie,Proper noun,Maie
1,Mary / Maria / Maarja / Mari,Maija/Maie,Ambla,Estonia core/west,North Estonian,viP,Järvamaa,Ambla,122767,1699663,32,2,maie,Maie,Maie,Maie,Proper noun,Maie
6,Anna / Anne / Ann / Anni,Ann,Vändra,Estonia core/west,North Estonian,viP,Pärnumaa,Vändra,122872,1701199,22,1,ann,ann,Ann,Ann,Ann,Ann
3,John / Jaan / Jussi / Hans,Jaan/Jaani,Vändra,Estonia core/west,North Estonian,viP,Pärnumaa,Vändra,122922,1240522,15,1,jaani,Jaani,Jaan,Jaan,Jaan,Jaan's
3,John / Jaan / Jussi / Hans,Ants,Vändra,Estonia core/west,North Estonian,viP,Pärnumaa,Vändra,122922,1702249,17,1,antsu,Antsu,Ants,Ants,Ants,Ants's
2,Martin / Mart / Märt,Märt/Märti,Paistu,Estonia core/west,South Estonian,viE,Viljandimaa,Paistu,122987,1703113,4,2,märdid,märdid,märd,Märt,Märt,Märt
3,John / Jaan / Jussi / Hans,Hans,Paistu,Estonia core/west,South Estonian,viE,Viljandimaa,Paistu,123026,1703716,6,3,hansukesta,Hansukesest,Hansukene,Hansuke,Hans,of little Hans
3,John / Jaan / Jussi / Hans,Hans,Paistu,Estonia core/west,South Estonian,viE,Viljandimaa,Paistu,123026,1703717,7,1,hans,Hans,Hans,Hans,Hans,Hans
3,John / Jaan / Jussi / Hans,Hans,Paistu,Estonia core/west,South Estonian,viE,Viljandimaa,Paistu,123026,1703719,9,1,hans,Hans,Hans,Hans,Hans,Hans
3,John / Jaan / Jussi / Hans,Hans,Paistu,Estonia core/west,South Estonian,viE,Viljandimaa,Paistu,123026,1703721,11,1,hans,Hans,Hans,Hans,Hans,Hans
3,John / Jaan / Jussi / Hans,Hans,Paistu,Estonia core/west,South Estonian,viE,Viljandimaa,Paistu,123026,1703724,14,3,hansu,Hansu,Hans,Hans,Hans,Hans'
3,John / Jaan / Jussi / Hans,Hans,Paistu,Estonia core/west,South Estonian,viE,Viljandimaa,Paistu,123026,1703725,16,2,hansul,Hansul,Hans,Hans,Hans,to Hans
6,Anna / Anne / Ann / Anni,Anne,Haljala,Estonia core/west,North Estonian,viP,Virumaa,Haljala,123083,1704737,2,1,anne,Anne,Anne,Anne,Anne,Anne
4,Catherine / Kadri / Katri,Kadri,Halliste,Estonia core/west,South Estonian,viE,Pärnumaa,Halliste,123120,1705371,8,2,kadri,Kadri,Kadri,Kadri,(proper name),Kadri
1,Mary / Maria / Maarja / Mari,Mari,Halliste,Estonia core/west,South Estonian,viE,Pärnumaa,Halliste,123120,1705372,9,1,mari,Mari,Mari,Mari,(proper name),Mari
6,Anna / Anne / Ann / Anni,Anne,Halliste,Estonia core/west,South Estonian,viE,Pärnumaa,Halliste,123141,1705730,2,3,anne,Anne,Anne,Anne,Anne,Anne
6,Anna / Anne / Ann / Anni,Anne,Halliste,Estonia core/west,South Estonian,viE,Pärnumaa,Halliste,123141,1705731,3,2,anne,Anne,Anne,Anne,Anne,Anne
1,Mary / Maria / Maarja / Mari,Mary,Audru,Estonia core/west,North Estonian,viP,Pärnumaa,Audru,123258,1225461,1,1,maarjal,Maarjal,maarja,Maarja,Maria (Christian name),Mary
4,Catherine / Kadri / Katri,Kadri,Haljala,Estonia core/west,North Estonian,viP,Virumaa,Haljala,123278,1708472,2,2,kadri,Kadri,Kadri,Kadri,Kadri,Kadri
4,Catherine / Kadri / Katri,Kadri,Haljala,Estonia core/west,North Estonian,viP,Virumaa,Haljala,123278,1209950,3,1,kadri,Kadri,Kadri,Kadri,Kadri,Kadri
4,Catherine / Kadri / Katri,Kadri,Haljala,Estonia core/west,North Estonian,viP,Virumaa,Haljala,123278,1193467,6,1,kadri,Kadri,Kadri,Kadri,Kadri,Kadri
4,Catherine / Kadri / Katri,Kadri,Haljala,Estonia core/west,North Estonian,viP,Virumaa,Haljala,123278,1239173,12,1,kadril,Kadril,Kadri,Kadri,Kadri,Kadri's
4,Catherine / Kadri / Katri,Kadri,Haljala,Estonia core/west,North Estonian,viP,Virumaa,Haljala,123278,1405334,14,1,kadri,Kadri,Kadri,Kadri,Kadri,Kadri
