area_name,baps_id,cluster,Ilmarinen,Väinämöinen,Lemminkäinen,Jesus / Christ,Mary / Maria / Maarja / Mari,John / Jaan / Jussi / Hans,Peter / Pietari / Peeter,Martin / Mart / Märt,Catherine / Kadri / Katri,Anna / Anne / Ann / Anni,macroRegion,langLabel,langCode,n_groups,proper_name_mentions
Iisaku,24,7,,,,,Mari,Hans,Peeter,Martin,Kaisa/Kaie,Anne,Estonia core/west,North Estonian,viP,6,36
Iisalmi,25,6,Ilmarinen,Väinämöinen,,Jesus,Mary,Jussi,Pekka/Pekko,Martin,,,Finland/Savo-Karelia,Finnish,su,7,31
Ilomantsi,26,1,Ilmarinen,Väinämöinen,Lemminkäinen,Jesus,Mary,Jussi,Peter,,Kaisa/Kaie,Anni/Annie,Finland/Savo-Karelia,Finnish,su,9,424
Impilahti,27,8,Ilmarinen,Väinämöinen,,Jesus,Mary,,Peter,,Kadri,Ann,East Karelia/Veps/Tver,Livvi-Karelian,ka,7,92
Isojoki,28,1,,,,Jesus,Mary,Jussi,Peter,,,,Finland/Savo-Karelia,Finnish,su,4,11
Jaakkima,29,2,,Väinö/Väinämö,,Jesus,Maija/Maie,,Peter,,Catherine/Katherine,,Finland/Savo-Karelia,Finnish,su,5,13
Jaani,30,5,,,,,Maija/Maie,John/St John,Peter,Mart/Marti,,,Estonia core/west,North Estonian,viP,4,11
Jalasjärvi,31,1,,,,Jesus,Mary,Jussi,Peter,,,,Finland/Savo-Karelia,Finnish,su,4,12
Janakkala,32,5,,,,,Maija/Maie,Jussi,Peter,,,Ann,Finland/Savo-Karelia,Finnish,su,4,15
Joroinen,33,6,Ilmarinen,Väinämöinen,,Jesus,Mary,Jussi,Pekka/Pekko,,Kaisa/Kaie,Anna,Finland/Savo-Karelia,Finnish,su,8,42
Juuka,34,6,Ilmari/Ilmar,Väinämöinen,,Jesus,Mary,Jussi,Pekka/Pekko,,,,Finland/Savo-Karelia,Finnish,su,6,19
Juuru,35,8,,,,Jesus,Mary,John/St John,,Mart/Marti,Kadri,Ann,Estonia core/west,North Estonian,viP,6,39
Juva,36,2,Ilmarinen,Väinämöinen,,Jesus,Mary,Jussi,Peter,,Kaisa/Kaie,Anna,Finland/Savo-Karelia,Finnish,su,8,75
Jällivaara,37,2,,,,Jesus,Mary,Jussi,Peter,,,Anna,Finland/Savo-Karelia,Tornedalen Finnish,su,5,13
Järva-Jaani,38,4,,,,Jesus,Mary,Jaan/Jaani,Peter,Mart/Marti,Kadri,Anu,Estonia core/west,North Estonian,viP,7,65
Järva-Madise,39,7,,,,,Mary,Hans,Peeter,Mardi/Mard,Kadri,Anne,Estonia core/west,North Estonian,viP,6,63
Jõelähtme,40,1,,,,Jesus,Mary,Ants,Peter,Martin,Kaisa/Kaie,Ann,Estonia core/west,North Estonian,viP,7,56
Jõhvi,41,8,,,,Jesus,Mari,John/St John,Peter,Martin,Kadri,Ann,Estonia core/west,North Estonian,viP,7,151
Jüri,42,3,,,,Jesus,Mari,Jaan/Jaani,Peter,Martin,Kaisa/Kaie,Anne,Estonia core/west,North Estonian,viP,7,55
Kaarma,43,8,,,,Jesus,Mary,Hans,Peeter,Martin,,Ann,Estonia core/west,North Estonian,viP,6,33
Kaavi,44,6,Ilmarinen,Väinämöinen,,Jesus,Mary,Jussi,Pekka/Pekko,,Kaisa/Kaie,Anna,Finland/Savo-Karelia,Finnish,su,8,40
Kadrina,45,7,,,,Jesus,Mary,Hans,Peeter,Mart/Marti,Kaisa/Kaie,Anne,Estonia core/west,North Estonian,viP,7,210
Kalajoki,46,2,,,,Jesus,Maija/Maie,Jussi,,,Kaisa/Kaie,Anna,Finland/Savo-Karelia,Finnish,su,5,30
Kambja,47,8,,,,,Mary,John/St John,Peeter,Märt/Märti,Kadri,Anne,Estonia core/west,South Estonian,viE,6,26
Kanepi,48,8,,,,Jesus,Mary,John/St John,,Martin,Kadri,Anne,South Estonia/Seto,South Estonian,viE,6,37
Kangaslampi,49,6,Ilmarinen,Väinämöinen,,,,Jussi,Pekka/Pekko,,,Anna,Finland/Savo-Karelia,Finnish,su,5,10
Kangasniemi,50,6,Ilmari/Ilmar,Väinämöinen,,Jesus,Maija/Maie,Jussi,Pekka/Pekko,,Katri/Katrina,Anna,Finland/Savo-Karelia,Finnish,su,8,29
Kankaanpää,51,1,,,,Jesus,Mary,John/St John,Peter,,,,Finland/Savo-Karelia,Finnish,su,4,11
Kaprio,52,1,Ilmarinen,Väinämöinen,,Jesus,Mary,Jussi,Peter,Martin,Katri/Katrina,Anni/Annie,Ingria,Finnish,su,9,111
Karja,53,8,,,,,Mary,Hans,Peter,,,Ann,Estonia core/west,North Estonian,viP,4,28
Karksi,54,4,,,,Jesus,Mary,Jaan/Jaani,Peter,Mart/Marti,Kadri,Anne,Estonia core/west,South Estonian,viE,7,396
Karula,55,3,,,,Jesus,Mari,Juhan,Peter,,Kadri,Anne,South Estonia/Seto,South Estonian,viE,6,100
Karuna,56,5,,,,,Maija/Maie,Jussi,Peter,,,Anni/Annie,Finland/Savo-Karelia,Finnish,su,4,10
Karuse,57,4,,,,,Mari,Jaan/Jaani,Peeter,Mart/Marti,Kadri,Ann,Estonia core/west,North Estonian,viP,6,166
Kattila,58,1,,,,Jesus,Mary,,Peter,Martin,,Anu,Ingria,Votic,su,5,21
Kauhava,59,1,,Väinämöinen,,Jesus,Mary,Jussi,Peter,,Kaisa/Kaie,,Finland/Savo-Karelia,Finnish,su,6,25
Keila,60,8,,,,,,John/St John,Peter,Mart/Marti,Kadri,Ann,Estonia core/west,North Estonian,viP,5,16
Keltto,61,1,Ilmarinen,Väinämöinen,,Jesus,Mary,,,,Katri/Katrina,,Ingria,Finnish,su,5,10
Kemi,62,1,,,,Jesus,Mary,Jussi,Peter,,,,Finland/Savo-Karelia,Finnish,su,4,13
Kerimäki,63,6,Ilmarinen,Väinämöinen,,Jesus,Mary,Jussi,Pekka/Pekko,,Kaisa/Kaie,Anna,Finland/Savo-Karelia,Finnish,su,8,22
Kestilä,64,6,,Väinämöinen,,Jesus,Mary,,Pekka/Pekko,Martin,,Anna,Finland/Savo-Karelia,Finnish,su,6,13
Kesälahti,65,1,Ilmarinen,Väinämöinen,Lemminkäinen,Jesus,Mary,,Peter,,,,Finland/Savo-Karelia,Finnish,su,6,57
Kiestinki,66,1,,Väinämöinen,,Jesus,Mary,,,Martin,,Ann,East Karelia/Veps/Tver,Karelian Proper,ka,5,27
Kiihtelysvaara,67,2,Ilmarinen,,,Jesus,Mary,Jussi,Peter,,Catherine/Katherine,Anna,Finland/Savo-Karelia,Finnish,su,7,28
Kiimaisjärvi,68,1,,Väinämöinen,Lemminkäinen,Jesus,Mary,,,,,,East Karelia/Veps/Tver,Karelian Proper,ka,4,32
Kitee,69,2,Ilmarinen,Väinämöinen,,Jesus,Mary,Jussi,Peter,,Kaisa/Kaie,Anna,Finland/Savo-Karelia,Finnish,su,8,130
Kittilä,70,1,,Väinämöinen,,Jesus,Mary,,,,,Anni/Annie,Finland/Savo-Karelia,Finnish,su,4,11
Kiuruvesi,71,6,,Väinämöinen,,Jesus,Mary,Jussi,Pekka/Pekko,Martin,Kaisa/Kaie,Anna,Finland/Savo-Karelia,Finnish,su,8,52
Kivennapa,72,1,,,,Christ,Mary,Jussi,Peter,,Kaisa/Kaie,Anni/Annie,Finland/Savo-Karelia,Finnish,su,6,34
Kivijärvi,73,6,,Väinämöinen,,Jesus,Mary,Jussi,,Martin,Catherine/Katherine,Anni/Annie,Finland/Savo-Karelia,Finnish,su,7,19
Kodavere,74,4,,,Lemmingäinen/Lemming,Jesus,Maija/Maie,Jaan/Jaani,Peter,Märt/Märti,Kadri,Anne,Estonia core/west,North Estonian,viP,8,96
Koeru,75,3,Ilmari/Ilmar,,,Jesus,Mari,John/St John,Peter,Mardi/Mard,Kadri,Anne,Estonia core/west,North Estonian,viP,8,159
Koivisto,76,6,,,,Jesus,Mary,,Pekka/Pekko,Martin,Katri/Katrina,Anni/Annie,Finland/Savo-Karelia,Finnish,su,6,36
Kolga-Jaani,77,3,,,,Jesus,Mari,Jaan/Jaani,Peter,Märt/Märti,Kaisa/Kaie,Anne,Estonia core/west,North Estonian,viP,7,217
Kontiolahti,78,1,Ilmarinen,Väinämöinen,,Jesus,Mary,Jussi,Peter,,Kaisa/Kaie,Anni/Annie,Finland/Savo-Karelia,Finnish,su,8,37
Kontokki,79,1,,Väinämöinen,Lemminkäinen,Jesus,Mary,Jussi,Peter,Martin,,Ann,East Karelia/Veps/Tver,Karelian Proper,ka,8,54
Koprina,80,5,,,,Jesus,Maria/Maaria,Jussi,Pekka/Pekko,,Katri/Katrina,Anni/Annie,Ingria,Finnish,su,6,46
Korpilahti,81,5,,Väinämöinen,,Jesus,Maija/Maie,Jussi,,,,Anni/Annie,Finland/Savo-Karelia,Finnish,su,5,18
Korpiselkä,82,1,Ilmarinen,Väinämöinen,Lemminkäinen,Jesus,Mary,Jussi,Peter,,Katri/Katrina,Anni/Annie,East Karelia/Veps/Tver,Karelian Proper,ka,9,160
Kose,83,7,,,,,Mary,Hans,Peter,Mart/Marti,Kadri,Anne,Estonia core/west,North Estonian,viP,6,160
Kuhmo,84,6,,Väinämöinen,,Jesus,Mary,Jussi,Pekka/Pekko,Martin,Katri/Katrina,Anni/Annie,Finland/Savo-Karelia,Finnish,su,8,22
Kuhmoinen,85,1,Ilmarinen,Väinämöinen,,Jesus,Mary,Jussi,Peter,,,,Finland/Savo-Karelia,Finnish,su,6,24
Kullamaa,86,4,,,,,Mari,Jaan/Jaani,Peeter,Martin,Kadri,Ann,Estonia core/west,North Estonian,viP,6,38
Kuopio,87,6,,Väinämöinen,,Jesus,Mary,Jussi,Pekka/Pekko,,Kaisa/Kaie,Anni/Annie,Finland/Savo-Karelia,Finnish,su,7,22
Kupanitsa,88,1,,,,Jesus,Mary,John/St John,Peter,,Kati,Anni/Annie,Ingria,Finnish,su,6,32
Kurikka,89,2,,,,Jesus,Maija/Maie,Jussi,,,Kaisa/Kaie,Anna,Finland/Savo-Karelia,Finnish,su,5,12
Kursi,90,3,,,,,Mary,John/St John,Peter,Mart/Marti,Kaisa/Kaie,Anne,Estonia core/west,North Estonian,viP,6,38
Kuusalu,91,4,,,Lemmingäinen/Lemming,Jesus,Mary,Jaan/Jaani,Peter,Mart/Marti,Kadri,Anne,Estonia core/west,North Estonian,viP,8,210
Kuusamo,92,1,Ilmarinen,Väinämöinen,,Jesus,Mary,Jussi,,,,Anni/Annie,Finland/Savo-Karelia,Finnish,su,6,28
Käina,93,8,,,,,Mary,John/St John,Peeter,Mart/Marti,Kadri,Ann,Estonia core/west,North Estonian,viP,6,20
Kärla,94,8,,,,,Mari,Ants,Peeter,Mart/Marti,,Ann,Estonia core/west,North Estonian,viP,5,12
Kõpu,95,7,,,,Jesus,Mari,Hans,Peter,Märt/Märti,Kadri,Anne,Estonia core/west,North Estonian,viP,7,63
Laihia,96,1,,,,Jesus,Mary,Jussi,Peter,,Kaisa/Kaie,,Finland/Savo-Karelia,Finnish,su,5,18
Laiuse,97,3,,,,Christ,Mary,Ants,Peter,Mardi/Mard,Katri/Katrina,Anne,Estonia core/west,North Estonian,viP,7,108
Lapinlahti,98,6,Ilmarinen,Väinämöinen,,Jesus,,Jussi,Pekka/Pekko,,,,Finland/Savo-Karelia,Finnish,su,5,17
Lappee,99,6,,Väinö/Väinämö,,Jesus,Mary,Jussi,Pekka/Pekko,,Kaisa/Kaie,Anni/Annie,Finland/Savo-Karelia,Finnish,su,7,15
Lavansaari,100,5,,,,Jesus,Mari,John/St John,Pekka/Pekko,,Katri/Katrina,Anni/Annie,Finland/Savo-Karelia,Finnish,su,6,13
Lemi,101,1,,Väinämöinen,,,Mary,,Peter,,Kaisa/Kaie,,Finland/Savo-Karelia,Finnish,su,4,15
Lempaala,102,1,Ilmarinen,Väinämöinen,,Jesus,Mary,Jussi,Peter,Martin,Katri/Katrina,Anni/Annie,Finland/Savo-Karelia,Finnish,su,9,152
Leppävirta,103,5,,Väinämöinen,,Jesus,Maria/Maaria,Jussi,Pekka/Pekko,,,Anni/Annie,Finland/Savo-Karelia,Finnish,su,6,32
Liissilä,104,1,Ilmari/Ilmar,,,Jesus,Mary,Jussi,Peter,Martin,Katri/Katrina,Anni/Annie,Ingria,Finnish,su,8,68
Liperi,105,1,Ilmarinen,Väinämöinen,,Jesus,Mary,Jussi,Peter,,,Anni/Annie,Finland/Savo-Karelia,Finnish,su,7,34
Loppi,106,1,,,,Jesus,Mary,Jussi,Peter,Martin,Kaisa/Kaie,Anni/Annie,Finland/Savo-Karelia,Finnish,su,7,21
Luumäki,107,1,,,,Jesus,Mary,Jussi,,,Katri/Katrina,Anni/Annie,Finland/Savo-Karelia,Finnish,su,5,14
Lääne-Nigula,108,8,,,,,Mary,Ants,Peeter,Mart/Marti,Kadri,Anu,Estonia core/west,North Estonian,viP,6,14
Lüganuse,109,3,,,,Jesus,Mary,Ants,Peter,Mart/Marti,Kaisa/Kaie,Anne,Estonia core/west,North Estonian,viP,7,46
Maaninka,110,6,,Väinämöinen,,Jesus,Mary,Jussi,Pekka/Pekko,Martin,Katri/Katrina,Anna,Finland/Savo-Karelia,Finnish,su,8,24
Maarja-Magdaleena,111,3,,,,Jesus,Mari,Jaan/Jaani,Peter,Märt/Märti,Kaisa/Kaie,Anne,Estonia core/west,North Estonian,viP,7,78
Markkova,112,3,,,,Jesus,Mari,,Peter,,Katri/Katrina,,Ingria,Finnish,suI,4,11
Martna,113,1,,,,,Mary,John/St John,Peter,Martin,,,Estonia core/west,North Estonian,viP,4,25
Metsäpirtti,114,2,Ilmarinen,Väinämöinen,,Jesus,Mary,Jussi,Peter,Martin,Catherine/Katherine,Anna,Finland/Savo-Karelia,Finnish,su,9,42
Mihkli,115,4,,,,,Mari,Jaan/Jaani,,Mart/Marti,,Anne,Estonia core/west,North Estonian,viP,4,48
Moloskovitsa,116,1,Ilmarinen,,,Jesus,Mary,Jussi,Peter,,Katri/Katrina,Anni/Annie,Ingria,Finnish,su,7,56
Muhos,117,6,,,,Jesus,Maija/Maie,Jussi,Pekka/Pekko,Martin,Kaisa/Kaie,Anna,Finland/Savo-Karelia,Finnish,su,7,12
Muhu,118,4,,,,Jesus,Maija/Maie,Jaan/Jaani,Peter,,Kadri,Ann,Estonia core/west,North Estonian,viP,6,101
Muolaa,119,5,,Väinö/Väinämö,,,Mari,Jussi,Peter,,,Anni/Annie,Finland/Savo-Karelia,Finnish,su,5,20
Mustjala,120,8,,,,,Mari,Ants,Peeter,Mart/Marti,Kadri,Anne,Estonia core/west,North Estonian,viP,6,27
Muurla,121,1,,,,Jesus,Mary,Jussi,Peter,,,,Finland/Savo-Karelia,Finnish,su,4,27
Muuruvesi,122,6,Ilmarinen,Väinämöinen,,Jesus,Mary,Jussi,,,,,Finland/Savo-Karelia,Finnish,su,5,10
Mynämäki,123,5,,,Lemminkäinen,,Maija/Maie,Jussi,,,Kaisa/Kaie,,Finland/Savo-Karelia,Finnish,su,4,11
Mäntsälä,124,5,,,,,Maija/Maie,Jussi,Peter,,,Anni/Annie,Finland/Savo-Karelia,Finnish,su,4,12
Mäntyharju,125,5,,Väinämöinen,,Jesus,Maija/Maie,Jussi,Pekka/Pekko,Martin,Katri/Katrina,Anni/Annie,Finland/Savo-Karelia,Finnish,su,8,23
Märjamaa,126,4,,,,,Mari,Jaan/Jaani,Peter,Mart/Marti,Kadri,Anne,Estonia core/west,North Estonian,viP,6,75
Narvusi,127,5,Ilmarinen,Väinämöinen,,Jesus,Maija/Maie,John/St John,Peter,Martin,Kati,Anni/Annie,Ingria,Ingrian,in,9,594
Nilsiä,128,6,Ilmarinen,,Lemminkäinen,Jesus,Mary,Jussi,Pekka/Pekko,,,Anna,Finland/Savo-Karelia,Finnish,su,7,35
Nurmes,129,6,Ilmarinen,Väinämöinen,,Jesus,Mary,Jussi,Pekka/Pekko,Martin,Catherine/Katherine,Anni/Annie,Finland/Savo-Karelia,Finnish,su,9,86
Nõo,130,4,,,,,Mary,Jaan/Jaani,,Märt/Märti,Kadri,Anne,Estonia core/west,South Estonian,viE,5,33
Orimattila,131,1,,,,,Mary,Jussi,Peter,Martin,Kaisa/Kaie,Anni/Annie,Finland/Savo-Karelia,Finnish,su,6,15
Otepää,132,3,,,,,Mary,Jaan/Jaani,Peter,,Kaisa/Kaie,Anne,Estonia core/west,South Estonian,viE,5,42
Oulu,133,2,Ilmarinen,,,Jesus,Maria/Maaria,Jussi,,,Kaisa/Kaie,Anna,Finland/Savo-Karelia,Finnish,su,6,12
Paide,134,3,,,,,Mari,Juhan,,Mardi/Mard,Kaisa/Kaie,Anne,Estonia core/west,North Estonian,viP,5,54
Paistu,135,3,,,,Jesus,Mary,Jaan/Jaani,Peter,Martin,Katri/Katrina,Anne,Estonia core/west,South Estonian,viE,7,428
Palamuse,136,7,,,,Jesus,Mari,Hans,Peter,Martin,Kadri,Anne,Estonia core/west,North Estonian,viP,7,148
Paltamo,137,6,Ilmarinen,Väinämöinen,,Jesus,Mary,John/St John,Pekka/Pekko,Martin,,Anna,Finland/Savo-Karelia,Finnish,su,8,29
Peetri,138,8,,,,,Mari,John/St John,Peter,Mart/Marti,Kadri,Ann,Estonia core/west,North Estonian,viP,6,183
Perho,139,2,,,,,Maria/Maaria,Jussi,Peter,,Kaisa/Kaie,Anna,Finland/Savo-Karelia,Finnish,su,5,10
Perniö,140,1,,,,Christ,Mary,Jussi,Peter,,Kaisa/Kaie,Ann,Finland/Savo-Karelia,Finnish,su,6,10
Pieksämäki,141,6,Ilmarinen,Väinämöinen,,Jesus,Mary,,Pekka/Pekko,,,Anni/Annie,Finland/Savo-Karelia,Finnish,su,6,20
Pielavesi,142,6,Ilmarinen,Väinämöinen,,Jesus,Mary,Jussi,Pekka/Pekko,Martin,Kaisa/Kaie,,Finland/Savo-Karelia,Finnish,su,8,61
Pielisjärvi,143,6,Ilmarinen,Väinämöinen,,Jesus,Mary,Jussi,Pekka/Pekko,,Catherine/Katherine,Anni/Annie,Finland/Savo-Karelia,Finnish,su,8,38
Piippola,144,1,,Väinämöinen,,Jesus,Mary,,,Martin,,,Finland/Savo-Karelia,Finnish,su,4,12
Pilistvere,145,3,,,,Christ,Mari,John/St John,Peter,Martin,Kaisa/Kaie,Anne,Estonia core/west,North Estonian,viP,7,144
Pistojärvi,146,6,,Väinämöinen,Lemminkäinen,Jesus,Mary,Jussi,,,,,East Karelia/Veps/Tver,Karelian Proper,ka,5,13
Porajärvi,147,6,Ilmarinen,Väinämöinen,Lemminkäinen,Jesus,Mary,,Pekka/Pekko,,,Anni/Annie,East Karelia/Veps/Tver,Karelian Proper,kaV,7,102
Pudasjärvi,148,2,,Väinämöinen,,Jesus,Maija/Maie,Jussi,Peter,Martin,,Anna,Finland/Savo-Karelia,Finnish,su,7,22
Puhja,149,3,,,,Jesus,Mary,John/St John,Peter,Mardi/Mard,Kaisa/Kaie,Anne,Estonia core/west,South Estonian,viE,7,64
Puolanka,150,5,,Väinämöinen,,Jesus,Maria/Maaria,,Peter,Martin,Kaisa/Kaie,Anni/Annie,Finland/Savo-Karelia,Finnish,su,7,15
Puumala,151,2,,,,Jesus,Mary,,Peter,Mart/Marti,Catherine/Katherine,,Finland/Savo-Karelia,Finnish,su,5,21
Pyhäjärvi Ol.,152,6,,Väinämöinen,,Jesus,Mary,Jussi,Pekka/Pekko,Martin,,,Finland/Savo-Karelia,Finnish,su,6,12
Pyhäjärvi Ul.,153,5,,,,Jesus,Maija/Maie,Jussi,Peter,,,Anni/Annie,Finland/Savo-Karelia,Finnish,su,5,15
Pyhäjärvi Vpl.,154,5,,Väinämöinen,,Christ,Maija/Maie,,Pekka/Pekko,Martin,Katri/Katrina,Anni/Annie,Finland/Savo-Karelia,Finnish,su,7,27
Pälkjärvi,155,2,,,,Jesus,Mary,Jussi,Peter,,,Anna,Finland/Savo-Karelia,Finnish,su,5,16
Pärnu,156,4,,,,,Mary,Jaan/Jaani,Peter,Martin,Kadri,Anne,Estonia core/west,North Estonian,viP,6,105
Pärnu-Jaagupi,157,8,,,,Jesus,Mari,John/St John,Peeter,Mardi/Mard,Kadri,Anne,Estonia core/west,North Estonian,viP,7,123
Põltsamaa,158,7,,,,Jesus,Mary,Hans,Peeter,Martin,Kadri,Anne,Estonia core/west,North Estonian,viP,7,185
Põlva,159,3,,,,Christ,Mary,Jaan/Jaani,Peter,Märt/Märti,Kadri,Anne,South Estonia/Seto,South Estonian,viE,7,64
Pöide,160,4,,Väinö/Väinämö,,Jesus,Maija/Maie,Jaan/Jaani,Peter,Märt/Märti,Kadri,Ann,Estonia core/west,North Estonian,viP,8,76
Pöytyä,161,5,,,,,Maija/Maie,Jussi,Peter,,Kati,,Finland/Savo-Karelia,Finnish,su,4,18
Pühalepa,162,8,,,,Jesus,Mari,John/St John,Peeter,Mart/Marti,Kaisa/Kaie,Ann,Estonia core/west,North Estonian,viP,7,37
Rakvere,163,4,,,,,Mary,Jaan/Jaani,,Martin,Kadri,Anne,Estonia core/west,North Estonian,viP,5,30
Rannu,164,4,,,,Jesus,Mari,Jaan/Jaani,Peter,Martin,Kadri,Anne,Estonia core/west,South Estonian,viE,7,43
Ranua,165,2,,,,,Maija/Maie,Jussi,Peter,,,Anna,Finland/Savo-Karelia,Finnish,su,4,21
Rapla,166,4,,,,,Mari,Jaan/Jaani,,Mart/Marti,Kadri,Anne,Estonia core/west,North Estonian,viP,5,56
Rautavaara,167,2,Ilmari/Ilmar,Väinö/Väinämö,,Jesus,Mary,Jussi,Peter,,,,Finland/Savo-Karelia,Finnish,su,6,23
Reigi,168,4,,,,,Mari,Jaan/Jaani,Peter,Mart/Marti,,Ann,Estonia core/west,North Estonian,viP,5,12
Renko,169,2,,,,Jesus,Mary,Jussi,Peter,,,Anna,Finland/Savo-Karelia,Finnish,su,5,14
Repola,170,1,Ilmarinen,Väinämöinen,Lemminkäinen,Jesus,Mary,,Peter,,,Anni/Annie,East Karelia/Veps/Tver,Karelian Proper,kaV,7,125
Ridala,171,8,,,,,Mari,Ants,,Mardi/Mard,,Ann,Estonia core/west,North Estonian,viP,4,29
Risti,172,4,,,,Jesus,Mari,Jaan/Jaani,Peter,Mardi/Mard,Kadri,Anna,Estonia core/west,North Estonian,viP,7,118
Rovaniemi,173,5,Ilmarinen,,,Jesus,Maija/Maie,,Peter,,Kaisa/Kaie,Anni/Annie,Finland/Savo-Karelia,Finnish,su,6,27
Ruovesi,174,2,,,,,Maija/Maie,Jussi,Peter,,Kaisa/Kaie,,Finland/Savo-Karelia,Finnish,su,4,13
Räisälä,175,5,,Väinämöinen,,Jesus,Mari,Jussi,Pekka/Pekko,,,Anni/Annie,Finland/Savo-Karelia,Finnish,su,6,13
Räpina,176,4,,,,Jesus,Mary,Jaan/Jaani,Petteri/Pietari,Martin,Kadri,Ann,South Estonia/Seto,South Estonian,viE,7,184
Rääkkylä,177,1,,Väinämöinen,,Jesus,Mary,Jussi,Peter,,Kaisa/Kaie,,Finland/Savo-Karelia,Finnish,su,6,39
Rääpyvä,178,1,,Väinämöinen,,Jesus,Mary,John/St John,,,Katri/Katrina,,Ingria,Finnish,su,5,15
Rõngu,179,4,,,,Jesus,Mary,Jaan/Jaani,Peter,Märt/Märti,Kadri,Anne,Estonia core/west,South Estonian,viE,7,111
Rõuge,180,4,,,,Jesus,Mari,Jaan/Jaani,Peter,,Kadri,Anna,South Estonia/Seto,South Estonian,viE,6,82
Saarde,181,7,,,,Jesus,Mary,Hans,,Mart/Marti,Kadri,Anne,Estonia core/west,North Estonian,viP,6,141
Saarijärvi,182,5,Ilmarinen,Väinämöinen,Lemminkäinen,Jesus,Maija/Maie,Jussi,Peter,,Kaisa/Kaie,Anni/Annie,Finland/Savo-Karelia,Finnish,su,9,72
Sakkola,183,6,,Väinämöinen,,Jesus,Mary,Jussi,Pekka/Pekko,,Kaisa/Kaie,Anni/Annie,Finland/Savo-Karelia,Finnish,su,7,36
Salmi,184,1,Ilmarinen,Väinämöinen,Lemminkäinen,Jesus,Mary,,Peter,,Catherine/Katherine,Anni/Annie,East Karelia/Veps/Tver,Livvi-Karelian,ka,8,111
