area_name,Ilmarinen,Väinämöinen,Lemminkäinen,Jesus / Christ,Mary / Maria / Maarja / Mari,John / Jaan / Jussi / Hans,Peter / Pietari / Peeter,Martin / Mart / Märt,Catherine / Kadri / Katri,Anna / Anne / Ann / Anni,macroRegion,langLabel,langCode,n_groups,proper_name_mentions
Joroinen,Ilmarinen,Väinämöinen,,Jeesus,Maria,Jussi/Juss,Pietari,,Kaisa,Anna,Finland/Savo-Karelia,Finnish,su,8,46
Juuka,Ilmarinen,Väinämöinen,,Jeesus,Maria,Jussi/Juss,Pekka,,,,Finland/Savo-Karelia,Finnish,su,6,17
Juuru,,,,Jeesus,Mari,Jaan,,Mart/Martin,Kadri,Anne,Estonia core/west,North Estonian,viP,6,41
Juva,Ilmarinen,Väinämöinen,,Jeesus,Maria,Jussi/Juss,Pietari,,Kaisa,,Finland/Savo-Karelia,Finnish,su,7,75
Jällivaara,,,,Jeesus,Maria,Jussi/Juss,Petteri/Petri,,,,Finland/Savo-Karelia,Tornedalen Finnish,su,4,12
Järva-Jaani,,,,Jeesus,Mari,Hans,Peeter,Märt,Kadri,Anu,Estonia core/west,North Estonian,viP,7,67
Järva-Madise,,,,,Mari,Jaan,Peeter,Mart/Martin,Kadri,Anne,Estonia core/west,North Estonian,viP,6,68
Jõelähtme,,,,Jeesus,Mari,Ants,Peeter,Mart/Martin,,Anne,Estonia core/west,North Estonian,viP,6,55
Jõhvi,,,,Jeesus,Mari,Jaan,Peeter,Mart/Martin,Kadri,Anne,Estonia core/west,North Estonian,viP,7,169
Jüri,,,,Jeesus,Mari,Jaan,Peeter,Mart/Martin,Kadri,Anne,Estonia core/west,North Estonian,viP,7,57
Kaarma,,,,Jeesus,Other,Hans,Peeter,Mart/Martin,,Ann,Estonia core/west,North Estonian,viP,6,38
Kaavi,Ilmarinen,Väinämöinen,,Jeesus,Maaria,Jussi/Juss,Pietari,,,Anna,Finland/Savo-Karelia,Finnish,su,7,35
Kadrina,,,,Jeesus,Mari,Jaan,Peeter,Mart/Martin,Kadri,Anne,Estonia core/west,North Estonian,viP,7,216
Kalajoki,,,,Jeesus,Maija/Maie,Jussi/Juss,,,Kaisa,Anna,Finland/Savo-Karelia,Finnish,su,5,31
Kambja,,,,,Maarja,Jaan,Peeter,Märt,Kadri,Anne,Estonia core/west,South Estonian,viE,6,24
Kanepi,,,,Jeesus,Mari,Jaan,Peeter,Märt,Kadri,Anne,South Estonia/Seto,South Estonian,viE,7,31
Kangaslampi,Ilmarinen,Väinämöinen,,,,Jussi/Juss,Pekka,,,Anna,Finland/Savo-Karelia,Finnish,su,5,10
Kangasniemi,,Väinämöinen,,Jeesus,Maria,Jussi/Juss,Pekka,,Katri,Anna,Finland/Savo-Karelia,Finnish,su,7,24
Kankaanpää,,,,Jeesus,Maaria,Other,Pietari,,,,Finland/Savo-Karelia,Finnish,su,4,10
Kaprio,Ilmarinen,Väinämöinen,,Jeesus,Maaria,Iivana,Pietari,Martti,Katri,Anni,Ingria,Finnish,su,9,104
Karja,,,,,Mari,Hans,Peeter,,,Ann,Estonia core/west,North Estonian,viP,4,29
Karksi,,,,Jeesus,Maarja,Jaan,Peeter,Other,Kadri,Anne,Estonia core/west,South Estonian,viE,7,394
Karula,,,,Other,Mari,Other,Peeter,,Other,Anne,South Estonia/Seto,South Estonian,viE,6,106
Karuna,,,,,Maija/Maie,Jussi/Juss,Pietari,,,Anni,Finland/Savo-Karelia,Finnish,su,4,10
Karuse,,,,,Mari,Jaan,Peeter,Mart/Martin,Kadri,Anne,Estonia core/west,North Estonian,viP,6,156
Kattila,,,,Jeesus,Maria,,Other,Martti,,Anu,Ingria,Votic,su,5,21
Kauhava,,Väinämöinen,,Jeesus,Maria,Jussi/Juss,Pietari,,,,Finland/Savo-Karelia,Finnish,su,5,18
Keila,,,,,Mari,,Peeter,Mart/Martin,Kadri,Anne,Estonia core/west,North Estonian,viP,5,15
Keltto,Ilmarinen,Väinämöinen,,Jeesus,Maria,,Pietari,,Katri,,Ingria,Finnish,su,6,11
Kemi,,,,Jeesus,Maija/Maie,Jussi/Juss,Petteri/Petri,,Katariina/Katriina,,Finland/Savo-Karelia,Finnish,su,5,16
Kerimäki,Ilmarinen,Väinämöinen,,Jeesus,Maria,Jussi/Juss,Pekka,,Kaisa,,Finland/Savo-Karelia,Finnish,su,7,19
Kestilä,,Väinämöinen,,Jeesus,Maria,,Pekka,Martti,,Anna,Finland/Savo-Karelia,Finnish,su,6,13
Kesälahti,Ilmarinen,Väinämöinen,Lemminkäinen,Jeesus,Maaria,Other,Pietari,,,,Finland/Savo-Karelia,Finnish,su,7,62
Kiestinki,,Väinämöinen,,Jeesus,Maria,,,Martti,,Anni,East Karelia/Veps/Tver,Karelian Proper,ka,5,27
Kiihtelysvaara,Ilmarinen,,,Jeesus,Maria,Jussi/Juss,Pietari,,Katariina/Katriina,,Finland/Savo-Karelia,Finnish,su,6,29
Kiimaisjärvi,,Väinämöinen,Lemminkäinen,Jeesus,Maaria,Other,Pietari,,,,East Karelia/Veps/Tver,Karelian Proper,ka,6,37
Kitee,Ilmarinen,Väinämöinen,,Jeesus,Maria,Jussi/Juss,Pietari,,Kaisa,Anna,Finland/Savo-Karelia,Finnish,su,8,133
Kiuruvesi,,Väinämöinen,,Jeesus,Maria,Jussi/Juss,Pekka,Martti,Kaisa,,Finland/Savo-Karelia,Finnish,su,7,50
Kivennapa,,,,Christ/Kristus,Mari,Jussi/Juss,Pietari,Martti,Kaisa,Anni,Finland/Savo-Karelia,Finnish,su,7,34
Kivijärvi,,Väinämöinen,,Other,Maria,Other,,Martti,Katariina/Katriina,,Finland/Savo-Karelia,Finnish,su,6,19
Kodavere,,,,Jeesus,Mari,Jaan,Peeter,Märt,Kadri,Anne,Estonia core/west,North Estonian,viP,7,80
Koeru,,,,Jeesus,Mari,Jaan,Peeter,Mard/Mardi,Kadri,Anne,Estonia core/west,North Estonian,viP,7,168
Koivisto,,,,Jeesus,Mari,,Pekka,Martti,Katri,Anni,Finland/Savo-Karelia,Finnish,su,6,35
Kolga-Jaani,,,,Jeesus,Mari,Jaan,Peeter,Märt,,Anne,Estonia core/west,North Estonian,viP,6,226
Kontiolahti,Ilmarinen,Väinämöinen,,Jeesus,Mari,Jussi/Juss,Pietari,,Kaisa,Anni,Finland/Savo-Karelia,Finnish,su,8,36
Kontokki,,Väinämöinen,Lemminkäinen,Jeesus,Maria,Jussi/Juss,Petteri/Petri,Mart/Martin,,Anni,East Karelia/Veps/Tver,Karelian Proper,ka,8,52
Koprina,,,,Jeesus,Maria,Other,Pietari,,Katri,Anni,Ingria,Finnish,su,6,49
Korpilahti,,Väinämöinen,,Jeesus,Maija/Maie,Jussi/Juss,,,,Anni,Finland/Savo-Karelia,Finnish,su,5,18
Korpiselkä,Ilmarinen,Väinämöinen,Lemminkäinen,Jeesus,Maria,Jussi/Juss,Pietari,,Kati,Anni,East Karelia/Veps/Tver,Karelian Proper,ka,9,154
Kose,,,,,Mari,Hans,Peeter,Mart/Martin,Kadri,Anne,Estonia core/west,North Estonian,viP,6,155
Kuhmo,,Väinämöinen,,Jeesus,Maaria,Jussi/Juss,Pekka,Martti,Katri,Anni,Finland/Savo-Karelia,Finnish,su,8,21
Kuhmoinen,Ilmarinen,Väinämöinen,,Jeesus,Maria,Jussi/Juss,Pietari,,,,Finland/Savo-Karelia,Finnish,su,6,22
Kullamaa,,,,,Mari,Jaan,Peeter,Mart/Martin,Kadri,Anni,Estonia core/west,North Estonian,viP,6,41
Kuopio,,Väinämöinen,,Jeesus,Maria,Jussi/Juss,Pekka,,Kaisa,Anni,Finland/Savo-Karelia,Finnish,su,7,24
Kupanitsa,,,,Jeesus,Mari,Other,Pietari,,Kati,Anni,Ingria,Finnish,su,6,29
Kurikka,,,,Jeesus,Maija/Maie,Jussi/Juss,Pekka,,Kaisa,,Finland/Savo-Karelia,Finnish,su,5,10
Kursi,,,,,Mari,Jaan,Peeter,Mart/Martin,,Anne,Estonia core/west,North Estonian,viP,5,45
Kuusalu,,,Lemminkäinen,Jeesus,Mari,Jaan,Peeter,Mart/Martin,Kadri,Anne,Estonia core/west,North Estonian,viP,8,264
Kuusamo,Other,Väinämöinen,,Jeesus,Maaria,Jussi/Juss,,,,Anni,Finland/Savo-Karelia,Finnish,su,6,28
Käina,,,,,Maarja,Other,Peeter,Mart/Martin,Kadri,Ann,Estonia core/west,North Estonian,viP,6,19
Kärla,,,,,Mari,Ants,Peeter,Mart/Martin,Kadri,Ann,Estonia core/west,North Estonian,viP,6,14
Kõpu,,,,Jeesus,Mari,Hans,Peeter,Mard/Mardi,Kadri,Anne,Estonia core/west,North Estonian,viP,7,65
Laihia,,,,Jeesus,Maria,Jussi/Juss,Pietari,,Kaisa,,Finland/Savo-Karelia,Finnish,su,5,18
Laiuse,,,,Christ/Kristus,Mari,Jaan,Peeter,Mart/Martin,Kadri,Anne,Estonia core/west,North Estonian,viP,7,110
Lapinlahti,Ilmarinen,Väinämöinen,,,,Jussi/Juss,Pietari,,,,Finland/Savo-Karelia,Finnish,su,4,15
Lappee,,,,Jeesus,Maria,Jussi/Juss,Pekka,,Kaisa,Other,Finland/Savo-Karelia,Finnish,su,6,15
Lapua,,,,,Maija/Maie,Jussi/Juss,Pietari,,,Anna,Finland/Savo-Karelia,Finnish,su,4,11
Lavansaari,,,,Jeesus,Mari,,Pekka,,Katri,Anni,Finland/Savo-Karelia,Finnish,su,5,11
Lemi,,Väinämöinen,,,Maija/Maie,,Pietari,,Kaisa,,Finland/Savo-Karelia,Finnish,su,4,14
Lempaala,Ilmarinen,Väinämöinen,,Jeesus,Maaria,Jussi/Juss,Pietari,Martti,Kaisa,Anni,Finland/Savo-Karelia,Finnish,su,9,155
Leppävirta,,Väinämöinen,,Jeesus,Maria,Jussi/Juss,Pekka,,,Other,Finland/Savo-Karelia,Finnish,su,6,33
Liissilä,Ilmarinen,,,Jeesus,Maria,Jussi/Juss,Pietari,,Katri,Anni,Ingria,Finnish,su,7,64
Liperi,Ilmarinen,Väinämöinen,,Jeesus,Maria,Jussi/Juss,Pietari,,,Anni,Finland/Savo-Karelia,Finnish,su,7,37
Loppi,,,,Jeesus,Maaria,Jussi/Juss,Pietari,Martti,Kaisa,Anni,Finland/Savo-Karelia,Finnish,su,7,21
Luopioinen,,,,Jeesus,Maaria,Jussi/Juss,,,Kaisa,Anni,Finland/Savo-Karelia,Finnish,su,5,10
Lääne-Nigula,,,,,Mari,Ants,Peeter,Mart/Martin,Kadri,Anu,Estonia core/west,North Estonian,viP,6,16
Lüganuse,,,,Jeesus,Mari,Jaan,Peeter,Mard/Mardi,,Anne,Estonia core/west,North Estonian,viP,6,61
Maaninka,,Väinämöinen,,Jeesus,Maija/Maie,Jussi/Juss,Pekka,,Katri,,Finland/Savo-Karelia,Finnish,su,6,23
Maarja-Magdaleena,,,,Jeesus,Mari,Jaan,Peeter,Märt,Kadri,Anne,Estonia core/west,North Estonian,viP,7,77
Markkova,,,,Other,Mari,Other,Pietari,,Katri,,Ingria,Finnish,suI,5,12
Martna,,,,,Mari,Jaan,Peeter,Mart/Martin,,Anne,Estonia core/west,North Estonian,viP,5,31
Metsäpirtti,Ilmarinen,Väinämöinen,,Jeesus,Maria,Jussi/Juss,Pietari,Martti,,Anni,Finland/Savo-Karelia,Finnish,su,8,31
Mihkli,,,,,Mari,Jaan,,Mard/Mardi,,Anne,Estonia core/west,North Estonian,viP,4,60
Moloskovitsa,Ilmarinen,,,Jeesus,Mari,Jussi/Juss,Pietari,,Katri,Anni,Ingria,Finnish,su,7,57
Muhos,,,,Jeesus,Maija/Maie,Jussi/Juss,Pekka,Martti,Kaisa,,Finland/Savo-Karelia,Finnish,su,6,10
Muhu,,,,Jeesus,Mari,Jaan,Peeter,,Kadri,Ann,Estonia core/west,North Estonian,viP,6,125
Muolaa,,,,,Mari,Jussi/Juss,Pekka,,,Anni,Finland/Savo-Karelia,Finnish,su,4,17
Mustjala,,,,,Mari,Ants,Peeter,Mart/Martin,,Anne,Estonia core/west,North Estonian,viP,5,30
Muurla,,,,Jeesus,Maria,Jussi/Juss,Pietari,,,,Finland/Savo-Karelia,Finnish,su,4,29
Muuruvesi,Ilmarinen,Väinämöinen,,Jeesus,Maria,Jussi/Juss,,,,,Finland/Savo-Karelia,Finnish,su,5,10
Mynämäki,,,Lemminkäinen,,Maija/Maie,Jussi/Juss,,,Kaisa,,Finland/Savo-Karelia,Finnish,su,4,13
Mäntsälä,,,,,Maija/Maie,Jussi/Juss,Pietari,,,Anni,Finland/Savo-Karelia,Finnish,su,4,11
Mäntyharju,,Väinämöinen,,Jeesus,Maija/Maie,Jussi/Juss,Pekka,Martti,,Anni,Finland/Savo-Karelia,Finnish,su,7,23
Märjamaa,,,,,Mari,Jaan,Peeter,Mard/Mardi,Kadri,Anne,Estonia core/west,North Estonian,viP,6,85
Narvusi,Ilmarinen,Väinämöinen,,Jeesus,Maija/Maie,Iivana,Pietari,Martti,Kati,Anni,Ingria,Ingrian,in,9,597
Nilsiä,Ilmarinen,,Lemminkäinen,Jeesus,Other,Jussi/Juss,Pekka,,,,Finland/Savo-Karelia,Finnish,su,6,33
Nurmes,Ilmarinen,Väinämöinen,,Jeesus,Maaria,Jussi/Juss,Pekka,Martti,Katariina/Katriina,Anne,Finland/Savo-Karelia,Finnish,su,9,85
Nõo,,,,,Mari,Jaan,,Other,Kadri,Anne,Estonia core/west,South Estonian,viE,5,45
Orimattila,,,,,Maaria,Jussi/Juss,Pietari,Martti,Kaisa,Anni,Finland/Savo-Karelia,Finnish,su,6,15
Otepää,,,,,Mari,Jaan,Peeter,,Other,Anne,Estonia core/west,South Estonian,viE,5,42
Oulu,Ilmarinen,,,Jeesus,Maria,,,,Kaisa,Anna,Finland/Savo-Karelia,Finnish,su,5,10
Paide,,,,,Mari,Other,,Mard/Mardi,,Anne,Estonia core/west,North Estonian,viP,4,43
Paistu,,,,Jeesus,Mari,Jaan,Peeter,Märt,Katri,Anne,Estonia core/west,South Estonian,viE,7,515
Palamuse,,,,Jeesus,Mari,Hans,Peeter,Märt,Other,Anne,Estonia core/west,North Estonian,viP,7,175
Paltamo,Ilmarinen,Väinämöinen,,Other,Maria,Other,Pekka,Mart/Martin,,,Finland/Savo-Karelia,Finnish,su,7,28
Peetri,,,,,Mari,Jaan,Peeter,Mart/Martin,Kadri,Ann,Estonia core/west,North Estonian,viP,6,145
Perniö,,,,Christ/Kristus,Maria,Jussi/Juss,Pietari,,Kaisa,Anni,Finland/Savo-Karelia,Finnish,su,6,10
Pieksämäki,Ilmarinen,Väinämöinen,,Jeesus,Maria,,Pekka,,,Anni,Finland/Savo-Karelia,Finnish,su,6,20
Pielavesi,Ilmarinen,Väinämöinen,,Jeesus,Maria,Jussi/Juss,Pekka,Martti,Kaisa,,Finland/Savo-Karelia,Finnish,su,8,62
Pielisjärvi,Ilmarinen,Väinämöinen,,Jeesus,Maija/Maie,Jussi/Juss,Pekka,,Katariina/Katriina,Anni,Finland/Savo-Karelia,Finnish,su,8,37
Piippola,,Väinämöinen,,Other,Maria,,,Martti,,Other,Finland/Savo-Karelia,Finnish,su,5,13
Pilistvere,,,,Christ/Kristus,Mari,Jaan,Peeter,Mart/Martin,,Anne,Estonia core/west,North Estonian,viP,6,142
Pistojärvi,,Väinämöinen,Lemminkäinen,Jeesus,Maria,,,,,,East Karelia/Veps/Tver,Karelian Proper,ka,4,12
Porajärvi,Ilmarinen,Väinämöinen,Lemminkäinen,Jeesus,Maaria,,Pekka,,,Anni,East Karelia/Veps/Tver,Karelian Proper,kaV,7,101
Pudasjärvi,,Väinämöinen,,Jeesus,Maija/Maie,Jussi/Juss,Pietari,Martti,,Anni,Finland/Savo-Karelia,Finnish,su,7,19
Puhja,,,,Jeesus,Mari,Jaan,Peeter,Other,,Anne,Estonia core/west,South Estonian,viE,6,77
Puolanka,,Väinämöinen,,Jeesus,Maaria,,Pekka,Martti,Kaisa,Anni,Finland/Savo-Karelia,Finnish,su,7,14
Puumala,,,,Jeesus,Maria,,Pietari,Martti,Kaisa,,Finland/Savo-Karelia,Finnish,su,5,23
Pyhäjärvi Ol.,,Väinämöinen,,Other,Maria,Jussi/Juss,Pekka,Mart/Martin,,,Finland/Savo-Karelia,Finnish,su,6,14
Pyhäjärvi Ul.,,,,Jeesus,Maija/Maie,Jussi/Juss,Pietari,,,Anni,Finland/Savo-Karelia,Finnish,su,5,14
Pyhäjärvi Vpl.,,Väinämöinen,,Christ/Kristus,Maija/Maie,,Pietari,Martti,Katri,Anni,Finland/Savo-Karelia,Finnish,su,7,27
Pälkjärvi,,,,Other,Maria,Jussi/Juss,Pietari,,,Other,Finland/Savo-Karelia,Finnish,su,5,16
Pärnu,,,,,Mari,Jaan,Peeter,Mard/Mardi,Kadri,Anne,Estonia core/west,North Estonian,viP,6,118
Pärnu-Jaagupi,,,,Jeesus,Mari,Jaan,Peeter,Mard/Mardi,Kadri,Anne,Estonia core/west,North Estonian,viP,7,139
Põltsamaa,,,,Jeesus,Mari,Hans,Peeter,Mart/Martin,Kadri,Anne,Estonia core/west,North Estonian,viP,7,193
Põlva,,,,Christ/Kristus,Mari,Jaan,Peeter,Märt,Kadri,Anne,South Estonia/Seto,South Estonian,viE,7,66
Pöide,,,,Jeesus,Mari,Jaan,Peeter,Mard/Mardi,Kadri,Ann,Estonia core/west,North Estonian,viP,7,74
Pöytyä,,,,,Maija/Maie,Jussi/Juss,Pietari,,Kati,,Finland/Savo-Karelia,Finnish,su,4,15
Pühalepa,,,,Other,Mari,Jaan,Peeter,Mart/Martin,Kadri,Ann,Estonia core/west,North Estonian,viP,7,41
Rakvere,,,,,Mari,Jaan,Peeter,Mard/Mardi,Kadri,Anne,Estonia core/west,North Estonian,viP,6,30
Rannu,,,,Jeesus,Mari,Jaan,Peeter,Märt,Kadri,Anne,Estonia core/west,South Estonian,viE,7,55
Ranua,,,,,Maija/Maie,Jussi/Juss,Pietari,,,Anna,Finland/Savo-Karelia,Finnish,su,4,19
Rapla,,,,,Mari,Jaan,,Mart/Martin,Kadri,Anne,Estonia core/west,North Estonian,viP,5,57
Rautavaara,,,,Jeesus,Maaria,Jussi/Juss,Pietari,,,,Finland/Savo-Karelia,Finnish,su,4,21
Reigi,,,,,Mari,Ants,Peeter,Mart/Martin,,Ann,Estonia core/west,North Estonian,viP,5,19
Renko,,,,Jeesus,Maria,Jussi/Juss,Pietari,,,Anna,Finland/Savo-Karelia,Finnish,su,5,14
Repola,Ilmarinen,Väinämöinen,Lemminkäinen,Jeesus,Maria,Iivana,Pietari,,Katri,Anni,East Karelia/Veps/Tver,Karelian Proper,kaV,9,118
Ridala,,,,,Mari,Jaan,,Mard/Mardi,,Ann,Estonia core/west,North Estonian,viP,4,33
Risti,,,,Jeesus,Mari,Jaan,Other,Mard/Mardi,Kadri,Anne,Estonia core/west,North Estonian,viP,7,113
Rovaniemi,Ilmarinen,,,Jeesus,Maija/Maie,Other,Petteri/Petri,,Kaisa,Anni,Finland/Savo-Karelia,Finnish,su,7,29
Ruovesi,,,,,Maija/Maie,Jussi/Juss,Pietari,,Kaisa,,Finland/Savo-Karelia,Finnish,su,4,12
Räpina,,,,Jeesus,Mari,Jaan,Peeter,Märt,Other,Anne,South Estonia/Seto,South Estonian,viE,7,214
Rääkkylä,,Väinämöinen,,Jeesus,Maaria,Jussi/Juss,Pietari,,Kaisa,,Finland/Savo-Karelia,Finnish,su,6,38
Rääpyvä,,Väinämöinen,,Other,Maaria,Jussi/Juss,,,Katri,,Ingria,Finnish,su,5,15
Rõngu,,,,Jeesus,Mari,Jaan,Peeter,Märt,Kadri,Anne,Estonia core/west,South Estonian,viE,7,153
Rõuge,,,,Jeesus,Mari,Jaan,Peeter,,Kadri,Anni,South Estonia/Seto,South Estonian,viE,6,79
Saarde,,,,Jeesus,Maarja,Hans,,Mart/Martin,Kadri,Anne,Estonia core/west,North Estonian,viP,6,155
Saarijärvi,Ilmarinen,Väinämöinen,Lemminkäinen,Jeesus,Maija/Maie,Jussi/Juss,Pietari,,Kaisa,Anni,Finland/Savo-Karelia,Finnish,su,9,67
Sakkola,,Väinämöinen,,Jeesus,Mari,Jussi/Juss,Pietari,,Kaisa,Anni,Finland/Savo-Karelia,Finnish,su,7,32
Salmi,Ilmarinen,Väinämöinen,Lemminkäinen,Jeesus,Maria,,Pietari,,Katariina/Katriina,Anni,East Karelia/Veps/Tver,Livvi-Karelian,ka,8,114
Sangaste,,,,Jeesus,Mari,Jaan,Peeter,Märt,Kadri,Anne,Estonia core/west,South Estonian,viE,7,141
Savitaipale,,Väinämöinen,,Jeesus,Maria,,Pietari,,Kaisa,Anne,Finland/Savo-Karelia,Finnish,su,6,14
Savonlinna,,,,,Maija/Maie,Jussi/Juss,Pekka,,Kaisa,,Finland/Savo-Karelia,Finnish,su,4,14
Seiskari,,,,Jeesus,Mari,,Pietari,,Katri,Anni,Finland/Savo-Karelia,Finnish,su,5,14
Serepetta,Ilmarinen,,,Jeesus,Other,Other,Petteri/Petri,Martti,Katri,Anu,Ingria,Finnish,su,8,40
Setumaa,,,,Jeesus,Mari,Jaan,Peeter,Märt,Kadri,Anne,South Estonia/Seto,South Estonian,viE,7,471
Simo,,,,Jeesus,Maija/Maie,Jussi/Juss,Pekka,,,Anni,Finland/Savo-Karelia,Finnish,su,5,11
Simuna,,,,Jeesus,Mari,Jaan,Peeter,Mart/Martin,Kadri,Anne,Estonia core/west,North Estonian,viP,7,93
Skuoritsa,,,,Jeesus,,,Petteri/Petri,,Kati,Anni,Ingria,Finnish,su,4,15
Soanlahti,,Väinämöinen,Lemminkäinen,Other,Maria,Jussi/Juss,Pietari,,Katri,Anni,East Karelia/Veps/Tver,Finnish,su,8,51
Sodankylä,,,,Jeesus,Maria,,Petteri/Petri,,Kaisa,,Finland/Savo-Karelia,Finnish,su,4,15
Soikkola,Ilmarinen,Väinämöinen,,Jeesus,Maija/Maie,Iivana,Pietari,,Kaisa,Anni,Ingria,Ingrian,in,8,254
Somero,,,,Jeesus,Maria,Jussi/Juss,Pietari,,,,Finland/Savo-Karelia,Finnish,su,4,21
Sonkajärvi,,Väinämöinen,,Jeesus,Maija/Maie,Jussi/Juss,Pekka,,Katariina/Katriina,,Finland/Savo-Karelia,Finnish,su,6,25
Sortavala,Ilmarinen,Väinämöinen,,Jeesus,Maija/Maie,Jussi/Juss,Pietari,,Katri,Anni,East Karelia/Veps/Tver,Finnish,su,8,35
Sotkamo,Ilmarinen,Väinämöinen,,Jeesus,Maija/Maie,Jussi/Juss,Pekka,,,Anna,Finland/Savo-Karelia,Finnish,su,7,36
Soutjärvi,,,,Christ/Kristus,Maria,,Pietari,,Kadri,,East Karelia/Veps/Tver,Veps,ve,4,17
Suistamo,Ilmarinen,Väinämöinen,Lemminkäinen,Jeesus,Maria,Jussi/Juss,Pietari,,Kaisa,Anni,East Karelia/Veps/Tver,Livvi-Karelian,ka,9,598
Suojärvi,Ilmarinen,Väinämöinen,Lemminkäinen,Other,Maria,Other,Pietari,,Katri,Anni,East Karelia/Veps/Tver,Finnish,su,9,352
