area_name,Ilmarinen,Väinämöinen,Lemminkäinen,Jesus / Christ,Mary / Maria / Maarja / Mari,John / Jaan / Jussi / Hans,Peter / Pietari / Peeter,Martin / Mart / Märt,Catherine / Kadri / Katri,Anna / Anne / Ann / Anni,macroRegion,langLabel,langCode,n_groups,proper_name_mentions
Juuru,,,,Jesus,Mary,John/St John,,Mart/Marti,Kadri,Ann,Estonia core/west,North Estonian,viP,6,39
Juva,Ilmarinen,Väinämöinen,,Jesus,Mary,Jussi,Peter,,Kaisa/Kaie,Anna,Finland/Savo-Karelia,Finnish,su,8,75
Jällivaara,,,,Jesus,Mary,Jussi,Peter,,,Anna,Finland/Savo-Karelia,Tornedalen Finnish,su,5,13
Järva-Jaani,,,,Jesus,Mary,Jaan/Jaani,Peter,Mart/Marti,Kadri,Anu,Estonia core/west,North Estonian,viP,7,65
Järva-Madise,,,,,Mary,Hans,Peeter,Mardi/Mard,Kadri,Anne,Estonia core/west,North Estonian,viP,6,63
Jõelähtme,,,,Jesus,Mary,Ants,Peter,Martin,Kaisa/Kaie,Ann,Estonia core/west,North Estonian,viP,7,56
Jõhvi,,,,Jesus,Mari,John/St John,Peter,Martin,Kadri,Ann,Estonia core/west,North Estonian,viP,7,151
Jüri,,,,Jesus,Mari,Jaan/Jaani,Peter,Martin,Kaisa/Kaie,Anne,Estonia core/west,North Estonian,viP,7,55
Kaarma,,,,Jesus,Mary,Hans,Peeter,Martin,,Ann,Estonia core/west,North Estonian,viP,6,33
Kaavi,Ilmarinen,Väinämöinen,,Jesus,Mary,Jussi,Pekka/Pekko,,Kaisa/Kaie,Anna,Finland/Savo-Karelia,Finnish,su,8,40
Kadrina,,,,Jesus,Mary,Hans,Peeter,Mart/Marti,Kaisa/Kaie,Anne,Estonia core/west,North Estonian,viP,7,210
Kalajoki,,,,Jesus,Maija/Maie,Jussi,,,Kaisa/Kaie,Anna,Finland/Savo-Karelia,Finnish,su,5,30
Kambja,,,,,Mary,John/St John,Peeter,Märt/Märti,Kadri,Anne,Estonia core/west,South Estonian,viE,6,26
Kanepi,,,,Jesus,Mary,John/St John,,Martin,Kadri,Anne,South Estonia/Seto,South Estonian,viE,6,37
Kangaslampi,Ilmarinen,Väinämöinen,,,,Jussi,Pekka/Pekko,,,Anna,Finland/Savo-Karelia,Finnish,su,5,10
Kangasniemi,Ilmari/Ilmar,Väinämöinen,,Jesus,Maija/Maie,Jussi,Pekka/Pekko,,Katri/Katrina,Anna,Finland/Savo-Karelia,Finnish,su,8,29
Kankaanpää,,,,Jesus,Mary,John/St John,Peter,,,,Finland/Savo-Karelia,Finnish,su,4,11
Kaprio,Ilmarinen,Väinämöinen,,Jesus,Mary,Jussi,Peter,Martin,Katri/Katrina,Anni/Annie,Ingria,Finnish,su,9,111
Karja,,,,,Mary,Hans,Peter,,,Ann,Estonia core/west,North Estonian,viP,4,28
Karksi,,,,Jesus,Mary,Jaan/Jaani,Peter,Mart/Marti,Kadri,Anne,Estonia core/west,South Estonian,viE,7,396
Karula,,,,Jesus,Mari,Juhan,Peter,,Kadri,Anne,South Estonia/Seto,South Estonian,viE,6,100
Karuna,,,,,Maija/Maie,Jussi,Peter,,,Anni/Annie,Finland/Savo-Karelia,Finnish,su,4,10
Karuse,,,,,Mari,Jaan/Jaani,Peeter,Mart/Marti,Kadri,Ann,Estonia core/west,North Estonian,viP,6,166
Kattila,,,,Jesus,Mary,,Peter,Martin,,Anu,Ingria,Votic,su,5,21
Kauhava,,Väinämöinen,,Jesus,Mary,Jussi,Peter,,Kaisa/Kaie,,Finland/Savo-Karelia,Finnish,su,6,25
Keila,,,,,,John/St John,Peter,Mart/Marti,Kadri,Ann,Estonia core/west,North Estonian,viP,5,16
Keltto,Ilmarinen,Väinämöinen,,Jesus,Mary,,,,Katri/Katrina,,Ingria,Finnish,su,5,10
Kemi,,,,Jesus,Mary,Jussi,Peter,,,,Finland/Savo-Karelia,Finnish,su,4,13
Kerimäki,Ilmarinen,Väinämöinen,,Jesus,Mary,Jussi,Pekka/Pekko,,Kaisa/Kaie,Anna,Finland/Savo-Karelia,Finnish,su,8,22
Kestilä,,Väinämöinen,,Jesus,Mary,,Pekka/Pekko,Martin,,Anna,Finland/Savo-Karelia,Finnish,su,6,13
Kesälahti,Ilmarinen,Väinämöinen,Lemminkäinen,Jesus,Mary,,Peter,,,,Finland/Savo-Karelia,Finnish,su,6,57
Kiestinki,,Väinämöinen,,Jesus,Mary,,,Martin,,Ann,East Karelia/Veps/Tver,Karelian Proper,ka,5,27
Kiihtelysvaara,Ilmarinen,,,Jesus,Mary,Jussi,Peter,,Catherine/Katherine,Anna,Finland/Savo-Karelia,Finnish,su,7,28
Kiimaisjärvi,,Väinämöinen,Lemminkäinen,Jesus,Mary,,,,,,East Karelia/Veps/Tver,Karelian Proper,ka,4,32
Kitee,Ilmarinen,Väinämöinen,,Jesus,Mary,Jussi,Peter,,Kaisa/Kaie,Anna,Finland/Savo-Karelia,Finnish,su,8,130
Kittilä,,Väinämöinen,,Jesus,Mary,,,,,Anni/Annie,Finland/Savo-Karelia,Finnish,su,4,11
Kiuruvesi,,Väinämöinen,,Jesus,Mary,Jussi,Pekka/Pekko,Martin,Kaisa/Kaie,Anna,Finland/Savo-Karelia,Finnish,su,8,52
Kivennapa,,,,Christ,Mary,Jussi,Peter,,Kaisa/Kaie,Anni/Annie,Finland/Savo-Karelia,Finnish,su,6,34
Kivijärvi,,Väinämöinen,,Jesus,Mary,Jussi,,Martin,Catherine/Katherine,Anni/Annie,Finland/Savo-Karelia,Finnish,su,7,19
Kodavere,,,Lemmingäinen/Lemming,Jesus,Maija/Maie,Jaan/Jaani,Peter,Märt/Märti,Kadri,Anne,Estonia core/west,North Estonian,viP,8,96
Koeru,Ilmari/Ilmar,,,Jesus,Mari,John/St John,Peter,Mardi/Mard,Kadri,Anne,Estonia core/west,North Estonian,viP,8,159
Koivisto,,,,Jesus,Mary,,Pekka/Pekko,Martin,Katri/Katrina,Anni/Annie,Finland/Savo-Karelia,Finnish,su,6,36
Kolga-Jaani,,,,Jesus,Mari,Jaan/Jaani,Peter,Märt/Märti,Kaisa/Kaie,Anne,Estonia core/west,North Estonian,viP,7,217
Kontiolahti,Ilmarinen,Väinämöinen,,Jesus,Mary,Jussi,Peter,,Kaisa/Kaie,Anni/Annie,Finland/Savo-Karelia,Finnish,su,8,37
Kontokki,,Väinämöinen,Lemminkäinen,Jesus,Mary,Jussi,Peter,Martin,,Ann,East Karelia/Veps/Tver,Karelian Proper,ka,8,54
Koprina,,,,Jesus,Maria/Maaria,Jussi,Pekka/Pekko,,Katri/Katrina,Anni/Annie,Ingria,Finnish,su,6,46
Korpilahti,,Väinämöinen,,Jesus,Maija/Maie,Jussi,,,,Anni/Annie,Finland/Savo-Karelia,Finnish,su,5,18
Korpiselkä,Ilmarinen,Väinämöinen,Lemminkäinen,Jesus,Mary,Jussi,Peter,,Katri/Katrina,Anni/Annie,East Karelia/Veps/Tver,Karelian Proper,ka,9,160
Kose,,,,,Mary,Hans,Peter,Mart/Marti,Kadri,Anne,Estonia core/west,North Estonian,viP,6,160
Kuhmo,,Väinämöinen,,Jesus,Mary,Jussi,Pekka/Pekko,Martin,Katri/Katrina,Anni/Annie,Finland/Savo-Karelia,Finnish,su,8,22
Kuhmoinen,Ilmarinen,Väinämöinen,,Jesus,Mary,Jussi,Peter,,,,Finland/Savo-Karelia,Finnish,su,6,24
Kullamaa,,,,,Mari,Jaan/Jaani,Peeter,Martin,Kadri,Ann,Estonia core/west,North Estonian,viP,6,38
Kuopio,,Väinämöinen,,Jesus,Mary,Jussi,Pekka/Pekko,,Kaisa/Kaie,Anni/Annie,Finland/Savo-Karelia,Finnish,su,7,22
Kupanitsa,,,,Jesus,Mary,John/St John,Peter,,Kati,Anni/Annie,Ingria,Finnish,su,6,32
Kurikka,,,,Jesus,Maija/Maie,Jussi,,,Kaisa/Kaie,Anna,Finland/Savo-Karelia,Finnish,su,5,12
Kursi,,,,,Mary,John/St John,Peter,Mart/Marti,Kaisa/Kaie,Anne,Estonia core/west,North Estonian,viP,6,38
Kuusalu,,,Lemmingäinen/Lemming,Jesus,Mary,Jaan/Jaani,Peter,Mart/Marti,Kadri,Anne,Estonia core/west,North Estonian,viP,8,210
Kuusamo,Ilmarinen,Väinämöinen,,Jesus,Mary,Jussi,,,,Anni/Annie,Finland/Savo-Karelia,Finnish,su,6,28
Käina,,,,,Mary,John/St John,Peeter,Mart/Marti,Kadri,Ann,Estonia core/west,North Estonian,viP,6,20
Kärla,,,,,Mari,Ants,Peeter,Mart/Marti,,Ann,Estonia core/west,North Estonian,viP,5,12
Kõpu,,,,Jesus,Mari,Hans,Peter,Märt/Märti,Kadri,Anne,Estonia core/west,North Estonian,viP,7,63
Laihia,,,,Jesus,Mary,Jussi,Peter,,Kaisa/Kaie,,Finland/Savo-Karelia,Finnish,su,5,18
Laiuse,,,,Christ,Mary,Ants,Peter,Mardi/Mard,Katri/Katrina,Anne,Estonia core/west,North Estonian,viP,7,108
Lapinlahti,Ilmarinen,Väinämöinen,,Jesus,,Jussi,Pekka/Pekko,,,,Finland/Savo-Karelia,Finnish,su,5,17
Lappee,,Väinö/Väinämö,,Jesus,Mary,Jussi,Pekka/Pekko,,Kaisa/Kaie,Anni/Annie,Finland/Savo-Karelia,Finnish,su,7,15
Lavansaari,,,,Jesus,Mari,John/St John,Pekka/Pekko,,Katri/Katrina,Anni/Annie,Finland/Savo-Karelia,Finnish,su,6,13
Lemi,,Väinämöinen,,,Mary,,Peter,,Kaisa/Kaie,,Finland/Savo-Karelia,Finnish,su,4,15
Lempaala,Ilmarinen,Väinämöinen,,Jesus,Mary,Jussi,Peter,Martin,Katri/Katrina,Anni/Annie,Finland/Savo-Karelia,Finnish,su,9,152
Leppävirta,,Väinämöinen,,Jesus,Maria/Maaria,Jussi,Pekka/Pekko,,,Anni/Annie,Finland/Savo-Karelia,Finnish,su,6,32
Liissilä,Ilmari/Ilmar,,,Jesus,Mary,Jussi,Peter,Martin,Katri/Katrina,Anni/Annie,Ingria,Finnish,su,8,68
Liperi,Ilmarinen,Väinämöinen,,Jesus,Mary,Jussi,Peter,,,Anni/Annie,Finland/Savo-Karelia,Finnish,su,7,34
Loppi,,,,Jesus,Mary,Jussi,Peter,Martin,Kaisa/Kaie,Anni/Annie,Finland/Savo-Karelia,Finnish,su,7,21
Luumäki,,,,Jesus,Mary,Jussi,,,Katri/Katrina,Anni/Annie,Finland/Savo-Karelia,Finnish,su,5,14
Lääne-Nigula,,,,,Mary,Ants,Peeter,Mart/Marti,Kadri,Anu,Estonia core/west,North Estonian,viP,6,14
Lüganuse,,,,Jesus,Mary,Ants,Peter,Mart/Marti,Kaisa/Kaie,Anne,Estonia core/west,North Estonian,viP,7,46
Maaninka,,Väinämöinen,,Jesus,Mary,Jussi,Pekka/Pekko,Martin,Katri/Katrina,Anna,Finland/Savo-Karelia,Finnish,su,8,24
Maarja-Magdaleena,,,,Jesus,Mari,Jaan/Jaani,Peter,Märt/Märti,Kaisa/Kaie,Anne,Estonia core/west,North Estonian,viP,7,78
Markkova,,,,Jesus,Mari,,Peter,,Katri/Katrina,,Ingria,Finnish,suI,4,11
Martna,,,,,Mary,John/St John,Peter,Martin,,,Estonia core/west,North Estonian,viP,4,25
Metsäpirtti,Ilmarinen,Väinämöinen,,Jesus,Mary,Jussi,Peter,Martin,Catherine/Katherine,Anna,Finland/Savo-Karelia,Finnish,su,9,42
Mihkli,,,,,Mari,Jaan/Jaani,,Mart/Marti,,Anne,Estonia core/west,North Estonian,viP,4,48
Moloskovitsa,Ilmarinen,,,Jesus,Mary,Jussi,Peter,,Katri/Katrina,Anni/Annie,Ingria,Finnish,su,7,56
Muhos,,,,Jesus,Maija/Maie,Jussi,Pekka/Pekko,Martin,Kaisa/Kaie,Anna,Finland/Savo-Karelia,Finnish,su,7,12
Muhu,,,,Jesus,Maija/Maie,Jaan/Jaani,Peter,,Kadri,Ann,Estonia core/west,North Estonian,viP,6,101
Muolaa,,Väinö/Väinämö,,,Mari,Jussi,Peter,,,Anni/Annie,Finland/Savo-Karelia,Finnish,su,5,20
Mustjala,,,,,Mari,Ants,Peeter,Mart/Marti,Kadri,Anne,Estonia core/west,North Estonian,viP,6,27
Muurla,,,,Jesus,Mary,Jussi,Peter,,,,Finland/Savo-Karelia,Finnish,su,4,27
Muuruvesi,Ilmarinen,Väinämöinen,,Jesus,Mary,Jussi,,,,,Finland/Savo-Karelia,Finnish,su,5,10
Mynämäki,,,Lemminkäinen,,Maija/Maie,Jussi,,,Kaisa/Kaie,,Finland/Savo-Karelia,Finnish,su,4,11
Mäntsälä,,,,,Maija/Maie,Jussi,Peter,,,Anni/Annie,Finland/Savo-Karelia,Finnish,su,4,12
Mäntyharju,,Väinämöinen,,Jesus,Maija/Maie,Jussi,Pekka/Pekko,Martin,Katri/Katrina,Anni/Annie,Finland/Savo-Karelia,Finnish,su,8,23
Märjamaa,,,,,Mari,Jaan/Jaani,Peter,Mart/Marti,Kadri,Anne,Estonia core/west,North Estonian,viP,6,75
Narvusi,Ilmarinen,Väinämöinen,,Jesus,Maija/Maie,John/St John,Peter,Martin,Kati,Anni/Annie,Ingria,Ingrian,in,9,594
Nilsiä,Ilmarinen,,Lemminkäinen,Jesus,Mary,Jussi,Pekka/Pekko,,,Anna,Finland/Savo-Karelia,Finnish,su,7,35
Nurmes,Ilmarinen,Väinämöinen,,Jesus,Mary,Jussi,Pekka/Pekko,Martin,Catherine/Katherine,Anni/Annie,Finland/Savo-Karelia,Finnish,su,9,86
Nõo,,,,,Mary,Jaan/Jaani,,Märt/Märti,Kadri,Anne,Estonia core/west,South Estonian,viE,5,33
Orimattila,,,,,Mary,Jussi,Peter,Martin,Kaisa/Kaie,Anni/Annie,Finland/Savo-Karelia,Finnish,su,6,15
Otepää,,,,,Mary,Jaan/Jaani,Peter,,Kaisa/Kaie,Anne,Estonia core/west,South Estonian,viE,5,42
Oulu,Ilmarinen,,,Jesus,Maria/Maaria,Jussi,,,Kaisa/Kaie,Anna,Finland/Savo-Karelia,Finnish,su,6,12
Paide,,,,,Mari,Juhan,,Mardi/Mard,Kaisa/Kaie,Anne,Estonia core/west,North Estonian,viP,5,54
Paistu,,,,Jesus,Mary,Jaan/Jaani,Peter,Martin,Katri/Katrina,Anne,Estonia core/west,South Estonian,viE,7,428
Palamuse,,,,Jesus,Mari,Hans,Peter,Martin,Kadri,Anne,Estonia core/west,North Estonian,viP,7,148
Paltamo,Ilmarinen,Väinämöinen,,Jesus,Mary,John/St John,Pekka/Pekko,Martin,,Anna,Finland/Savo-Karelia,Finnish,su,8,29
Peetri,,,,,Mari,John/St John,Peter,Mart/Marti,Kadri,Ann,Estonia core/west,North Estonian,viP,6,183
Perho,,,,,Maria/Maaria,Jussi,Peter,,Kaisa/Kaie,Anna,Finland/Savo-Karelia,Finnish,su,5,10
Perniö,,,,Christ,Mary,Jussi,Peter,,Kaisa/Kaie,Ann,Finland/Savo-Karelia,Finnish,su,6,10
Pieksämäki,Ilmarinen,Väinämöinen,,Jesus,Mary,,Pekka/Pekko,,,Anni/Annie,Finland/Savo-Karelia,Finnish,su,6,20
Pielavesi,Ilmarinen,Väinämöinen,,Jesus,Mary,Jussi,Pekka/Pekko,Martin,Kaisa/Kaie,,Finland/Savo-Karelia,Finnish,su,8,61
Pielisjärvi,Ilmarinen,Väinämöinen,,Jesus,Mary,Jussi,Pekka/Pekko,,Catherine/Katherine,Anni/Annie,Finland/Savo-Karelia,Finnish,su,8,38
Piippola,,Väinämöinen,,Jesus,Mary,,,Martin,,,Finland/Savo-Karelia,Finnish,su,4,12
Pilistvere,,,,Christ,Mari,John/St John,Peter,Martin,Kaisa/Kaie,Anne,Estonia core/west,North Estonian,viP,7,144
Pistojärvi,,Väinämöinen,Lemminkäinen,Jesus,Mary,Jussi,,,,,East Karelia/Veps/Tver,Karelian Proper,ka,5,13
Porajärvi,Ilmarinen,Väinämöinen,Lemminkäinen,Jesus,Mary,,Pekka/Pekko,,,Anni/Annie,East Karelia/Veps/Tver,Karelian Proper,kaV,7,102
Pudasjärvi,,Väinämöinen,,Jesus,Maija/Maie,Jussi,Peter,Martin,,Anna,Finland/Savo-Karelia,Finnish,su,7,22
Puhja,,,,Jesus,Mary,John/St John,Peter,Mardi/Mard,Kaisa/Kaie,Anne,Estonia core/west,South Estonian,viE,7,64
Puolanka,,Väinämöinen,,Jesus,Maria/Maaria,,Peter,Martin,Kaisa/Kaie,Anni/Annie,Finland/Savo-Karelia,Finnish,su,7,15
Puumala,,,,Jesus,Mary,,Peter,Mart/Marti,Catherine/Katherine,,Finland/Savo-Karelia,Finnish,su,5,21
Pyhäjärvi Ol.,,Väinämöinen,,Jesus,Mary,Jussi,Pekka/Pekko,Martin,,,Finland/Savo-Karelia,Finnish,su,6,12
Pyhäjärvi Ul.,,,,Jesus,Maija/Maie,Jussi,Peter,,,Anni/Annie,Finland/Savo-Karelia,Finnish,su,5,15
Pyhäjärvi Vpl.,,Väinämöinen,,Christ,Maija/Maie,,Pekka/Pekko,Martin,Katri/Katrina,Anni/Annie,Finland/Savo-Karelia,Finnish,su,7,27
Pälkjärvi,,,,Jesus,Mary,Jussi,Peter,,,Anna,Finland/Savo-Karelia,Finnish,su,5,16
Pärnu,,,,,Mary,Jaan/Jaani,Peter,Martin,Kadri,Anne,Estonia core/west,North Estonian,viP,6,105
Pärnu-Jaagupi,,,,Jesus,Mari,John/St John,Peeter,Mardi/Mard,Kadri,Anne,Estonia core/west,North Estonian,viP,7,123
Põltsamaa,,,,Jesus,Mary,Hans,Peeter,Martin,Kadri,Anne,Estonia core/west,North Estonian,viP,7,185
Põlva,,,,Christ,Mary,Jaan/Jaani,Peter,Märt/Märti,Kadri,Anne,South Estonia/Seto,South Estonian,viE,7,64
Pöide,,Väinö/Väinämö,,Jesus,Maija/Maie,Jaan/Jaani,Peter,Märt/Märti,Kadri,Ann,Estonia core/west,North Estonian,viP,8,76
Pöytyä,,,,,Maija/Maie,Jussi,Peter,,Kati,,Finland/Savo-Karelia,Finnish,su,4,18
Pühalepa,,,,Jesus,Mari,John/St John,Peeter,Mart/Marti,Kaisa/Kaie,Ann,Estonia core/west,North Estonian,viP,7,37
Rakvere,,,,,Mary,Jaan/Jaani,,Martin,Kadri,Anne,Estonia core/west,North Estonian,viP,5,30
Rannu,,,,Jesus,Mari,Jaan/Jaani,Peter,Martin,Kadri,Anne,Estonia core/west,South Estonian,viE,7,43
Ranua,,,,,Maija/Maie,Jussi,Peter,,,Anna,Finland/Savo-Karelia,Finnish,su,4,21
Rapla,,,,,Mari,Jaan/Jaani,,Mart/Marti,Kadri,Anne,Estonia core/west,North Estonian,viP,5,56
Rautavaara,Ilmari/Ilmar,Väinö/Väinämö,,Jesus,Mary,Jussi,Peter,,,,Finland/Savo-Karelia,Finnish,su,6,23
Reigi,,,,,Mari,Jaan/Jaani,Peter,Mart/Marti,,Ann,Estonia core/west,North Estonian,viP,5,12
Renko,,,,Jesus,Mary,Jussi,Peter,,,Anna,Finland/Savo-Karelia,Finnish,su,5,14
Repola,Ilmarinen,Väinämöinen,Lemminkäinen,Jesus,Mary,,Peter,,,Anni/Annie,East Karelia/Veps/Tver,Karelian Proper,kaV,7,125
Ridala,,,,,Mari,Ants,,Mardi/Mard,,Ann,Estonia core/west,North Estonian,viP,4,29
Risti,,,,Jesus,Mari,Jaan/Jaani,Peter,Mardi/Mard,Kadri,Anna,Estonia core/west,North Estonian,viP,7,118
Rovaniemi,Ilmarinen,,,Jesus,Maija/Maie,,Peter,,Kaisa/Kaie,Anni/Annie,Finland/Savo-Karelia,Finnish,su,6,27
Ruovesi,,,,,Maija/Maie,Jussi,Peter,,Kaisa/Kaie,,Finland/Savo-Karelia,Finnish,su,4,13
Räisälä,,Väinämöinen,,Jesus,Mari,Jussi,Pekka/Pekko,,,Anni/Annie,Finland/Savo-Karelia,Finnish,su,6,13
Räpina,,,,Jesus,Mary,Jaan/Jaani,Petteri/Pietari,Martin,Kadri,Ann,South Estonia/Seto,South Estonian,viE,7,184
Rääkkylä,,Väinämöinen,,Jesus,Mary,Jussi,Peter,,Kaisa/Kaie,,Finland/Savo-Karelia,Finnish,su,6,39
Rääpyvä,,Väinämöinen,,Jesus,Mary,John/St John,,,Katri/Katrina,,Ingria,Finnish,su,5,15
Rõngu,,,,Jesus,Mary,Jaan/Jaani,Peter,Märt/Märti,Kadri,Anne,Estonia core/west,South Estonian,viE,7,111
Rõuge,,,,Jesus,Mari,Jaan/Jaani,Peter,,Kadri,Anna,South Estonia/Seto,South Estonian,viE,6,82
Saarde,,,,Jesus,Mary,Hans,,Mart/Marti,Kadri,Anne,Estonia core/west,North Estonian,viP,6,141
Saarijärvi,Ilmarinen,Väinämöinen,Lemminkäinen,Jesus,Maija/Maie,Jussi,Peter,,Kaisa/Kaie,Anni/Annie,Finland/Savo-Karelia,Finnish,su,9,72
Sakkola,,Väinämöinen,,Jesus,Mary,Jussi,Pekka/Pekko,,Kaisa/Kaie,Anni/Annie,Finland/Savo-Karelia,Finnish,su,7,36
Salmi,Ilmarinen,Väinämöinen,Lemminkäinen,Jesus,Mary,,Peter,,Catherine/Katherine,Anni/Annie,East Karelia/Veps/Tver,Livvi-Karelian,ka,8,111
Sangaste,,,,Jesus,Mary,Jaan/Jaani,Peter,Märt/Märti,Kaisa/Kaie,Anne,Estonia core/west,South Estonian,viE,7,120
Sauvo,,,,Jesus,Maija/Maie,,Peter,,Kati,Anni/Annie,Finland/Savo-Karelia,Finnish,su,5,11
Savitaipale,,Väinämöinen,,Jesus,Mary,,Peter,,Kaisa/Kaie,Anna,Finland/Savo-Karelia,Finnish,su,6,14
Savonlinna,,,,,Maija/Maie,Jussi,Pekka/Pekko,,Kaisa/Kaie,,Finland/Savo-Karelia,Finnish,su,4,14
Seiskari,,,,Jesus,Mari,,,,Katri/Katrina,Anni/Annie,Finland/Savo-Karelia,Finnish,su,4,12
Serepetta,Ilmarinen,,,Jesus,Mary,,Peter,Martin,Katri/Katrina,Anu,Ingria,Finnish,su,7,39
Setumaa,,,,Jesus,Mary,John/St John,Peter,Martin,Kadri,Ann,South Estonia/Seto,South Estonian,viE,7,333
Simo,,,,Jesus,Maija/Maie,Jussi,Pekka/Pekko,,,Anni/Annie,Finland/Savo-Karelia,Finnish,su,5,12
Simuna,,,,Jesus,Maija/Maie,Jaan/Jaani,Peeter,Martin,Kadri,Anne,Estonia core/west,North Estonian,viP,7,126
Skuoritsa,,,,Jesus,,,Peter,,Kati,Anni/Annie,Ingria,Finnish,su,4,16
Soanlahti,,Väinämöinen,Lemminkäinen,Jesus,Mary,Jussi,Peter,,Katri/Katrina,Ann,East Karelia/Veps/Tver,Finnish,su,8,54
